participant,trial,session,hrtf,target_azimuth_deg,masker_azimuth_deg,correct,predicted_srm_db
sub-14,1,before,individual,30,30,0,-4.06341480395674
sub-14,2,before,optimised,30,30,0,-4.55908930311373
sub-14,3,before,optimised,150,30,0,0.338055441718311
sub-14,4,before,individual,30,150,0,-7.25204779276094
sub-14,5,before,optimised,30,30,1,-2.06256722717358
sub-14,6,before,individual,30,30,1,-2.20353322320428
sub-14,7,before,optimised,30,150,1,0.0781984698616337
sub-14,8,before,individual,150,30,0,-1.13908635542257
sub-14,9,before,individual,150,30,0,-1.212723503959
sub-14,10,before,individual,150,30,0,-1.19059719239373
sub-14,11,before,individual,30,30,1,-4.30493025649545
sub-14,12,before,optimised,30,150,0,0.458129590219925
sub-14,13,before,individual,150,30,0,-5.31561916794764
sub-14,14,before,optimised,30,150,1,0.57304611517634
sub-14,15,before,optimised,30,150,1,0.563280101535338
sub-14,16,before,individual,30,150,0,-5.97481311597249
sub-14,17,before,optimised,150,30,0,-0.0794575727495582
sub-14,18,before,individual,150,30,1,-0.498035718401936
sub-14,19,before,individual,30,150,1,-6.71127449858481
sub-14,20,before,optimised,30,150,0,-3.44763004151015
sub-14,21,before,individual,30,150,1,-6.60013515298019
sub-14,22,before,optimised,30,30,1,-4.3304654512596
sub-14,23,before,individual,30,30,0,-6.92396706544585
sub-14,24,before,optimised,150,30,1,0.105568603235484
sub-14,25,before,optimised,150,30,0,-4.1669289034994
sub-14,26,before,individual,30,30,0,-3.84360813479978
sub-14,27,before,individual,30,30,1,-4.81724017968373
sub-14,28,before,optimised,30,30,0,-6.81483338055886
sub-14,29,before,optimised,150,30,1,0.356607954197823
sub-14,30,before,individual,150,30,0,-0.344455686944147
sub-14,31,before,individual,30,150,0,-10.6353184390677
sub-14,32,before,individual,150,30,1,-1.54232605254329
sub-14,33,before,individual,30,30,0,-7.0131041006097
sub-14,34,before,individual,30,30,0,-6.48807249744718
sub-14,35,before,optimised,30,30,0,-4.05640633689275
sub-14,36,before,optimised,150,30,0,0.475334267518655
sub-14,37,before,individual,30,150,1,-6.23183246504542
sub-14,38,before,individual,30,30,0,-9.11462662500544
sub-14,39,before,individual,150,30,1,-3.26345831770492
sub-14,40,before,optimised,30,30,1,-4.71169180431342
sub-14,41,before,optimised,30,150,1,1.07570708183169
sub-14,42,before,optimised,150,30,1,-0.58591898524301
sub-14,43,before,individual,150,30,0,-0.647735730754502
sub-14,44,before,individual,30,150,0,-6.42789259988377
sub-14,45,before,individual,30,150,0,-10.5967988636317
sub-14,46,before,optimised,30,30,0,-7.11491660570273
sub-14,47,before,optimised,150,30,0,-2.28133687236579
sub-14,48,before,individual,150,30,1,1.41007943984596
sub-14,49,before,optimised,30,30,0,-6.41907420216361
sub-14,50,before,optimised,30,30,1,-8.97794034209891
sub-14,51,before,individual,150,30,0,-1.74247921469296
sub-14,52,before,individual,150,30,1,-3.72835193512916
sub-14,53,before,individual,30,30,1,-5.35640165899344
sub-14,54,before,individual,30,30,1,-5.35640165899344
sub-14,55,before,optimised,150,30,0,0.363245519158673
sub-14,56,before,individual,30,150,0,-7.19574623219268
sub-14,57,before,individual,30,150,1,-10.6894065583137
sub-14,58,before,optimised,30,30,1,-5.13493208306891
sub-14,59,before,individual,30,30,0,-4.47405138701643
sub-14,60,before,optimised,150,30,0,2.56961382457124
sub-14,61,before,individual,30,150,0,-9.03025236765169
sub-14,62,before,optimised,150,30,0,-0.410751291981277
sub-14,63,before,optimised,150,30,1,-2.35962064632421
sub-14,64,before,individual,30,30,0,-7.09819363316862
sub-14,65,before,individual,150,30,0,-3.44371919207556
sub-14,66,before,optimised,150,30,0,-2.50143332569208
sub-14,67,before,optimised,30,150,0,0.608906525650196
sub-14,68,before,individual,30,150,0,-8.64385350954787
sub-14,69,before,optimised,30,30,1,-9.10434731294655
sub-14,70,before,individual,30,150,0,-5.451557408095
sub-14,71,before,individual,30,150,0,-3.98197431955024
sub-14,72,before,optimised,150,30,1,-4.16099787007056
sub-14,73,before,individual,30,150,0,-8.75080127509145
sub-14,74,before,optimised,30,30,0,-4.46006136679459
sub-14,75,before,optimised,30,150,0,-3.5878502470384
sub-14,76,before,individual,30,30,0,-4.66318614919273
sub-14,77,before,optimised,30,30,0,-7.35964022970308
sub-14,78,before,optimised,30,150,0,0.117995804294637
sub-14,79,before,individual,150,30,1,-5.33003197642205
sub-14,80,before,optimised,30,150,1,-3.68496767275192
sub-14,81,before,individual,30,30,0,-5.42492968117356
sub-14,82,before,individual,30,30,1,-5.29660895043757
sub-14,83,before,optimised,30,30,0,-4.84146837440312
sub-14,84,before,optimised,150,30,1,-1.72912563431105
sub-14,85,before,optimised,30,150,1,-1.91092075254893
sub-14,86,before,optimised,30,150,1,-1.58497550806924
sub-14,87,before,individual,30,30,0,-6.96430162352627
sub-14,88,before,optimised,150,30,1,-2.07248630171787
sub-14,89,before,individual,30,150,0,-8.58812352698986
sub-14,90,before,optimised,30,30,0,-5.21144063031223
sub-14,91,before,individual,150,30,1,-2.91448732820136
sub-14,92,before,individual,30,150,1,-8.1860477024901
sub-14,93,before,optimised,30,150,0,1.1297484156934
sub-14,94,before,optimised,150,30,1,-0.387334261771821
sub-14,95,before,optimised,30,150,1,2.98850822738931
sub-14,96,before,individual,150,30,1,-3.45221416555555
sub-14,97,before,optimised,30,150,0,-2.12731008408866
sub-14,98,before,individual,30,150,1,-10.8322880969462
sub-14,99,before,optimised,150,30,1,-4.23659157227611
sub-14,100,before,optimised,30,30,1,-5.15040352156466
sub-14,101,before,individual,150,30,1,-1.52892748726389
sub-14,102,before,individual,30,150,0,-6.22679721754745
sub-14,103,before,optimised,30,150,1,-1.58314367507494
sub-14,104,before,individual,150,30,0,-5.18262196874974
sub-14,105,before,optimised,30,150,1,-1.24394743476767
sub-14,106,before,individual,30,30,0,-8.78007698185089
sub-14,107,before,optimised,30,150,1,-3.74577429156531
sub-14,108,before,individual,150,30,0,-2.09378090649903
sub-14,109,before,optimised,30,30,1,-6.73921113065487
sub-14,110,before,optimised,30,30,0,-8.81567943770284
sub-14,111,before,individual,30,30,0,-5.53583368378916
sub-14,112,before,optimised,30,150,0,0.864081587871682
sub-14,113,before,optimised,30,150,0,0.083091464060339
sub-14,114,before,individual,150,30,1,-5.38553949309094
sub-14,115,before,individual,30,150,0,-7.13130503393992
sub-14,116,before,individual,30,30,0,-8.83974435377099
sub-14,117,before,optimised,30,30,0,-5.43024583980313
sub-14,118,before,optimised,150,30,0,-0.604645700030224
sub-14,119,before,optimised,30,30,0,-8.87208113765024
sub-14,1,after,individual,30,30,0,-4.06341480395674
sub-14,2,after,optimised,30,30,0,-4.55908930311373
sub-14,3,after,optimised,150,30,1,0.338055441718311
sub-14,4,after,individual,30,150,1,-7.25204779276094
sub-14,5,after,optimised,30,30,0,-2.06256722717358
sub-14,6,after,individual,30,30,0,-2.20353322320428
sub-14,7,after,optimised,30,150,1,0.0781984698616337
sub-14,8,after,individual,150,30,1,-1.13908635542257
sub-14,9,after,individual,150,30,0,-1.212723503959
sub-14,10,after,individual,150,30,0,-1.19059719239373
sub-14,11,after,individual,30,30,1,-4.30493025649545
sub-14,12,after,optimised,30,150,0,0.458129590219925
sub-14,13,after,individual,150,30,0,-5.31561916794764
sub-14,14,after,optimised,30,150,1,0.57304611517634
sub-14,15,after,optimised,30,150,1,0.563280101535338
sub-14,16,after,individual,30,150,0,-5.97481311597249
sub-14,17,after,optimised,150,30,0,-0.0794575727495582
sub-14,18,after,individual,150,30,1,-0.498035718401936
sub-14,19,after,individual,30,150,1,-6.71127449858481
sub-14,20,after,optimised,30,150,0,-3.44763004151015
sub-14,21,after,individual,30,150,1,-6.60013515298019
sub-14,22,after,optimised,30,30,1,-4.3304654512596
sub-14,23,after,individual,30,30,0,-6.92396706544585
sub-14,24,after,optimised,150,30,1,0.105568603235484
sub-14,25,after,optimised,150,30,0,-4.1669289034994
sub-14,26,after,individual,30,30,0,-3.84360813479978
sub-14,27,after,individual,30,30,1,-4.81724017968373
sub-14,28,after,optimised,30,30,1,-6.81483338055886
sub-14,29,after,optimised,150,30,1,0.356607954197823
sub-14,30,after,individual,150,30,0,-0.344455686944147
sub-14,31,after,individual,30,150,0,-10.6353184390677
sub-14,32,after,individual,150,30,1,-1.54232605254329
sub-14,33,after,individual,30,30,0,-7.0131041006097
sub-14,34,after,individual,30,30,0,-6.48807249744718
sub-14,35,after,optimised,30,30,0,-4.05640633689275
sub-14,36,after,optimised,150,30,0,0.475334267518655
sub-14,37,after,individual,30,150,1,-6.23183246504542
sub-14,38,after,individual,30,30,1,-9.11462662500544
sub-14,39,after,individual,150,30,1,-3.26345831770492
sub-14,40,after,optimised,30,30,1,-4.71169180431342
sub-14,41,after,optimised,30,150,1,1.07570708183169
sub-14,42,after,optimised,150,30,1,-0.58591898524301
sub-14,43,after,individual,150,30,0,-0.647735730754502
sub-14,44,after,individual,30,150,0,-6.42789259988377
sub-14,45,after,individual,30,150,0,-10.5967988636317
sub-14,46,after,optimised,30,30,0,-7.11491660570273
sub-14,47,after,optimised,150,30,0,-2.28133687236579
sub-14,48,after,individual,150,30,1,1.41007943984596
sub-14,49,after,optimised,30,30,0,-6.41907420216361
sub-14,50,after,optimised,30,30,1,-8.97794034209891
sub-14,51,after,individual,150,30,0,-1.74247921469296
sub-14,52,after,individual,150,30,1,-3.72835193512916
sub-14,53,after,individual,30,30,1,-5.35640165899344
sub-14,54,after,optimised,150,30,0,0.363245519158673
sub-14,55,after,optimised,150,30,1,2.56961382457124
sub-14,56,after,individual,30,150,0,-7.19574623219268
sub-14,57,after,individual,30,150,1,-10.6894065583137
sub-14,58,after,optimised,30,30,1,-5.13493208306891
sub-14,59,after,individual,30,30,1,-9.06011577227881
