participant,pair,band_fc_hz,better_ear_snr_gain_db
sub-14,T30 M150,30.0,4.558010277355497
sub-14,T30 M150,63.0,4.963728955558683
sub-14,T30 M150,99.0,4.942122587307948
sub-14,T30 M150,139.0,1.9753291139501703
sub-14,T30 M150,183.0,2.434273446210483
sub-14,T30 M150,231.0,1.9518971971591768
sub-14,T30 M150,284.0,1.9422219971478976
sub-14,T30 M150,342.0,2.4702409161983607
sub-14,T30 M150,407.0,2.831374406217927
sub-14,T30 M150,478.0,3.118199676270086
sub-14,T30 M150,556.0,3.3351978818517543
sub-14,T30 M150,643.0,4.151402351465424
sub-14,T30 M150,739.0,8.14215289363366
sub-14,T30 M150,845.0,11.994576013045346
sub-14,T30 M150,963.0,10.662144041610356
sub-14,T30 M150,1094.0,7.424082782515314
sub-14,T30 M150,1240.0,6.830818161028266
sub-14,T30 M150,1403.0,7.629732198704088
sub-14,T30 M150,1585.0,5.107722458864715
sub-14,T30 M150,1788.0,3.238874147490413
sub-14,T30 M150,2017.0,3.2065610303056493
sub-14,T30 M150,2274.0,11.879979425889887
sub-14,T30 M150,2565.0,13.629004206952136
sub-14,T30 M150,2894.0,6.480789007223141
sub-14,T30 M150,3270.0,-0.1456786421444551
sub-14,T30 M150,3699.0,1.772528135884187
sub-14,T30 M150,4192.0,7.903788574822137
sub-14,T30 M150,4763.0,13.562470176194964
sub-14,T30 M150,5428.0,6.460423299777162
sub-14,T30 M150,6210.0,-1.6702572572415617
sub-14,T30 M150,7138.0,18.942793175210667
sub-14,T30 M150,8252.0,-5.339167070912003
sub-14,T30 M150,9607.0,-2.796187830093144
sub-14,T30 M150,11287.0,-6.642312931629146
sub-14,T30 M150,13411.0,-6.875639008144468
sub-14,T30 M150,16171.0,-15.563127863549672
sub-14,T30 M150,19885.0,-2.786206287695647
sub-14,T150 M30,30.0,-1.4654858010037632
sub-14,T150 M30,63.0,-1.801751311093899
sub-14,T150 M30,99.0,-1.7644496387441948
sub-14,T150 M30,139.0,-1.6480551736391529
sub-14,T150 M30,183.0,-1.8296258899835292
sub-14,T150 M30,231.0,-0.5099268954355556
sub-14,T150 M30,284.0,0.2944520068257448
sub-14,T150 M30,342.0,1.3631845659643438
sub-14,T150 M30,407.0,1.8563075169681924
sub-14,T150 M30,478.0,4.097114808922084
sub-14,T150 M30,556.0,5.243171487004393
sub-14,T150 M30,643.0,5.301059989313248
sub-14,T150 M30,739.0,4.6304484400933745
sub-14,T150 M30,845.0,1.0325747950277575
sub-14,T150 M30,963.0,4.216044549343966
sub-14,T150 M30,1094.0,7.513309083240713
sub-14,T150 M30,1240.0,11.790027087382676
sub-14,T150 M30,1403.0,15.805483169987406
sub-14,T150 M30,1585.0,10.285106368886558
sub-14,T150 M30,1788.0,2.9196081868023187
sub-14,T150 M30,2017.0,-1.3716739270789875
sub-14,T150 M30,2274.0,3.641256616269807
sub-14,T150 M30,2565.0,4.316080830047749
sub-14,T150 M30,2894.0,2.9620136368312475
sub-14,T150 M30,3270.0,1.084745612330643
sub-14,T150 M30,3699.0,2.4218405465629513
sub-14,T150 M30,4192.0,3.2810722574228697
sub-14,T150 M30,4763.0,2.6446803090580335
sub-14,T150 M30,5428.0,-1.8505278031653711
sub-14,T150 M30,6210.0,-8.149550280770823
sub-14,T150 M30,7138.0,1.818033457338476
sub-14,T150 M30,8252.0,8.170458731207036
sub-14,T150 M30,9607.0,4.3390128197592555
sub-14,T150 M30,11287.0,8.409791495779176
sub-14,T150 M30,13411.0,7.412172044403498
sub-14,T150 M30,16171.0,10.607992007483844
sub-14,T150 M30,19885.0,9.209772377548916
