participant,trial,session,hrtf,location_deg,correct
sub-14,1,before,individual,150,0
sub-14,2,before,individual,30,1
sub-14,3,before,individual,30,0
sub-14,4,before,optimised,150,1
sub-14,5,before,individual,150,1
sub-14,6,before,individual,30,1
sub-14,7,before,optimised,150,1
sub-14,8,before,optimised,30,1
sub-14,9,before,optimised,30,1
sub-14,10,before,individual,30,1
sub-14,11,before,individual,30,1
sub-14,12,before,individual,150,1
sub-14,13,before,individual,30,0
sub-14,14,before,optimised,150,1
sub-14,15,before,individual,30,1
sub-14,16,before,optimised,150,1
sub-14,17,before,optimised,150,1
sub-14,18,before,individual,30,0
sub-14,19,before,individual,150,1
sub-14,20,before,optimised,30,1
sub-14,21,before,individual,150,1
sub-14,22,before,optimised,150,1
sub-14,23,before,optimised,30,1
sub-14,24,before,individual,150,1
sub-14,25,before,optimised,30,1
sub-14,26,before,optimised,150,1
sub-14,27,before,individual,30,0
sub-14,28,before,individual,150,1
sub-14,29,before,optimised,30,1
sub-14,30,before,individual,30,1
sub-14,31,before,optimised,150,1
sub-14,32,before,optimised,30,1
sub-14,33,before,optimised,30,1
sub-14,34,before,individual,30,1
sub-14,35,before,optimised,150,1
sub-14,36,before,optimised,30,1
sub-14,37,before,individual,150,1
sub-14,38,before,individual,30,1
sub-14,39,before,optimised,150,1
sub-14,40,before,individual,30,1
sub-14,41,before,individual,30,1
sub-14,42,before,individual,150,1
sub-14,43,before,optimised,30,1
sub-14,44,before,optimised,30,1
sub-14,45,before,individual,30,1
sub-14,46,before,individual,30,0
sub-14,47,before,individual,150,1
sub-14,48,before,optimised,30,0
sub-14,49,before,optimised,30,1
sub-14,50,before,optimised,30,1
sub-14,51,before,optimised,150,0
sub-14,52,before,optimised,150,0
sub-14,53,before,optimised,150,1
sub-14,54,before,individual,150,1
sub-14,55,before,optimised,150,0
sub-14,56,before,individual,150,1
sub-14,57,before,individual,30,1
sub-14,58,before,individual,30,1
sub-14,59,before,individual,150,1
sub-14,60,before,optimised,30,1
sub-14,61,before,optimised,150,1
sub-14,62,before,optimised,30,1
sub-14,63,before,individual,150,1
sub-14,64,before,individual,150,1
sub-14,65,before,individual,30,0
sub-14,66,before,optimised,30,1
sub-14,67,before,optimised,150,1
sub-14,68,before,optimised,30,0
sub-14,69,before,optimised,150,0
sub-14,70,before,individual,150,1
sub-14,71,before,individual,30,1
sub-14,72,before,optimised,150,1
sub-14,73,before,optimised,150,1
sub-14,74,before,individual,150,1
sub-14,75,before,individual,150,1
sub-14,76,before,optimised,30,0
sub-14,77,before,individual,150,1
sub-14,78,before,individual,150,1
sub-14,79,before,optimised,30,1
sub-14,80,before,optimised,150,1
sub-14,1,after,individual,150,1
sub-14,2,after,individual,30,1
sub-14,3,after,individual,30,1
sub-14,4,after,optimised,150,1
sub-14,5,after,individual,150,1
sub-14,6,after,individual,30,1
sub-14,7,after,optimised,150,1
sub-14,8,after,optimised,30,1
sub-14,9,after,optimised,30,0
sub-14,10,after,individual,30,0
sub-14,11,after,individual,30,1
sub-14,12,after,individual,150,1
sub-14,13,after,individual,30,1
sub-14,14,after,optimised,150,1
sub-14,15,after,individual,30,1
sub-14,16,after,optimised,150,1
sub-14,17,after,optimised,150,1
sub-14,18,after,individual,30,1
sub-14,19,after,individual,150,1
sub-14,20,after,optimised,30,1
sub-14,21,after,individual,150,1
sub-14,22,after,optimised,150,1
sub-14,23,after,optimised,30,1
sub-14,24,after,individual,150,1
sub-14,25,after,optimised,30,1
sub-14,26,after,optimised,150,1
sub-14,27,after,individual,30,1
sub-14,28,after,individual,150,1
sub-14,29,after,optimised,30,1
sub-14,30,after,individual,30,0
sub-14,31,after,optimised,150,1
sub-14,32,after,optimised,30,1
sub-14,33,after,optimised,30,1
sub-14,34,after,individual,30,1
sub-14,35,after,optimised,150,1
sub-14,36,after,optimised,30,1
sub-14,37,after,individual,150,1
sub-14,38,after,individual,30,1
sub-14,39,after,optimised,150,1
sub-14,40,after,individual,30,0
sub-14,41,after,individual,30,1
sub-14,42,after,individual,150,1
sub-14,43,after,optimised,30,1
sub-14,44,after,optimised,30,1
sub-14,45,after,individual,30,1
sub-14,46,after,individual,30,1
sub-14,47,after,individual,150,1
sub-14,48,after,optimised,30,0
sub-14,49,after,optimised,30,0
sub-14,50,after,optimised,30,0
sub-14,51,after,optimised,150,0
sub-14,52,after,optimised,150,1
sub-14,53,after,optimised,150,1
sub-14,54,after,individual,150,1
sub-14,55,after,optimised,150,1
sub-14,56,after,individual,150,1
sub-14,57,after,individual,30,0
sub-14,58,after,individual,30,0
sub-14,59,after,individual,150,1
sub-14,60,after,optimised,30,0
sub-14,61,after,optimised,150,1
sub-14,62,after,optimised,30,0
sub-14,63,after,individual,150,1
sub-14,64,after,individual,150,1
sub-14,65,after,individual,30,0
sub-14,66,after,optimised,30,0
sub-14,67,after,optimised,150,1
sub-14,68,after,optimised,30,1
sub-14,69,after,optimised,150,0
sub-14,70,after,individual,150,1
sub-14,71,after,individual,30,1
sub-14,72,after,optimised,150,1
sub-14,73,after,optimised,150,1
sub-14,74,after,individual,150,1
sub-14,75,after,individual,150,1
sub-14,76,after,optimised,30,0
sub-14,77,after,individual,150,1
sub-14,78,after,individual,150,1
sub-14,79,after,optimised,30,1
sub-14,80,after,optimised,150,1
