participant,trial,session,hrtf,location_deg,correct
sub-01,1,before,individual,150,0
sub-01,2,before,individual,30,1
sub-01,3,before,individual,30,1
sub-01,4,before,optimised,150,1
sub-01,5,before,individual,150,1
sub-01,6,before,individual,30,1
sub-01,7,before,optimised,150,1
sub-01,8,before,optimised,30,1
sub-01,9,before,optimised,30,1
sub-01,10,before,individual,30,1
sub-01,11,before,individual,30,1
sub-01,12,before,individual,150,1
sub-01,13,before,individual,30,1
sub-01,14,before,optimised,150,1
sub-01,15,before,individual,30,1
sub-01,16,before,optimised,150,1
sub-01,17,before,optimised,150,1
sub-01,18,before,individual,30,1
sub-01,19,before,individual,150,1
sub-01,20,before,optimised,30,1
sub-01,21,before,individual,150,1
sub-01,22,before,optimised,150,1
sub-01,23,before,optimised,30,1
sub-01,24,before,individual,150,1
sub-01,25,before,optimised,30,0
sub-01,26,before,optimised,150,1
sub-01,27,before,individual,30,1
sub-01,28,before,individual,150,1
sub-01,29,before,optimised,30,0
sub-01,30,before,individual,30,1
sub-01,31,before,optimised,150,1
sub-01,32,before,optimised,30,0
sub-01,33,before,optimised,30,0
sub-01,34,before,individual,30,1
sub-01,35,before,optimised,150,1
sub-01,36,before,optimised,30,1
sub-01,37,before,individual,150,1
sub-01,38,before,individual,30,1
sub-01,39,before,optimised,150,1
sub-01,40,before,individual,30,1
sub-01,41,before,individual,30,1
sub-01,42,before,individual,150,1
sub-01,43,before,optimised,30,1
sub-01,44,before,optimised,30,0
sub-01,45,before,individual,30,0
sub-01,46,before,individual,30,0
sub-01,47,before,individual,150,1
sub-01,48,before,optimised,30,1
sub-01,49,before,optimised,30,1
sub-01,50,before,optimised,30,1
sub-01,51,before,optimised,150,1
sub-01,52,before,optimised,150,1
sub-01,53,before,optimised,150,1
sub-01,54,before,individual,150,0
sub-01,55,before,optimised,150,0
sub-01,56,before,individual,150,0
sub-01,57,before,individual,30,1
sub-01,58,before,individual,30,1
sub-01,59,before,individual,150,1
sub-01,60,before,optimised,30,0
sub-01,61,before,optimised,150,1
sub-01,62,before,optimised,30,1
sub-01,63,before,individual,150,1
sub-01,64,before,individual,150,1
sub-01,65,before,individual,30,0
sub-01,66,before,optimised,30,0
sub-01,67,before,optimised,150,1
sub-01,68,before,optimised,30,1
sub-01,69,before,optimised,150,1
sub-01,70,before,individual,150,1
sub-01,71,before,individual,30,1
sub-01,72,before,optimised,150,1
sub-01,73,before,optimised,150,1
sub-01,74,before,individual,150,1
sub-01,75,before,individual,150,1
sub-01,76,before,optimised,30,1
sub-01,77,before,individual,150,1
sub-01,78,before,individual,150,1
sub-01,79,before,optimised,30,1
sub-01,80,before,optimised,150,1
sub-01,1,after,individual,150,0
sub-01,2,after,individual,30,1
sub-01,3,after,individual,30,1
sub-01,4,after,optimised,150,1
sub-01,5,after,individual,150,1
sub-01,6,after,individual,30,1
sub-01,7,after,optimised,150,1
sub-01,8,after,optimised,30,1
sub-01,9,after,optimised,30,0
sub-01,10,after,individual,30,1
sub-01,11,after,individual,30,1
sub-01,12,after,individual,150,1
sub-01,13,after,individual,30,0
sub-01,14,after,optimised,150,1
sub-01,15,after,individual,30,1
sub-01,16,after,optimised,150,1
sub-01,17,after,optimised,150,1
sub-01,18,after,individual,30,1
sub-01,19,after,individual,150,0
sub-01,20,after,optimised,30,1
sub-01,21,after,individual,150,1
sub-01,22,after,optimised,150,1
sub-01,23,after,optimised,30,1
sub-01,24,after,individual,150,1
sub-01,25,after,optimised,30,1
sub-01,26,after,optimised,150,1
sub-01,27,after,individual,30,1
sub-01,28,after,individual,150,1
sub-01,29,after,optimised,30,0
sub-01,30,after,individual,30,1
sub-01,31,after,optimised,150,1
sub-01,32,after,optimised,30,0
sub-01,33,after,optimised,30,1
sub-01,34,after,individual,30,0
sub-01,35,after,optimised,150,1
sub-01,36,after,optimised,30,1
sub-01,37,after,individual,150,1
sub-01,38,after,individual,30,1
sub-01,39,after,optimised,150,1
sub-01,40,after,individual,30,0
sub-01,41,after,individual,30,1
sub-01,42,after,individual,150,1
sub-01,43,after,optimised,30,1
sub-01,44,after,optimised,30,0
sub-01,45,after,individual,30,1
sub-01,46,after,individual,30,0
sub-01,47,after,individual,150,1
sub-01,48,after,optimised,30,0
sub-01,49,after,optimised,30,0
sub-01,50,after,optimised,30,0
sub-01,51,after,optimised,150,1
sub-01,52,after,optimised,150,1
sub-01,53,after,optimised,150,1
sub-01,54,after,individual,150,1
sub-01,55,after,optimised,150,1
sub-01,56,after,individual,150,1
sub-01,57,after,individual,30,1
sub-01,58,after,individual,30,1
sub-01,59,after,individual,150,0
sub-01,60,after,optimised,30,1
sub-01,61,after,optimised,150,1
sub-01,62,after,optimised,30,1
sub-01,63,after,individual,150,1
sub-01,64,after,individual,150,1
sub-01,65,after,individual,30,1
sub-01,66,after,optimised,30,1
sub-01,67,after,optimised,150,1
sub-01,68,after,optimised,30,0
sub-01,69,after,optimised,150,1
sub-01,70,after,individual,150,1
sub-01,71,after,individual,30,1
sub-01,72,after,optimised,150,1
sub-01,73,after,optimised,150,1
sub-01,74,after,individual,150,1
sub-01,75,after,individual,150,1
sub-01,76,after,optimised,30,1
sub-01,77,after,individual,150,1
sub-01,78,after,individual,150,1
sub-01,79,after,optimised,30,1
sub-01,80,after,optimised,150,1
