participant,pair,band_fc_hz,better_ear_snr_gain_db
sub-02,T30 M150,30.0,4.839049792412759
sub-02,T30 M150,63.0,5.240696578862294
sub-02,T30 M150,99.0,5.240547673108411
sub-02,T30 M150,139.0,2.3154923961991343
sub-02,T30 M150,183.0,2.5027974951198178
sub-02,T30 M150,231.0,1.7399718964855015
sub-02,T30 M150,284.0,1.5354906516623237
sub-02,T30 M150,342.0,2.039532507875812
sub-02,T30 M150,407.0,2.841494359364624
sub-02,T30 M150,478.0,3.8845991512618494
sub-02,T30 M150,556.0,3.6244083868347503
sub-02,T30 M150,643.0,2.399497860757596
sub-02,T30 M150,739.0,2.728323275958757
sub-02,T30 M150,845.0,8.863491107994074
sub-02,T30 M150,963.0,10.852321867852895
sub-02,T30 M150,1094.0,10.161572199802372
sub-02,T30 M150,1240.0,7.050398731191613
sub-02,T30 M150,1403.0,9.054439288363604
sub-02,T30 M150,1585.0,5.8520545552129075
sub-02,T30 M150,1788.0,2.873435351741602
sub-02,T30 M150,2017.0,5.12675171600393
sub-02,T30 M150,2274.0,10.502317767468968
sub-02,T30 M150,2565.0,18.806504168111015
sub-02,T30 M150,2894.0,12.694098362107724
sub-02,T30 M150,3270.0,0.6760223994034158
sub-02,T30 M150,3699.0,-1.0078209503149456
sub-02,T30 M150,4192.0,8.259329075480839
sub-02,T30 M150,4763.0,16.85094851916029
sub-02,T30 M150,5428.0,10.28739704439867
sub-02,T30 M150,6210.0,3.7159052774352137
sub-02,T30 M150,7138.0,22.321551125488817
sub-02,T30 M150,8252.0,3.699419025785715
sub-02,T30 M150,9607.0,-5.560348628936332
sub-02,T30 M150,11287.0,-5.235436839169226
sub-02,T30 M150,13411.0,-12.904517564493371
sub-02,T30 M150,16171.0,-9.178749890908517
sub-02,T30 M150,19885.0,3.748313860417382
sub-02,T150 M30,30.0,-2.2874277881213985
sub-02,T150 M30,63.0,-2.4554995378539
sub-02,T150 M30,99.0,-2.229300617745124
sub-02,T150 M30,139.0,-1.9104592148708628
sub-02,T150 M30,183.0,-2.1715993264381765
sub-02,T150 M30,231.0,-0.9341064307806348
sub-02,T150 M30,284.0,-0.1479101421090164
sub-02,T150 M30,342.0,0.7694950275214038
sub-02,T150 M30,407.0,0.9888422462550004
sub-02,T150 M30,478.0,3.4779494410313045
sub-02,T150 M30,556.0,5.294379615657581
sub-02,T150 M30,643.0,5.960561308768434
sub-02,T150 M30,739.0,4.940555101504115
sub-02,T150 M30,845.0,4.570671714401621
sub-02,T150 M30,963.0,-5.054231853783522
sub-02,T150 M30,1094.0,7.21773906257909
sub-02,T150 M30,1240.0,9.773644559613173
sub-02,T150 M30,1403.0,13.699958168380595
sub-02,T150 M30,1585.0,10.369325125386371
sub-02,T150 M30,1788.0,3.327042612665622
sub-02,T150 M30,2017.0,-0.0904538302346725
sub-02,T150 M30,2274.0,1.242320837787097
sub-02,T150 M30,2565.0,3.3769579252976674
sub-02,T150 M30,2894.0,0.905837918917538
sub-02,T150 M30,3270.0,-0.9117153169434552
sub-02,T150 M30,3699.0,3.404657713672147
sub-02,T150 M30,4192.0,8.276865445271373
sub-02,T150 M30,4763.0,5.428579881176053
sub-02,T150 M30,5428.0,1.5999250225653934
sub-02,T150 M30,6210.0,-3.502977425251504
sub-02,T150 M30,7138.0,2.269772123858152
sub-02,T150 M30,8252.0,-0.374631082785557
sub-02,T150 M30,9607.0,4.4698998846465265
sub-02,T150 M30,11287.0,-5.30764045874866
sub-02,T150 M30,13411.0,2.9267296174541646
sub-02,T150 M30,16171.0,12.49964067292592
sub-02,T150 M30,19885.0,21.909785565471687
