participant,trial,session,hrtf,target_azimuth_deg,masker_azimuth_deg,correct,predicted_srm_db
sub-10,1,before,individual,30,30,1,-4.31697067145933
sub-10,2,before,optimised,30,30,0,-4.55908930311373
sub-10,3,before,optimised,150,30,0,0.338055441718311
sub-10,4,before,individual,30,150,1,-7.08388367212244
sub-10,5,before,optimised,30,30,1,-2.06256722717358
sub-10,6,before,individual,30,30,1,-2.37200863147354
sub-10,7,before,optimised,30,150,1,0.0781984698616337
sub-10,8,before,individual,150,30,0,-0.925548728366624
sub-10,9,before,individual,150,30,0,-0.999495627482922
sub-10,10,before,individual,150,30,1,-1.11747841423121
sub-10,11,before,individual,30,30,1,-4.42163877527441
sub-10,12,before,optimised,30,150,1,0.458129590219925
sub-10,13,before,individual,150,30,0,-5.21169246866521
sub-10,14,before,optimised,30,150,1,0.57304611517634
sub-10,15,before,optimised,30,150,1,0.563280101535338
sub-10,16,before,individual,30,150,1,-6.02189298147786
sub-10,17,before,optimised,150,30,1,-0.0794575727495582
sub-10,18,before,individual,150,30,1,-0.829175210426424
sub-10,19,before,individual,30,150,1,-6.73036722780911
sub-10,20,before,optimised,30,150,0,-3.44763004151015
sub-10,21,before,individual,30,150,1,-6.64497647444377
sub-10,22,before,optimised,30,30,1,-4.3304654512596
sub-10,23,before,individual,30,30,0,-7.07348671847294
sub-10,24,before,optimised,150,30,1,0.105568603235484
sub-10,25,before,optimised,150,30,1,-4.1669289034994
sub-10,26,before,individual,30,30,0,-3.76055407822774
sub-10,27,before,individual,30,30,1,-4.95594098255955
sub-10,28,before,optimised,30,30,0,-6.81483338055886
sub-10,29,before,optimised,150,30,1,0.356607954197823
sub-10,30,before,individual,150,30,1,-0.231172962536171
sub-10,31,before,individual,30,150,1,-10.6062758578716
sub-10,32,before,individual,150,30,1,-1.44480442327737
sub-10,33,before,individual,30,30,1,-7.23714302192142
sub-10,34,before,individual,30,30,0,-6.63337255224634
sub-10,35,before,optimised,30,30,0,-4.05640633689275
sub-10,36,before,optimised,150,30,0,0.475334267518655
sub-10,37,before,individual,30,150,1,-6.39322740840846
sub-10,38,before,individual,30,30,1,-9.03340035104086
sub-10,39,before,individual,150,30,1,-3.36023726527248
sub-10,40,before,optimised,30,30,1,-4.71169180431342
sub-10,41,before,optimised,30,150,1,1.07570708183169
sub-10,42,before,optimised,150,30,1,-0.58591898524301
sub-10,43,before,individual,150,30,1,-0.641092586641855
sub-10,44,before,individual,30,150,0,-6.4621468491551
sub-10,45,before,individual,30,150,0,-10.5091834434433
sub-10,46,before,optimised,30,30,1,-7.11491660570273
sub-10,47,before,optimised,150,30,1,-2.28133687236579
sub-10,48,before,individual,150,30,1,1.54281654604188
sub-10,49,before,optimised,30,30,0,-6.41907420216361
sub-10,50,before,optimised,30,30,0,-8.97794034209891
sub-10,51,before,individual,150,30,0,-1.65402603537929
sub-10,52,before,individual,150,30,1,-3.58401209211433
sub-10,53,before,individual,30,30,1,-5.05986985450823
sub-10,54,before,optimised,150,30,1,0.363245519158673
sub-10,55,before,optimised,150,30,1,2.56961382457124
sub-10,56,before,individual,30,150,0,-6.9702491150172
sub-10,57,before,individual,30,150,0,-10.790245416771
sub-10,58,before,optimised,30,30,1,-5.13493208306891
sub-10,59,before,individual,30,30,1,-9.13843232168553
sub-10,60,before,optimised,150,30,0,-0.410751291981277
sub-10,61,before,individual,30,150,0,-9.01346721646315
sub-10,62,before,optimised,150,30,1,-2.35962064632421
sub-10,63,before,optimised,150,30,1,-2.50143332569208
sub-10,64,before,individual,30,30,1,-4.63121085332976
sub-10,65,before,individual,150,30,1,-3.61280844180966
sub-10,66,before,optimised,150,30,1,-4.16099787007056
sub-10,67,before,optimised,30,150,0,0.608906525650196
sub-10,68,before,individual,30,150,0,-8.74644271970404
sub-10,69,before,optimised,30,30,1,-9.10434731294655
sub-10,70,before,individual,30,150,0,-5.5918092101015
sub-10,71,before,individual,30,150,1,-4.08991696415319
sub-10,72,before,optimised,150,30,0,-1.72912563431105
sub-10,73,before,individual,30,150,1,-8.81343959240405
sub-10,74,before,optimised,30,30,0,-4.46006136679459
sub-10,75,before,optimised,30,150,0,-3.5878502470384
sub-10,76,before,individual,30,30,0,-7.21875872381712
sub-10,77,before,optimised,30,30,0,-7.35964022970308
sub-10,78,before,optimised,30,150,0,0.117995804294637
sub-10,79,before,individual,150,30,1,-5.58967567062459
sub-10,80,before,optimised,30,150,1,-3.68496767275192
sub-10,81,before,individual,30,30,0,-4.72155313504652
sub-10,82,before,individual,30,30,0,-5.45428147522913
sub-10,83,before,optimised,30,30,0,-4.84146837440312
sub-10,84,before,optimised,150,30,1,-2.07248630171787
sub-10,85,before,optimised,30,150,1,-1.91092075254893
sub-10,86,before,optimised,30,150,1,-1.58497550806924
sub-10,87,before,individual,30,30,1,-5.13046955051106
sub-10,88,before,optimised,150,30,1,-0.387334261771821
sub-10,89,before,individual,30,150,1,-8.6457795740081
sub-10,90,before,optimised,30,30,0,-5.21144063031223
sub-10,91,before,individual,150,30,0,-2.68321473297414
sub-10,92,before,individual,30,150,0,-8.40809642293983
sub-10,93,before,optimised,30,150,1,1.1297484156934
sub-10,94,before,optimised,150,30,0,-4.23659157227611
sub-10,95,before,optimised,30,150,1,2.98850822738931
sub-10,96,before,individual,150,30,1,-3.04163069229186
