participant,trial,session,hrtf,location_deg,correct
sub-10,1,before,individual,150,1
sub-10,2,before,individual,30,1
sub-10,3,before,individual,30,1
sub-10,4,before,optimised,150,1
sub-10,5,before,individual,150,1
sub-10,6,before,individual,30,1
sub-10,7,before,optimised,150,1
sub-10,8,before,optimised,30,1
sub-10,9,before,optimised,30,1
sub-10,10,before,individual,30,0
sub-10,11,before,individual,30,0
sub-10,12,before,individual,150,1
sub-10,13,before,individual,30,1
sub-10,14,before,optimised,150,1
sub-10,15,before,individual,30,1
sub-10,16,before,optimised,150,1
sub-10,17,before,optimised,150,1
sub-10,18,before,individual,30,1
sub-10,19,before,individual,150,1
sub-10,20,before,optimised,30,1
sub-10,21,before,individual,150,1
sub-10,22,before,optimised,150,1
sub-10,23,before,optimised,30,1
sub-10,24,before,individual,150,1
sub-10,25,before,optimised,30,1
sub-10,26,before,optimised,150,1
sub-10,27,before,individual,30,1
sub-10,28,before,individual,150,1
sub-10,29,before,optimised,30,1
sub-10,30,before,individual,30,0
sub-10,31,before,optimised,150,1
sub-10,32,before,optimised,30,1
sub-10,33,before,optimised,30,1
sub-10,34,before,individual,30,1
sub-10,35,before,optimised,150,1
sub-10,36,before,optimised,30,1
sub-10,37,before,individual,150,1
sub-10,38,before,individual,30,1
sub-10,39,before,optimised,150,1
sub-10,40,before,individual,30,1
sub-10,41,before,individual,30,1
sub-10,42,before,individual,150,1
sub-10,43,before,optimised,30,1
sub-10,44,before,optimised,30,1
sub-10,45,before,individual,30,1
sub-10,46,before,individual,30,1
sub-10,47,before,individual,150,1
sub-10,48,before,optimised,30,1
sub-10,49,before,optimised,30,1
sub-10,50,before,optimised,30,1
sub-10,51,before,optimised,150,1
sub-10,52,before,optimised,150,1
sub-10,53,before,optimised,150,1
sub-10,54,before,individual,150,1
sub-10,55,before,optimised,150,1
sub-10,56,before,individual,150,1
sub-10,57,before,individual,30,1
sub-10,58,before,individual,30,1
sub-10,59,before,individual,150,1
sub-10,60,before,optimised,30,1
sub-10,61,before,optimised,150,1
sub-10,62,before,optimised,30,1
sub-10,63,before,individual,150,1
sub-10,64,before,individual,150,1
sub-10,65,before,individual,30,1
sub-10,66,before,optimised,30,1
sub-10,67,before,optimised,150,1
sub-10,68,before,optimised,30,1
sub-10,69,before,optimised,150,1
sub-10,70,before,individual,150,1
sub-10,71,before,individual,30,1
sub-10,72,before,optimised,150,1
sub-10,73,before,optimised,150,1
sub-10,74,before,individual,150,1
sub-10,75,before,individual,150,1
sub-10,76,before,optimised,30,1
sub-10,77,before,individual,150,1
sub-10,78,before,individual,150,1
sub-10,79,before,optimised,30,1
sub-10,80,before,optimised,150,1
sub-10,1,after,individual,150,1
sub-10,2,after,individual,30,1
sub-10,3,after,individual,30,1
sub-10,4,after,optimised,150,1
sub-10,5,after,individual,150,1
sub-10,6,after,individual,30,1
sub-10,7,after,optimised,150,1
sub-10,8,after,optimised,30,1
sub-10,9,after,optimised,30,1
sub-10,10,after,individual,30,1
sub-10,11,after,individual,30,1
sub-10,12,after,individual,150,1
sub-10,13,after,individual,30,1
sub-10,14,after,optimised,150,1
sub-10,15,after,individual,30,1
sub-10,16,after,optimised,150,1
sub-10,17,after,optimised,150,1
sub-10,18,after,individual,30,1
sub-10,19,after,individual,150,1
sub-10,20,after,optimised,30,1
sub-10,21,after,individual,150,1
sub-10,22,after,optimised,150,1
sub-10,23,after,optimised,30,1
sub-10,24,after,individual,150,1
sub-10,25,after,optimised,30,1
sub-10,26,after,optimised,150,1
sub-10,27,after,individual,30,1
sub-10,28,after,individual,150,1
sub-10,29,after,optimised,30,1
sub-10,30,after,individual,30,1
sub-10,31,after,optimised,150,1
sub-10,32,after,optimised,30,1
sub-10,33,after,optimised,30,1
sub-10,34,after,individual,30,1
sub-10,35,after,optimised,150,1
sub-10,36,after,optimised,30,1
sub-10,37,after,individual,150,1
sub-10,38,after,individual,30,1
sub-10,39,after,optimised,150,1
sub-10,40,after,individual,30,1
sub-10,41,after,individual,30,1
sub-10,42,after,individual,150,1
sub-10,43,after,optimised,30,1
sub-10,44,after,optimised,30,1
sub-10,45,after,individual,30,1
sub-10,46,after,individual,30,1
sub-10,47,after,individual,150,1
sub-10,48,after,optimised,30,1
sub-10,49,after,optimised,30,1
sub-10,50,after,optimised,30,1
sub-10,51,after,optimised,150,1
sub-10,52,after,optimised,150,1
sub-10,53,after,optimised,150,1
sub-10,54,after,individual,150,1
sub-10,55,after,optimised,150,1
sub-10,56,after,individual,150,1
sub-10,57,after,individual,30,1
sub-10,58,after,individual,30,1
sub-10,59,after,individual,150,1
sub-10,60,after,optimised,30,1
sub-10,61,after,optimised,150,1
sub-10,62,after,optimised,30,1
sub-10,63,after,individual,150,1
sub-10,64,after,individual,150,1
sub-10,65,after,individual,30,1
sub-10,66,after,optimised,30,1
sub-10,67,after,optimised,150,1
sub-10,68,after,optimised,30,1
sub-10,69,after,optimised,150,1
sub-10,70,after,individual,150,1
sub-10,71,after,individual,30,1
sub-10,72,after,optimised,150,1
sub-10,73,after,optimised,150,1
sub-10,74,after,individual,150,1
sub-10,75,after,individual,150,1
sub-10,76,after,optimised,30,1
sub-10,77,after,individual,150,1
sub-10,78,after,individual,150,1
sub-10,79,after,optimised,30,1
sub-10,80,after,optimised,150,1
