participant,pair,band_fc_hz,better_ear_snr_gain_db
sub-10,T30 M150,30.0,4.067021939328464
sub-10,T30 M150,63.0,4.591805397757259
sub-10,T30 M150,99.0,4.7158978502601565
sub-10,T30 M150,139.0,1.919480357465519
sub-10,T30 M150,183.0,2.5079852065157526
sub-10,T30 M150,231.0,1.8472940721738191
sub-10,T30 M150,284.0,1.8207338246950189
sub-10,T30 M150,342.0,2.67689085574328
sub-10,T30 M150,407.0,3.78640089199934
sub-10,T30 M150,478.0,3.4631982907020733
sub-10,T30 M150,556.0,4.1673362240001115
sub-10,T30 M150,643.0,3.630613638741701
sub-10,T30 M150,739.0,5.491162712209118
sub-10,T30 M150,845.0,9.999145372993686
sub-10,T30 M150,963.0,10.7602217179199
sub-10,T30 M150,1094.0,9.730646375880198
sub-10,T30 M150,1240.0,8.387120187517754
sub-10,T30 M150,1403.0,8.59290994006443
sub-10,T30 M150,1585.0,6.245046424872791
sub-10,T30 M150,1788.0,1.5391631461635482
sub-10,T30 M150,2017.0,2.7836923740381248
sub-10,T30 M150,2274.0,9.822149133293028
sub-10,T30 M150,2565.0,15.748955772716164
sub-10,T30 M150,2894.0,6.621310283359863
sub-10,T30 M150,3270.0,-3.367294788700997
sub-10,T30 M150,3699.0,-0.0777475459694319
sub-10,T30 M150,4192.0,10.003729308932895
sub-10,T30 M150,4763.0,15.544534673042287
sub-10,T30 M150,5428.0,6.914411663319974
sub-10,T30 M150,6210.0,-4.819056439444402
sub-10,T30 M150,7138.0,14.600375883906656
sub-10,T30 M150,8252.0,-3.0150873306369426
sub-10,T30 M150,9607.0,-6.5566465575279125
sub-10,T30 M150,11287.0,1.3982931636167837
sub-10,T30 M150,13411.0,-20.08505856236179
sub-10,T30 M150,16171.0,-11.964503000025962
sub-10,T30 M150,19885.0,-3.755164228601357
sub-10,T150 M30,30.0,-1.9486221572778468
sub-10,T150 M30,63.0,-2.19934508159038
sub-10,T150 M30,99.0,-2.05756129831569
sub-10,T150 M30,139.0,-1.8215393007645395
sub-10,T150 M30,183.0,-1.935187006059839
sub-10,T150 M30,231.0,-0.8482138383006814
sub-10,T150 M30,284.0,-0.1342797876313221
sub-10,T150 M30,342.0,1.0623518797629612
sub-10,T150 M30,407.0,1.8658792987849453
sub-10,T150 M30,478.0,3.2606577817716795
sub-10,T150 M30,556.0,5.504947056622183
sub-10,T150 M30,643.0,5.535822999129928
sub-10,T150 M30,739.0,5.609921293410928
sub-10,T150 M30,845.0,4.771577083977249
sub-10,T150 M30,963.0,0.8586904377657998
sub-10,T150 M30,1094.0,6.947296774255422
sub-10,T150 M30,1240.0,12.336568130445604
sub-10,T150 M30,1403.0,14.628545780153836
sub-10,T150 M30,1585.0,11.222146132449843
sub-10,T150 M30,1788.0,2.1652741693916315
sub-10,T150 M30,2017.0,-1.450335959591131
sub-10,T150 M30,2274.0,4.599319492142622
sub-10,T150 M30,2565.0,-0.5603148692908757
sub-10,T150 M30,2894.0,5.547700207418128
sub-10,T150 M30,3270.0,2.0721448096331745
sub-10,T150 M30,3699.0,0.8865309640554666
sub-10,T150 M30,4192.0,3.349705426358257
sub-10,T150 M30,4763.0,4.520613244465057
sub-10,T150 M30,5428.0,2.8964896476897377
sub-10,T150 M30,6210.0,-1.5592817147238265
sub-10,T150 M30,7138.0,10.534681130898113
sub-10,T150 M30,8252.0,10.91900127692945
sub-10,T150 M30,9607.0,2.7318535070898244
sub-10,T150 M30,11287.0,6.953624848423026
sub-10,T150 M30,13411.0,2.9180255862260314
sub-10,T150 M30,16171.0,15.506350725522426
sub-10,T150 M30,19885.0,29.767156193721924
