participant,trial,session,hrtf,location_deg,correct
sub-12,1,before,individual,150,1
sub-12,2,before,individual,30,0
sub-12,3,before,individual,30,0
sub-12,4,before,optimised,150,1
sub-12,5,before,individual,150,1
sub-12,6,before,individual,30,1
sub-12,7,before,optimised,150,1
sub-12,8,before,optimised,30,0
sub-12,9,before,optimised,30,0
sub-12,10,before,individual,30,1
sub-12,11,before,individual,30,1
sub-12,12,before,individual,150,1
sub-12,13,before,individual,30,1
sub-12,14,before,optimised,150,1
sub-12,15,before,individual,30,1
sub-12,16,before,optimised,150,1
sub-12,17,before,optimised,150,1
sub-12,18,before,individual,30,1
sub-12,19,before,individual,150,1
sub-12,20,before,optimised,30,0
sub-12,21,before,individual,150,1
sub-12,22,before,optimised,150,1
sub-12,23,before,optimised,30,0
sub-12,24,before,individual,150,1
sub-12,25,before,optimised,30,0
sub-12,26,before,optimised,150,1
sub-12,27,before,individual,30,1
sub-12,28,before,individual,150,1
sub-12,29,before,optimised,30,0
sub-12,30,before,individual,30,1
sub-12,31,before,optimised,150,1
sub-12,32,before,optimised,30,1
sub-12,33,before,optimised,30,0
sub-12,34,before,individual,30,1
sub-12,35,before,optimised,150,1
sub-12,36,before,optimised,30,0
sub-12,37,before,individual,150,1
sub-12,38,before,individual,30,1
sub-12,39,before,optimised,150,0
sub-12,40,before,individual,30,1
sub-12,41,before,individual,30,1
sub-12,42,before,individual,150,1
sub-12,43,before,optimised,30,0
sub-12,44,before,optimised,30,0
sub-12,45,before,individual,30,1
sub-12,46,before,individual,30,1
sub-12,47,before,individual,150,0
sub-12,48,before,optimised,30,1
sub-12,49,before,optimised,30,0
sub-12,50,before,optimised,30,0
sub-12,51,before,optimised,150,1
sub-12,52,before,optimised,150,1
sub-12,53,before,optimised,150,1
sub-12,54,before,individual,150,1
sub-12,55,before,optimised,150,1
sub-12,56,before,individual,150,1
sub-12,57,before,individual,30,1
sub-12,58,before,individual,30,1
sub-12,59,before,individual,150,1
sub-12,60,before,optimised,30,0
sub-12,61,before,optimised,150,1
sub-12,62,before,optimised,30,0
sub-12,63,before,individual,150,1
sub-12,64,before,individual,150,1
sub-12,65,before,individual,30,1
sub-12,66,before,optimised,30,0
sub-12,67,before,optimised,150,1
sub-12,68,before,optimised,30,0
sub-12,69,before,optimised,150,1
sub-12,70,before,individual,150,1
sub-12,71,before,individual,30,1
sub-12,72,before,optimised,150,1
sub-12,73,before,optimised,150,1
sub-12,74,before,individual,150,1
sub-12,75,before,individual,150,1
sub-12,76,before,optimised,30,0
sub-12,77,before,individual,150,1
sub-12,78,before,individual,150,1
sub-12,79,before,optimised,30,0
sub-12,80,before,optimised,150,1
sub-12,1,after,individual,150,1
sub-12,2,after,individual,30,1
sub-12,3,after,individual,30,1
sub-12,4,after,optimised,150,1
sub-12,5,after,individual,150,1
sub-12,6,after,individual,30,1
sub-12,7,after,optimised,150,1
sub-12,8,after,optimised,30,0
sub-12,9,after,optimised,30,0
sub-12,10,after,individual,30,1
sub-12,11,after,individual,30,1
sub-12,12,after,individual,150,1
sub-12,13,after,individual,30,1
sub-12,14,after,optimised,150,1
sub-12,15,after,individual,30,1
sub-12,16,after,optimised,150,1
sub-12,17,after,optimised,150,1
sub-12,18,after,individual,30,1
sub-12,19,after,individual,150,1
sub-12,20,after,optimised,30,0
sub-12,21,after,individual,150,1
sub-12,22,after,optimised,150,1
sub-12,23,after,optimised,30,1
sub-12,24,after,individual,150,0
sub-12,25,after,optimised,30,1
sub-12,26,after,optimised,150,1
sub-12,27,after,individual,30,1
sub-12,28,after,individual,150,1
sub-12,29,after,optimised,30,0
sub-12,30,after,individual,30,1
sub-12,31,after,optimised,150,1
sub-12,32,after,optimised,30,1
sub-12,33,after,optimised,30,1
sub-12,34,after,individual,30,1
sub-12,35,after,optimised,150,1
sub-12,36,after,optimised,30,1
sub-12,37,after,individual,150,1
sub-12,38,after,individual,30,1
sub-12,39,after,optimised,150,1
sub-12,40,after,individual,30,1
sub-12,41,after,individual,30,1
sub-12,42,after,individual,150,1
sub-12,43,after,optimised,30,0
sub-12,44,after,optimised,30,0
sub-12,45,after,individual,30,1
sub-12,46,after,individual,30,1
sub-12,47,after,individual,150,0
sub-12,48,after,optimised,30,0
sub-12,49,after,optimised,30,0
sub-12,50,after,optimised,30,0
sub-12,51,after,optimised,150,1
sub-12,52,after,optimised,150,1
sub-12,53,after,optimised,150,1
sub-12,54,after,individual,150,1
sub-12,55,after,optimised,150,1
sub-12,56,after,individual,150,1
sub-12,57,after,individual,30,1
sub-12,58,after,individual,30,1
sub-12,59,after,individual,150,1
sub-12,60,after,optimised,30,1
sub-12,61,after,optimised,150,1
sub-12,62,after,optimised,30,1
sub-12,63,after,individual,150,1
sub-12,64,after,individual,150,1
sub-12,65,after,individual,30,1
sub-12,66,after,optimised,30,1
sub-12,67,after,optimised,150,1
sub-12,68,after,optimised,30,1
sub-12,69,after,optimised,150,1
sub-12,70,after,individual,150,1
sub-12,71,after,individual,30,1
sub-12,72,after,optimised,150,1
sub-12,73,after,optimised,150,1
sub-12,74,after,individual,150,1
sub-12,75,after,individual,150,1
sub-12,76,after,optimised,30,0
sub-12,77,after,individual,150,1
sub-12,78,after,individual,150,1
sub-12,79,after,optimised,30,0
sub-12,80,after,optimised,150,1
