participant,trial,session,hrtf,target_azimuth_deg,masker_azimuth_deg,correct,predicted_srm_db
sub-04,1,before,individual,30,30,0,-4.45629116253751
sub-04,2,before,optimised,30,30,0,-4.55908930311373
sub-04,3,before,optimised,150,30,1,0.338055441718311
sub-04,4,before,individual,30,150,0,-6.93140474358023
sub-04,5,before,optimised,30,30,0,-2.06256722717358
sub-04,6,before,individual,30,30,1,-2.25963876444916
sub-04,7,before,optimised,30,150,0,0.0781984698616337
sub-04,8,before,individual,150,30,1,-1.11739889919796
sub-04,9,before,individual,150,30,0,-1.41408639528332
sub-04,10,before,individual,150,30,0,-1.19195566798902
sub-04,11,before,individual,30,30,0,-4.37792870668374
sub-04,12,before,optimised,30,150,0,0.458129590219925
sub-04,13,before,individual,150,30,0,-5.33174025684108
sub-04,14,before,optimised,30,150,0,0.57304611517634
sub-04,15,before,optimised,30,150,0,0.563280101535338
sub-04,16,before,individual,30,150,0,-6.01996786932356
sub-04,17,before,optimised,150,30,0,-0.0794575727495582
sub-04,18,before,individual,150,30,0,-0.823935943529303
sub-04,19,before,individual,30,150,0,-6.49542778981142
sub-04,20,before,optimised,30,150,0,-3.44763004151015
sub-04,21,before,individual,30,150,0,-6.50993958139354
sub-04,22,before,optimised,30,30,0,-4.3304654512596
sub-04,23,before,individual,30,30,0,-6.95719559865032
sub-04,24,before,optimised,150,30,0,0.105568603235484
sub-04,25,before,optimised,150,30,0,-4.1669289034994
sub-04,26,before,individual,30,30,0,-3.74827446300887
sub-04,27,before,individual,30,30,0,-4.86473984074541
sub-04,28,before,optimised,30,30,0,-6.81483338055886
sub-04,29,before,optimised,150,30,1,0.356607954197823
sub-04,30,before,individual,150,30,1,-0.345130113872628
sub-04,31,before,individual,30,150,0,-10.2650755548352
sub-04,32,before,individual,150,30,0,-1.49289703224439
sub-04,33,before,individual,30,30,0,-7.17780811324775
sub-04,34,before,individual,30,30,0,-6.71288091827949
sub-04,35,before,optimised,30,30,1,-4.05640633689275
sub-04,36,before,optimised,150,30,0,0.475334267518655
sub-04,37,before,individual,30,150,1,-6.08748312196652
sub-04,38,before,individual,30,30,0,-9.01353406353986
sub-04,39,before,individual,150,30,0,-3.59696362774143
sub-04,40,before,optimised,30,30,0,-4.71169180431342
sub-04,41,before,optimised,30,150,1,1.07570708183169
sub-04,42,before,optimised,150,30,0,-0.58591898524301
sub-04,43,before,individual,150,30,0,-0.942837529911964
sub-04,44,before,individual,30,150,0,-6.38977869237366
sub-04,45,before,individual,30,150,0,-10.3336957850657
sub-04,46,before,optimised,30,30,0,-7.11491660570273
sub-04,47,before,optimised,150,30,0,-2.28133687236579
sub-04,48,before,individual,150,30,1,1.14708253206026
sub-04,49,before,optimised,30,30,0,-6.41907420216361
sub-04,50,before,optimised,30,30,0,-8.97794034209891
sub-04,51,before,individual,150,30,0,-1.86553318581092
sub-04,52,before,individual,150,30,0,-3.83917748952296
sub-04,53,before,individual,30,30,0,-4.90303549394206
sub-04,54,before,optimised,150,30,0,0.363245519158673
sub-04,55,before,optimised,150,30,1,2.56961382457124
sub-04,56,before,individual,30,150,0,-6.84053962289348
sub-04,57,before,individual,30,150,0,-10.778972406988
sub-04,58,before,optimised,30,30,0,-5.13493208306891
sub-04,59,before,individual,30,30,0,-9.10685031819683
sub-04,60,before,optimised,150,30,0,-0.410751291981277
sub-04,61,before,individual,30,150,0,-8.95206427208947
sub-04,62,before,optimised,150,30,0,-2.35962064632421
sub-04,63,before,optimised,150,30,0,-2.50143332569208
sub-04,64,before,individual,30,30,0,-4.68923390193781
sub-04,65,before,individual,150,30,0,-3.70608117477438
sub-04,66,before,optimised,150,30,0,-4.16099787007056
sub-04,67,before,optimised,30,150,0,0.608906525650196
sub-04,68,before,individual,30,150,0,-8.33274595419796
sub-04,69,before,optimised,30,30,0,-9.10434731294655
sub-04,70,before,individual,30,150,0,-5.31380225497707
sub-04,71,before,individual,30,150,1,-3.83191187613284
sub-04,72,before,optimised,150,30,0,-1.72912563431105
sub-04,73,before,individual,30,150,0,-8.80370743637512
sub-04,74,before,optimised,30,30,1,-4.46006136679459
sub-04,75,before,optimised,30,150,0,-3.5878502470384
sub-04,76,before,individual,30,30,0,-7.21986220987561
sub-04,77,before,optimised,30,30,0,-7.35964022970308
sub-04,78,before,optimised,30,150,0,0.117995804294637
sub-04,79,before,individual,150,30,1,-5.55691680276226
sub-04,80,before,optimised,30,150,0,-3.68496767275192
sub-04,81,before,individual,30,30,0,-4.62442766656725
sub-04,82,before,individual,30,30,1,-5.17015926983742
sub-04,83,before,optimised,30,30,0,-4.84146837440312
sub-04,84,before,optimised,150,30,0,-2.07248630171787
sub-04,85,before,optimised,30,150,0,-1.91092075254893
sub-04,86,before,optimised,30,150,0,-1.58497550806924
sub-04,87,before,individual,30,30,0,-5.19806336414533
sub-04,88,before,optimised,150,30,0,-0.387334261771821
sub-04,89,before,individual,30,150,0,-8.54093730107025
sub-04,90,before,optimised,30,30,0,-5.21144063031223
sub-04,91,before,individual,150,30,0,-2.96796208749108
sub-04,92,before,individual,30,150,0,-8.32647759394204
sub-04,93,before,optimised,30,150,0,1.1297484156934
sub-04,94,before,optimised,150,30,0,-4.23659157227611
sub-04,95,before,optimised,30,150,1,2.98850822738931
sub-04,96,before,individual,150,30,1,-3.43050855079959
sub-04,97,before,optimised,30,150,0,-2.12731008408866
sub-04,98,before,individual,30,150,0,-10.7482704170892
sub-04,99,before,optimised,150,30,0,-0.604645700030224
sub-04,100,before,optimised,30,30,0,-5.15040352156466
sub-04,101,before,individual,150,30,0,-1.5804133524333
sub-04,102,before,individual,30,150,0,-6.092383097353
sub-04,103,before,optimised,30,150,1,-1.58314367507494
sub-04,104,before,individual,150,30,0,-5.28350543810809
sub-04,105,before,optimised,30,150,0,-1.24394743476767
sub-04,106,before,individual,30,30,0,-6.87823481348023
sub-04,107,before,optimised,30,150,0,-3.74577429156531
sub-04,108,before,individual,150,30,0,-2.074304491121
sub-04,109,before,optimised,30,30,0,-6.73921113065487
sub-04,110,before,optimised,30,30,0,-8.81567943770284
sub-04,111,before,individual,30,30,0,-8.74595588373529
sub-04,112,before,optimised,30,150,1,0.864081587871682
sub-04,113,before,optimised,30,150,0,0.083091464060339
sub-04,114,before,individual,150,30,1,-5.42398223589245
sub-04,115,before,individual,30,150,0,-7.0266459721971
sub-04,116,before,individual,30,30,0,-5.43991401650615
sub-04,117,before,optimised,30,30,0,-5.43024583980313
sub-04,118,before,optimised,150,30,1,-4.41047476339127
sub-04,119,before,individual,30,30,0,-8.67190798366944
sub-04,120,before,optimised,30,30,0,-8.87208113765024
sub-04,1,after,individual,30,30,0,-4.45629116253751
sub-04,2,after,optimised,30,30,0,-4.55908930311373
sub-04,3,after,optimised,150,30,1,0.338055441718311
sub-04,4,after,individual,30,150,0,-6.93140474358023
sub-04,5,after,optimised,30,30,1,-2.06256722717358
sub-04,6,after,individual,30,30,1,-2.25963876444916
sub-04,7,after,optimised,30,150,0,0.0781984698616337
sub-04,8,after,individual,150,30,1,-1.11739889919796
sub-04,9,after,individual,150,30,0,-1.41408639528332
sub-04,10,after,individual,150,30,0,-1.19195566798902
sub-04,11,after,individual,30,30,1,-4.37792870668374
sub-04,12,after,optimised,30,150,0,0.458129590219925
sub-04,13,after,individual,150,30,0,-5.33174025684108
sub-04,14,after,optimised,30,150,0,0.57304611517634
sub-04,15,after,optimised,30,150,1,0.563280101535338
sub-04,16,after,individual,30,150,0,-6.01996786932356
sub-04,17,after,optimised,150,30,0,-0.0794575727495582
sub-04,18,after,individual,150,30,1,-0.823935943529303
sub-04,19,after,individual,30,150,0,-6.49542778981142
sub-04,20,after,optimised,30,150,0,-3.44763004151015
sub-04,21,after,individual,30,150,0,-6.50993958139354
sub-04,22,after,optimised,30,30,0,-4.3304654512596
sub-04,23,after,individual,30,30,0,-6.95719559865032
sub-04,24,after,optimised,150,30,0,0.105568603235484
