participant,pair,band_fc_hz,better_ear_snr_gain_db
sub-04,T30 M150,30.0,4.531100058958424
sub-04,T30 M150,63.0,4.952444350104093
sub-04,T30 M150,99.0,4.919274995531377
sub-04,T30 M150,139.0,1.9316797732087596
sub-04,T30 M150,183.0,2.1611168457390004
sub-04,T30 M150,231.0,1.3615788495935917
sub-04,T30 M150,284.0,1.0568443894498496
sub-04,T30 M150,342.0,1.4747211234617783
sub-04,T30 M150,407.0,2.331096401645991
sub-04,T30 M150,478.0,3.5309250030207147
sub-04,T30 M150,556.0,3.8495974186197057
sub-04,T30 M150,643.0,2.9732206282100035
sub-04,T30 M150,739.0,2.4653492653742255
sub-04,T30 M150,845.0,5.425409007906989
sub-04,T30 M150,963.0,6.89182174625376
sub-04,T30 M150,1094.0,9.782927365385794
sub-04,T30 M150,1240.0,11.58331045689722
sub-04,T30 M150,1403.0,9.566487667080487
sub-04,T30 M150,1585.0,7.049527249723499
sub-04,T30 M150,1788.0,3.739612756104529
sub-04,T30 M150,2017.0,3.3791585241260793
sub-04,T30 M150,2274.0,11.264366201161426
sub-04,T30 M150,2565.0,16.84349915499184
sub-04,T30 M150,2894.0,11.54134969608056
sub-04,T30 M150,3270.0,0.0355851054636104
sub-04,T30 M150,3699.0,-2.964866453251924
sub-04,T30 M150,4192.0,5.604866107930317
sub-04,T30 M150,4763.0,14.797239259743945
sub-04,T30 M150,5428.0,7.699032969336734
sub-04,T30 M150,6210.0,-1.2111593950637287
sub-04,T30 M150,7138.0,19.092347135709172
sub-04,T30 M150,8252.0,2.150370208149176
sub-04,T30 M150,9607.0,-10.681936468424569
sub-04,T30 M150,11287.0,-9.68448812431764
sub-04,T30 M150,13411.0,-7.269316489277514
sub-04,T30 M150,16171.0,-16.66095848344667
sub-04,T30 M150,19885.0,6.849211708916874
sub-04,T150 M30,30.0,-1.7661993411548889
sub-04,T150 M30,63.0,-1.989094104825126
sub-04,T150 M30,99.0,-1.8196248026788653
sub-04,T150 M30,139.0,-1.548034086278646
sub-04,T150 M30,183.0,-1.7208632094304457
sub-04,T150 M30,231.0,-0.4566576829701589
sub-04,T150 M30,284.0,0.2992569927568371
sub-04,T150 M30,342.0,1.150763397308531
sub-04,T150 M30,407.0,1.373698955409084
sub-04,T150 M30,478.0,3.788970683638064
sub-04,T150 M30,556.0,5.22020406034809
sub-04,T150 M30,643.0,5.364738955294372
sub-04,T150 M30,739.0,4.6985745721928405
sub-04,T150 M30,845.0,5.789757049510756
sub-04,T150 M30,963.0,6.8895978422604
sub-04,T150 M30,1094.0,7.117315853934333
sub-04,T150 M30,1240.0,8.866980326457202
sub-04,T150 M30,1403.0,13.349566527887683
sub-04,T150 M30,1585.0,11.544400393906187
sub-04,T150 M30,1788.0,1.989630290812061
sub-04,T150 M30,2017.0,0.9226278117270572
sub-04,T150 M30,2274.0,5.259395653011026
sub-04,T150 M30,2565.0,5.421976159342831
sub-04,T150 M30,2894.0,0.9908976492712208
sub-04,T150 M30,3270.0,1.2465712936165612
sub-04,T150 M30,3699.0,2.4045900303952674
sub-04,T150 M30,4192.0,6.310935935408917
sub-04,T150 M30,4763.0,8.027597283909964
sub-04,T150 M30,5428.0,3.952055198268904
sub-04,T150 M30,6210.0,-5.30508876906445
sub-04,T150 M30,7138.0,1.851475361956764
sub-04,T150 M30,8252.0,7.918609982030663
sub-04,T150 M30,9607.0,6.908429184381962
sub-04,T150 M30,11287.0,10.440130173726253
sub-04,T150 M30,13411.0,9.465378667540811
sub-04,T150 M30,16171.0,15.257039373698808
sub-04,T150 M30,19885.0,18.282589103819575
