participant,pair,band_fc_hz,better_ear_snr_gain_db
sub-18,T30 M150,30.0,4.112732849710916
sub-18,T30 M150,63.0,4.720061847062945
sub-18,T30 M150,99.0,4.95215093472866
sub-18,T30 M150,139.0,2.264135005258689
sub-18,T30 M150,183.0,2.974483534651305
sub-18,T30 M150,231.0,2.458643338558346
sub-18,T30 M150,284.0,2.3841140615569856
sub-18,T30 M150,342.0,2.682497207333905
sub-18,T30 M150,407.0,2.713347284226323
sub-18,T30 M150,478.0,2.997718776820146
sub-18,T30 M150,556.0,3.755733929137578
sub-18,T30 M150,643.0,4.612860787403161
sub-18,T30 M150,739.0,5.0711558279859865
sub-18,T30 M150,845.0,5.131242562544877
sub-18,T30 M150,963.0,6.832300018002955
sub-18,T30 M150,1094.0,11.748683612675562
sub-18,T30 M150,1240.0,9.900113555632952
sub-18,T30 M150,1403.0,10.043076296006085
sub-18,T30 M150,1585.0,7.0013580538078815
sub-18,T30 M150,1788.0,0.6646837328258859
sub-18,T30 M150,2017.0,1.8640974807100568
sub-18,T30 M150,2274.0,8.673571293085686
sub-18,T30 M150,2565.0,14.35213342792064
sub-18,T30 M150,2894.0,9.62189615130301
sub-18,T30 M150,3270.0,-1.0209161891460372
sub-18,T30 M150,3699.0,-3.5131879917209936
sub-18,T30 M150,4192.0,0.1675440922017479
sub-18,T30 M150,4763.0,14.873297016517018
sub-18,T30 M150,5428.0,13.180523799925568
sub-18,T30 M150,6210.0,7.385805295693587
sub-18,T30 M150,7138.0,16.981442637932027
sub-18,T30 M150,8252.0,2.2730909661293373
sub-18,T30 M150,9607.0,-1.5843718767391028
sub-18,T30 M150,11287.0,-3.749400102621669
sub-18,T30 M150,13411.0,1.3162871345518137
sub-18,T30 M150,16171.0,-12.042976921157583
sub-18,T30 M150,19885.0,12.344892512952509
sub-18,T150 M30,30.0,-1.859121211521355
sub-18,T150 M30,63.0,-2.191019071038389
sub-18,T150 M30,99.0,-2.1688776363174407
sub-18,T150 M30,139.0,-2.088695778787069
sub-18,T150 M30,183.0,-2.3469696681369605
sub-18,T150 M30,231.0,-1.1987461581209895
sub-18,T150 M30,284.0,-0.2363179796404436
sub-18,T150 M30,342.0,1.29181764808523
sub-18,T150 M30,407.0,2.0903249182214885
sub-18,T150 M30,478.0,4.1188845255307545
sub-18,T150 M30,556.0,4.8691014272073625
sub-18,T150 M30,643.0,5.144779348999881
sub-18,T150 M30,739.0,6.0183626820521035
sub-18,T150 M30,845.0,7.6507594819230516
sub-18,T150 M30,963.0,7.239979512340413
sub-18,T150 M30,1094.0,-0.7233960832956701
sub-18,T150 M30,1240.0,10.36761863568334
sub-18,T150 M30,1403.0,11.527518389365142
sub-18,T150 M30,1585.0,10.849208482940885
sub-18,T150 M30,1788.0,2.00232961004792
sub-18,T150 M30,2017.0,2.696579554193967
sub-18,T150 M30,2274.0,4.692690727878763
sub-18,T150 M30,2565.0,5.382022247569654
sub-18,T150 M30,2894.0,0.3803670813270963
sub-18,T150 M30,3270.0,1.4932274836857238
sub-18,T150 M30,3699.0,0.7708545183948401
sub-18,T150 M30,4192.0,2.087042906003977
sub-18,T150 M30,4763.0,1.8514113183059584
sub-18,T150 M30,5428.0,-8.459403467823844
sub-18,T150 M30,6210.0,-6.691315906339167
sub-18,T150 M30,7138.0,4.214327029586938
sub-18,T150 M30,8252.0,4.482804683307158
sub-18,T150 M30,9607.0,-4.944297614805102
sub-18,T150 M30,11287.0,7.337864764188396
sub-18,T150 M30,13411.0,4.11451176829824
sub-18,T150 M30,16171.0,2.2399955435430705
sub-18,T150 M30,19885.0,13.655695579544064
