participant,trial,session,hrtf,location_deg,correct
sub-18,1,before,individual,150,1
sub-18,2,before,individual,30,1
sub-18,3,before,individual,30,1
sub-18,4,before,optimised,150,1
sub-18,5,before,individual,150,1
sub-18,6,before,individual,30,1
sub-18,7,before,optimised,150,1
sub-18,8,before,optimised,30,0
sub-18,9,before,optimised,30,1
sub-18,10,before,individual,30,1
sub-18,11,before,individual,30,1
sub-18,12,before,individual,150,1
sub-18,13,before,individual,30,1
sub-18,14,before,optimised,150,1
sub-18,15,before,individual,30,1
sub-18,16,before,optimised,150,1
sub-18,17,before,optimised,150,1
sub-18,18,before,individual,30,1
sub-18,19,before,individual,150,1
sub-18,20,before,optimised,30,1
sub-18,21,before,individual,150,1
sub-18,22,before,optimised,150,1
sub-18,23,before,optimised,30,1
sub-18,24,before,individual,150,0
sub-18,25,before,optimised,30,1
sub-18,26,before,optimised,150,1
sub-18,27,before,individual,30,0
sub-18,28,before,individual,150,1
sub-18,29,before,optimised,30,0
sub-18,30,before,individual,30,1
sub-18,31,before,optimised,150,1
sub-18,32,before,optimised,30,1
sub-18,33,before,optimised,30,1
sub-18,34,before,individual,30,1
sub-18,35,before,optimised,150,0
sub-18,36,before,optimised,30,1
sub-18,37,before,individual,150,0
sub-18,38,before,individual,30,1
sub-18,39,before,optimised,150,0
sub-18,40,before,individual,30,1
sub-18,41,before,individual,30,1
sub-18,42,before,individual,150,0
sub-18,43,before,optimised,30,1
sub-18,44,before,optimised,30,1
sub-18,45,before,individual,30,1
sub-18,46,before,individual,30,1
sub-18,47,before,individual,150,0
sub-18,48,before,optimised,30,1
sub-18,49,before,optimised,30,1
sub-18,50,before,optimised,30,1
sub-18,51,before,optimised,150,1
sub-18,52,before,optimised,150,1
sub-18,53,before,optimised,150,1
sub-18,54,before,individual,150,1
sub-18,55,before,optimised,150,1
sub-18,56,before,individual,150,1
sub-18,57,before,individual,30,0
sub-18,58,before,individual,30,0
sub-18,59,before,individual,150,1
sub-18,60,before,optimised,30,1
sub-18,61,before,optimised,150,0
sub-18,62,before,optimised,30,1
sub-18,63,before,individual,150,1
sub-18,64,before,individual,150,1
sub-18,65,before,individual,30,1
sub-18,66,before,optimised,30,1
sub-18,67,before,optimised,150,1
sub-18,68,before,optimised,30,1
sub-18,69,before,optimised,150,0
sub-18,70,before,individual,150,1
sub-18,71,before,individual,30,1
sub-18,72,before,optimised,150,0
sub-18,73,before,optimised,150,1
sub-18,74,before,individual,150,1
sub-18,75,before,individual,150,1
sub-18,76,before,optimised,30,1
sub-18,77,before,individual,150,1
sub-18,78,before,individual,150,0
sub-18,79,before,optimised,30,1
sub-18,80,before,optimised,150,1
sub-18,1,after,individual,150,0
sub-18,2,after,individual,30,1
sub-18,3,after,individual,30,1
sub-18,4,after,optimised,150,1
sub-18,5,after,individual,150,1
sub-18,6,after,individual,30,0
sub-18,7,after,optimised,150,1
sub-18,8,after,optimised,30,1
sub-18,9,after,optimised,30,1
sub-18,10,after,individual,30,0
sub-18,11,after,individual,30,0
sub-18,12,after,individual,150,1
sub-18,13,after,individual,30,0
sub-18,14,after,optimised,150,1
sub-18,15,after,individual,30,0
sub-18,16,after,optimised,150,1
sub-18,17,after,optimised,150,1
sub-18,18,after,individual,30,0
sub-18,19,after,individual,150,1
sub-18,20,after,optimised,30,1
sub-18,21,after,individual,150,1
sub-18,22,after,optimised,150,1
sub-18,23,after,optimised,30,1
sub-18,24,after,individual,150,1
sub-18,25,after,optimised,30,1
sub-18,26,after,optimised,150,1
sub-18,27,after,individual,30,0
sub-18,28,after,individual,150,1
sub-18,29,after,optimised,30,1
sub-18,30,after,individual,30,1
sub-18,31,after,optimised,150,1
sub-18,32,after,optimised,30,0
sub-18,33,after,optimised,30,0
sub-18,34,after,individual,30,0
sub-18,35,after,optimised,150,1
sub-18,36,after,optimised,30,1
sub-18,37,after,individual,150,0
sub-18,38,after,individual,30,1
sub-18,39,after,optimised,150,0
sub-18,40,after,individual,30,1
sub-18,41,after,individual,30,1
sub-18,42,after,individual,150,0
sub-18,43,after,optimised,30,1
sub-18,44,after,optimised,30,1
sub-18,45,after,individual,30,1
sub-18,46,after,individual,30,1
sub-18,47,after,individual,150,0
sub-18,48,after,optimised,30,1
sub-18,49,after,optimised,30,1
sub-18,50,after,optimised,30,1
sub-18,51,after,optimised,150,0
sub-18,52,after,optimised,150,0
sub-18,53,after,optimised,150,0
sub-18,54,after,individual,150,0
sub-18,55,after,optimised,150,0
sub-18,56,after,individual,150,0
sub-18,57,after,individual,30,1
sub-18,58,after,individual,30,1
sub-18,59,after,individual,150,0
sub-18,60,after,optimised,30,1
sub-18,61,after,optimised,150,0
sub-18,62,after,optimised,30,1
sub-18,63,after,individual,150,0
sub-18,64,after,individual,150,0
sub-18,65,after,individual,30,1
sub-18,66,after,optimised,30,1
sub-18,67,after,optimised,150,0
sub-18,68,after,optimised,30,1
sub-18,69,after,optimised,150,0
sub-18,70,after,individual,150,0
sub-18,71,after,individual,30,1
sub-18,72,after,optimised,150,0
sub-18,73,after,optimised,150,0
sub-18,74,after,individual,150,0
sub-18,75,after,individual,150,0
sub-18,76,after,optimised,30,1
sub-18,77,after,individual,150,1
sub-18,78,after,individual,150,1
sub-18,79,after,optimised,30,0
sub-18,80,after,optimised,150,1
