participant,trial,session,hrtf,location_deg,correct
sub-17,1,before,individual,150,1
sub-17,2,before,individual,30,1
sub-17,3,before,individual,30,1
sub-17,4,before,optimised,150,1
sub-17,5,before,individual,150,0
sub-17,6,before,individual,30,1
sub-17,7,before,optimised,150,1
sub-17,8,before,optimised,30,1
sub-17,9,before,optimised,30,1
sub-17,10,before,individual,30,1
sub-17,11,before,individual,30,1
sub-17,12,before,individual,150,0
sub-17,13,before,individual,30,1
sub-17,14,before,optimised,150,1
sub-17,15,before,individual,30,0
sub-17,16,before,optimised,150,1
sub-17,17,before,optimised,150,1
sub-17,18,before,individual,30,1
sub-17,19,before,individual,150,1
sub-17,20,before,optimised,30,1
sub-17,21,before,individual,150,0
sub-17,22,before,optimised,150,1
sub-17,23,before,optimised,30,1
sub-17,24,before,individual,150,0
sub-17,25,before,optimised,30,1
sub-17,26,before,optimised,150,1
sub-17,27,before,individual,30,1
sub-17,28,before,individual,150,1
sub-17,29,before,optimised,30,1
sub-17,30,before,individual,30,1
sub-17,31,before,optimised,150,1
sub-17,32,before,optimised,30,0
sub-17,33,before,optimised,30,1
sub-17,34,before,individual,30,1
sub-17,35,before,optimised,150,0
sub-17,36,before,optimised,30,1
sub-17,37,before,individual,150,0
sub-17,38,before,individual,30,1
sub-17,39,before,optimised,150,1
sub-17,40,before,individual,30,1
sub-17,41,before,individual,30,1
sub-17,42,before,individual,150,0
sub-17,43,before,optimised,30,1
sub-17,44,before,optimised,30,1
sub-17,45,before,individual,30,1
sub-17,46,before,individual,30,1
sub-17,47,before,individual,150,1
sub-17,48,before,optimised,30,0
sub-17,49,before,optimised,30,0
sub-17,50,before,optimised,30,0
sub-17,51,before,optimised,150,1
sub-17,52,before,optimised,150,1
sub-17,53,before,optimised,150,1
sub-17,54,before,individual,150,1
sub-17,55,before,optimised,150,0
sub-17,56,before,individual,150,0
sub-17,57,before,individual,30,1
sub-17,58,before,individual,30,1
sub-17,59,before,individual,150,0
sub-17,60,before,optimised,30,1
sub-17,61,before,optimised,150,1
sub-17,62,before,optimised,30,1
sub-17,63,before,individual,150,1
sub-17,64,before,individual,150,1
sub-17,65,before,individual,30,1
sub-17,66,before,optimised,30,1
sub-17,67,before,optimised,150,1
sub-17,68,before,optimised,30,1
sub-17,69,before,optimised,150,0
sub-17,70,before,individual,150,1
sub-17,71,before,individual,30,1
sub-17,72,before,optimised,150,1
sub-17,73,before,optimised,150,1
sub-17,74,before,individual,150,1
sub-17,75,before,individual,150,1
sub-17,76,before,optimised,30,1
sub-17,77,before,individual,150,1
sub-17,78,before,individual,150,1
sub-17,79,before,optimised,30,1
sub-17,80,before,optimised,150,1
sub-17,1,after,individual,150,0
sub-17,2,after,individual,30,1
sub-17,3,after,individual,30,1
sub-17,4,after,optimised,150,1
sub-17,5,after,individual,150,1
sub-17,6,after,individual,30,1
sub-17,7,after,optimised,150,1
sub-17,8,after,optimised,30,0
sub-17,9,after,optimised,30,1
sub-17,10,after,individual,30,1
sub-17,11,after,individual,30,1
sub-17,12,after,individual,150,0
sub-17,13,after,individual,30,1
sub-17,14,after,optimised,150,0
sub-17,15,after,individual,30,1
sub-17,16,after,optimised,150,1
sub-17,17,after,optimised,150,1
sub-17,18,after,individual,30,0
sub-17,19,after,individual,150,1
sub-17,20,after,optimised,30,0
sub-17,21,after,individual,150,1
sub-17,22,after,optimised,150,1
sub-17,23,after,optimised,30,0
sub-17,24,after,individual,150,0
sub-17,25,after,optimised,30,1
sub-17,26,after,optimised,150,1
sub-17,27,after,individual,30,1
sub-17,28,after,individual,150,1
sub-17,29,after,optimised,30,1
sub-17,30,after,individual,30,1
sub-17,31,after,optimised,150,1
sub-17,32,after,optimised,30,1
sub-17,33,after,optimised,30,1
sub-17,34,after,individual,30,1
sub-17,35,after,optimised,150,0
sub-17,36,after,optimised,30,1
sub-17,37,after,individual,150,1
sub-17,38,after,individual,30,1
sub-17,39,after,optimised,150,1
sub-17,40,after,individual,30,1
sub-17,41,after,individual,30,1
sub-17,42,after,individual,150,0
sub-17,43,after,optimised,30,1
sub-17,44,after,optimised,30,1
sub-17,45,after,individual,30,1
sub-17,46,after,individual,30,1
sub-17,47,after,individual,150,1
sub-17,48,after,optimised,30,0
sub-17,49,after,optimised,30,1
sub-17,50,after,optimised,30,1
sub-17,51,after,optimised,150,1
sub-17,52,after,optimised,150,1
sub-17,53,after,optimised,150,1
sub-17,54,after,individual,150,1
sub-17,55,after,optimised,150,1
sub-17,56,after,individual,150,1
sub-17,57,after,individual,30,0
sub-17,58,after,individual,30,1
sub-17,59,after,individual,150,1
sub-17,60,after,optimised,30,1
sub-17,61,after,optimised,150,1
sub-17,62,after,optimised,30,0
sub-17,63,after,individual,150,1
sub-17,64,after,individual,150,1
sub-17,65,after,individual,30,1
sub-17,66,after,optimised,30,1
sub-17,67,after,optimised,150,0
sub-17,68,after,optimised,30,1
sub-17,69,after,optimised,150,0
sub-17,70,after,individual,150,0
sub-17,71,after,individual,30,1
sub-17,72,after,optimised,150,1
sub-17,73,after,optimised,150,1
sub-17,74,after,individual,150,1
sub-17,75,after,individual,150,1
sub-17,76,after,optimised,30,1
sub-17,77,after,individual,150,0
sub-17,78,after,individual,150,1
sub-17,79,after,optimised,30,0
sub-17,80,after,optimised,150,1
