participant,pair,band_fc_hz,better_ear_snr_gain_db
sub-17,T30 M150,30.0,4.928902856287364
sub-17,T30 M150,63.0,5.2578948988192105
sub-17,T30 M150,99.0,5.14603498428486
sub-17,T30 M150,139.0,2.038569906005789
sub-17,T30 M150,183.0,2.213752240808119
sub-17,T30 M150,231.0,1.4255420985462042
sub-17,T30 M150,284.0,1.0920376748661234
sub-17,T30 M150,342.0,1.213914911146074
sub-17,T30 M150,407.0,1.209412111750087
sub-17,T30 M150,478.0,1.58171620247367
sub-17,T30 M150,556.0,2.4330723722312984
sub-17,T30 M150,643.0,3.577835817580656
sub-17,T30 M150,739.0,5.431036750656412
sub-17,T30 M150,845.0,7.912799383863505
sub-17,T30 M150,963.0,8.934657473366459
sub-17,T30 M150,1094.0,9.09716821509586
sub-17,T30 M150,1240.0,6.797466170676525
sub-17,T30 M150,1403.0,7.394568088149896
sub-17,T30 M150,1585.0,2.2340820989370576
sub-17,T30 M150,1788.0,0.4020242764876824
sub-17,T30 M150,2017.0,4.332722826103013
sub-17,T30 M150,2274.0,10.063205527908323
sub-17,T30 M150,2565.0,11.644042840255295
sub-17,T30 M150,2894.0,5.935472161610425
sub-17,T30 M150,3270.0,-2.8307775288474915
sub-17,T30 M150,3699.0,-5.386017859249483
sub-17,T30 M150,4192.0,3.299766136808733
sub-17,T30 M150,4763.0,12.214956282637148
sub-17,T30 M150,5428.0,10.233644085374513
sub-17,T30 M150,6210.0,-4.8198293943173365
sub-17,T30 M150,7138.0,5.22584727721795
sub-17,T30 M150,8252.0,0.9941264736582788
sub-17,T30 M150,9607.0,-6.170009020317639
sub-17,T30 M150,11287.0,-9.109691891953084
sub-17,T30 M150,13411.0,-13.206211111543434
sub-17,T30 M150,16171.0,-11.42189997967369
sub-17,T30 M150,19885.0,3.4500093463736174
sub-17,T150 M30,30.0,-1.9153433152535344
sub-17,T150 M30,63.0,-2.1929992441500485
sub-17,T150 M30,99.0,-2.0989748182885313
sub-17,T150 M30,139.0,-1.9466211407009433
sub-17,T150 M30,183.0,-2.132764749428742
sub-17,T150 M30,231.0,-0.7424692975312117
sub-17,T150 M30,284.0,0.2473117553323414
sub-17,T150 M30,342.0,1.300765600367655
sub-17,T150 M30,407.0,1.1242756482373877
sub-17,T150 M30,478.0,2.622840362554403
sub-17,T150 M30,556.0,4.060482356034292
sub-17,T150 M30,643.0,5.542598131263437
sub-17,T150 M30,739.0,6.7566877316168625
sub-17,T150 M30,845.0,7.295579611182609
sub-17,T150 M30,963.0,6.868055581701379
sub-17,T150 M30,1094.0,7.116542183772102
sub-17,T150 M30,1240.0,10.191517371806414
sub-17,T150 M30,1403.0,12.876922540637786
sub-17,T150 M30,1585.0,6.645549244202643
sub-17,T150 M30,1788.0,2.314696631096498
sub-17,T150 M30,2017.0,0.9608895176033384
sub-17,T150 M30,2274.0,3.9120842786169456
sub-17,T150 M30,2565.0,7.984168702938563
sub-17,T150 M30,2894.0,7.416967270654347
sub-17,T150 M30,3270.0,3.498095957331471
sub-17,T150 M30,3699.0,4.568388181520167
sub-17,T150 M30,4192.0,11.334246085490944
sub-17,T150 M30,4763.0,13.59670827174486
sub-17,T150 M30,5428.0,9.29157178899464
sub-17,T150 M30,6210.0,5.514337861162604
sub-17,T150 M30,7138.0,12.740647527586454
sub-17,T150 M30,8252.0,9.829320966844092
sub-17,T150 M30,9607.0,8.53683018926528
sub-17,T150 M30,11287.0,10.490601381708997
sub-17,T150 M30,13411.0,17.729215462546126
sub-17,T150 M30,16171.0,13.792546253772594
sub-17,T150 M30,19885.0,23.62845819762406
