participant,trial,session,hrtf,target_azimuth_deg,masker_azimuth_deg,correct,predicted_srm_db
sub-08,1,before,individual,30,30,0,-4.27277321133345
sub-08,2,before,optimised,30,30,1,-4.55908930311373
sub-08,3,before,optimised,150,30,1,0.338055441718311
sub-08,4,before,individual,30,150,0,-6.57686273777052
sub-08,5,before,optimised,30,30,0,-2.06256722717358
sub-08,6,before,individual,30,30,0,-2.24868682170987
sub-08,7,before,optimised,30,150,0,0.0781984698616337
sub-08,8,before,individual,150,30,1,-2.07065618057596
sub-08,9,before,individual,150,30,0,-2.22780709347017
sub-08,10,before,individual,150,30,0,-2.24603510512181
sub-08,11,before,individual,30,30,0,-4.46634246277631
sub-08,12,before,optimised,30,150,1,0.458129590219925
sub-08,13,before,individual,150,30,0,-6.25843630853813
sub-08,14,before,optimised,30,150,1,0.57304611517634
sub-08,15,before,optimised,30,150,0,0.563280101535338
sub-08,16,before,individual,30,150,1,-5.67191504335032
sub-08,17,before,optimised,150,30,0,-0.0794575727495582
sub-08,18,before,individual,150,30,1,-1.85064921144652
sub-08,19,before,individual,30,150,0,-6.26561021948066
sub-08,20,before,optimised,30,150,0,-3.44763004151015
sub-08,21,before,individual,30,150,0,-6.215658371383
sub-08,22,before,optimised,30,30,1,-4.3304654512596
sub-08,23,before,individual,30,30,0,-6.92108780785239
sub-08,24,before,optimised,150,30,1,0.105568603235484
sub-08,25,before,optimised,150,30,1,-4.1669289034994
sub-08,26,before,individual,30,30,0,-3.93357463482203
sub-08,27,before,individual,30,30,1,-4.85714768262731
sub-08,28,before,optimised,30,30,0,-6.81483338055886
sub-08,29,before,optimised,150,30,1,0.356607954197823
sub-08,30,before,individual,150,30,0,-1.39452282666961
sub-08,31,before,individual,30,150,0,-10.0394676524535
sub-08,32,before,individual,150,30,1,-2.63847633038033
sub-08,33,before,individual,30,30,0,-6.96043187979949
sub-08,34,before,individual,30,30,0,-6.55471013565063
sub-08,35,before,optimised,30,30,1,-4.05640633689275
sub-08,36,before,optimised,150,30,0,0.475334267518655
sub-08,37,before,individual,30,150,1,-5.75957457013114
sub-08,38,before,individual,30,30,1,-9.04358233897412
sub-08,39,before,individual,150,30,0,-4.42765961349641
sub-08,40,before,optimised,30,30,1,-4.71169180431342
sub-08,41,before,optimised,30,150,1,1.07570708183169
sub-08,42,before,optimised,150,30,1,-0.58591898524301
sub-08,43,before,individual,150,30,1,-1.73969609244255
sub-08,44,before,individual,30,150,0,-6.05786971355754
sub-08,45,before,individual,30,150,0,-10.0814368265044
sub-08,46,before,optimised,30,30,0,-7.11491660570273
sub-08,47,before,optimised,150,30,0,-2.28133687236579
sub-08,48,before,individual,150,30,1,0.44321581289737
sub-08,49,before,optimised,30,30,0,-6.41907420216361
sub-08,50,before,optimised,30,30,1,-8.97794034209891
sub-08,51,before,individual,150,30,1,-2.94604326112146
sub-08,52,before,individual,150,30,1,-4.60951392340082
sub-08,53,before,individual,30,30,1,-5.19324806242978
sub-08,54,before,optimised,150,30,1,0.363245519158673
sub-08,55,before,optimised,150,30,1,2.56961382457124
sub-08,56,before,individual,30,150,0,-6.74456310042405
sub-08,57,before,individual,30,150,0,-10.2287544737453
sub-08,58,before,optimised,30,30,0,-5.13493208306891
sub-08,59,before,individual,30,30,0,-9.06069472844236
sub-08,60,before,optimised,150,30,1,-0.410751291981277
sub-08,61,before,individual,30,150,0,-8.51505336928713
sub-08,62,before,optimised,150,30,1,-2.35962064632421
sub-08,63,before,optimised,150,30,0,-2.50143332569208
sub-08,64,before,individual,30,30,0,-4.59052843077363
sub-08,65,before,individual,150,30,0,-4.62876456976803
sub-08,66,before,optimised,150,30,1,-4.16099787007056
sub-08,67,before,optimised,30,150,0,0.608906525650196
sub-08,68,before,individual,30,150,0,-8.15777561830734
sub-08,69,before,optimised,30,30,1,-9.10434731294655
sub-08,70,before,individual,30,150,0,-5.12883684482093
sub-08,71,before,individual,30,150,0,-3.55025404180655
sub-08,72,before,optimised,150,30,0,-1.72912563431105
sub-08,73,before,individual,30,150,1,-8.17200054697694
sub-08,74,before,optimised,30,30,1,-4.46006136679459
sub-08,75,before,optimised,30,150,0,-3.5878502470384
sub-08,76,before,individual,30,30,0,-7.18816948918624
sub-08,77,before,optimised,30,30,0,-7.35964022970308
sub-08,78,before,optimised,30,150,0,0.117995804294637
sub-08,79,before,individual,150,30,1,-6.43667152876567
sub-08,80,before,optimised,30,150,1,-3.68496767275192
sub-08,81,before,individual,30,30,0,-4.82904492751056
sub-08,82,before,individual,30,30,0,-5.56363180662799
sub-08,83,before,optimised,30,30,0,-4.84146837440312
sub-08,84,before,optimised,150,30,1,-2.07248630171787
sub-08,85,before,optimised,30,150,0,-1.91092075254893
sub-08,86,before,optimised,30,150,0,-1.58497550806924
sub-08,87,before,individual,30,30,0,-5.23373806248552
sub-08,88,before,optimised,150,30,0,-0.387334261771821
sub-08,89,before,individual,30,150,0,-8.15716962449794
sub-08,90,before,optimised,30,30,0,-5.21144063031223
sub-08,91,before,individual,150,30,0,-3.96236786650767
sub-08,92,before,individual,30,150,0,-7.82550643474299
sub-08,93,before,optimised,30,150,0,1.1297484156934
sub-08,94,before,optimised,150,30,0,-4.23659157227611
sub-08,95,before,optimised,30,150,1,2.98850822738931
sub-08,96,before,individual,150,30,1,-4.30136253387604
sub-08,97,before,optimised,30,150,1,-2.12731008408866
sub-08,98,before,individual,30,150,1,-10.3885301970855
sub-08,99,before,optimised,150,30,0,-0.604645700030224
sub-08,100,before,optimised,30,30,0,-5.15040352156466
sub-08,101,before,individual,150,30,0,-2.63449934108479
sub-08,102,before,individual,30,150,0,-5.9357102349067
sub-08,103,before,optimised,30,150,1,-1.58314367507494
sub-08,104,before,individual,150,30,0,-6.37519979259947
sub-08,105,before,optimised,30,150,0,-1.24394743476767
sub-08,106,before,individual,30,30,0,-6.8387116435698
sub-08,107,before,optimised,30,150,1,-3.74577429156531
sub-08,108,before,individual,150,30,0,-3.1573674053056
sub-08,109,before,optimised,30,30,1,-6.73921113065487
sub-08,110,before,optimised,30,30,0,-8.81567943770284
sub-08,111,before,individual,30,30,0,-8.77622578639745
sub-08,112,before,optimised,30,150,1,0.864081587871682
sub-08,113,before,optimised,30,150,0,0.083091464060339
sub-08,114,before,individual,150,30,1,-6.49508881377321
sub-08,115,before,individual,30,150,0,-6.79491798870304
sub-08,116,before,individual,30,30,1,-5.58887788659582
sub-08,117,before,optimised,30,30,0,-5.43024583980313
sub-08,118,before,optimised,150,30,1,-4.41047476339127
sub-08,119,before,individual,30,30,0,-8.85073770299728
sub-08,120,before,optimised,30,30,0,-8.87208113765024
sub-08,1,after,individual,30,30,1,-4.27277321133345
sub-08,2,after,optimised,30,30,1,-4.55908930311373
sub-08,3,after,optimised,150,30,1,0.338055441718311
sub-08,4,after,individual,30,150,0,-6.57686273777052
sub-08,5,after,optimised,30,30,1,-2.06256722717358
sub-08,6,after,individual,30,30,0,-2.24868682170987
sub-08,7,after,optimised,30,150,0,0.0781984698616337
sub-08,8,after,individual,150,30,1,-2.07065618057596
sub-08,9,after,individual,150,30,0,-2.22780709347017
sub-08,10,after,individual,150,30,1,-2.24603510512181
sub-08,11,after,individual,30,30,1,-4.46634246277631
sub-08,12,after,optimised,30,150,1,0.458129590219925
sub-08,13,after,individual,150,30,0,-6.25843630853813
sub-08,14,after,optimised,30,150,1,0.57304611517634
sub-08,15,after,optimised,30,150,1,0.563280101535338
sub-08,16,after,individual,30,150,1,-5.67191504335032
sub-08,17,after,optimised,150,30,0,-0.0794575727495582
sub-08,18,after,individual,150,30,1,-1.85064921144652
sub-08,19,after,individual,30,150,1,-6.26561021948066
sub-08,20,after,optimised,30,150,1,-3.44763004151015
sub-08,21,after,individual,30,150,1,-6.215658371383
sub-08,22,after,optimised,30,30,1,-4.3304654512596
sub-08,23,after,individual,30,30,0,-6.92108780785239
sub-08,24,after,optimised,150,30,1,0.105568603235484
sub-08,25,after,optimised,150,30,0,-4.1669289034994
sub-08,26,after,individual,30,30,0,-3.93357463482203
sub-08,27,after,individual,30,30,1,-4.85714768262731
sub-08,28,after,optimised,30,30,0,-6.81483338055886
sub-08,29,after,optimised,150,30,1,0.356607954197823
sub-08,30,after,individual,150,30,0,-1.39452282666961
sub-08,31,after,individual,30,150,0,-10.0394676524535
sub-08,32,after,individual,150,30,1,-2.63847633038033
