participant,pair,band_fc_hz,better_ear_snr_gain_db
sub-08,T30 M150,30.0,4.353189133426124
sub-08,T30 M150,63.0,4.877114663125025
sub-08,T30 M150,99.0,4.762351634034269
sub-08,T30 M150,139.0,1.7155305902751992
sub-08,T30 M150,183.0,2.048206517018187
sub-08,T30 M150,231.0,1.5276711731519994
sub-08,T30 M150,284.0,1.6715236948410186
sub-08,T30 M150,342.0,2.5557796829902424
sub-08,T30 M150,407.0,3.36206356462889
sub-08,T30 M150,478.0,3.790814682014916
sub-08,T30 M150,556.0,3.855656502951408
sub-08,T30 M150,643.0,4.510548942380375
sub-08,T30 M150,739.0,6.731242093492021
sub-08,T30 M150,845.0,9.06589243311537
sub-08,T30 M150,963.0,6.076585429947462
sub-08,T30 M150,1094.0,2.6196717607186777
sub-08,T30 M150,1240.0,0.0726822172273085
sub-08,T30 M150,1403.0,1.1282642762370694
sub-08,T30 M150,1585.0,-0.5171383156947869
sub-08,T30 M150,1788.0,1.7679587620469253
sub-08,T30 M150,2017.0,3.3643643693491265
sub-08,T30 M150,2274.0,10.509155891422663
sub-08,T30 M150,2565.0,12.3277260162056
sub-08,T30 M150,2894.0,7.640650173388346
sub-08,T30 M150,3270.0,0.7029902449624377
sub-08,T30 M150,3699.0,3.1967555372955285
sub-08,T30 M150,4192.0,14.89930025446633
sub-08,T30 M150,4763.0,20.267753108745133
sub-08,T30 M150,5428.0,28.912481971838357
sub-08,T30 M150,6210.0,-1.1557795998821634
sub-08,T30 M150,7138.0,9.757918652008662
sub-08,T30 M150,8252.0,-6.703385656201178
sub-08,T30 M150,9607.0,-8.340920808023274
sub-08,T30 M150,11287.0,-11.688676544288567
sub-08,T30 M150,13411.0,-12.203042399535226
sub-08,T30 M150,16171.0,-6.475520678841305
sub-08,T30 M150,19885.0,-2.9431414252886103
sub-08,T150 M30,30.0,-1.504979077465445
sub-08,T150 M30,63.0,-1.7821986008801516
sub-08,T150 M30,99.0,-1.9673895833964048
sub-08,T150 M30,139.0,-2.135957100266141
sub-08,T150 M30,183.0,-2.7351656601700323
sub-08,T150 M30,231.0,-1.761018648315498
sub-08,T150 M30,284.0,-1.2044057947515778
sub-08,T150 M30,342.0,-0.4280653512722487
sub-08,T150 M30,407.0,-0.2825175560067969
sub-08,T150 M30,478.0,1.8376775638281704
sub-08,T150 M30,556.0,3.069940481905933
sub-08,T150 M30,643.0,3.351471438805892
sub-08,T150 M30,739.0,3.0053786290292326
sub-08,T150 M30,845.0,4.014092152703974
sub-08,T150 M30,963.0,5.467821764610069
sub-08,T150 M30,1094.0,7.0067369884693225
sub-08,T150 M30,1240.0,10.287851239445644
sub-08,T150 M30,1403.0,13.467902234393677
sub-08,T150 M30,1585.0,10.131026402498875
sub-08,T150 M30,1788.0,3.6813089196591418
sub-08,T150 M30,2017.0,1.0617355573781926
sub-08,T150 M30,2274.0,5.254943260689238
sub-08,T150 M30,2565.0,8.276782047564954
sub-08,T150 M30,2894.0,8.349003079104664
sub-08,T150 M30,3270.0,6.064158036281349
sub-08,T150 M30,3699.0,5.6476808738074515
sub-08,T150 M30,4192.0,4.9367251067682725
sub-08,T150 M30,4763.0,4.558600018239047
sub-08,T150 M30,5428.0,-8.038025810273968
sub-08,T150 M30,6210.0,-5.066288181248637
sub-08,T150 M30,7138.0,6.4852784927388125
sub-08,T150 M30,8252.0,12.392906926367615
sub-08,T150 M30,9607.0,-0.7433688112459609
sub-08,T150 M30,11287.0,10.076978305603012
sub-08,T150 M30,13411.0,3.9618009637026343
sub-08,T150 M30,16171.0,-2.804643052153984
sub-08,T150 M30,19885.0,26.02612713528062
