participant,pair,band_fc_hz,better_ear_snr_gain_db
sub-11,T30 M150,30.0,4.313225903911743
sub-11,T30 M150,63.0,4.873796170724475
sub-11,T30 M150,99.0,5.046209416749512
sub-11,T30 M150,139.0,2.2935378631033587
sub-11,T30 M150,183.0,2.79132387888182
sub-11,T30 M150,231.0,2.0990680414057774
sub-11,T30 M150,284.0,1.9529549914137412
sub-11,T30 M150,342.0,2.458831061618067
sub-11,T30 M150,407.0,2.982433879902893
sub-11,T30 M150,478.0,3.491542618558511
sub-11,T30 M150,556.0,3.488668726701608
sub-11,T30 M150,643.0,3.4743536415860485
sub-11,T30 M150,739.0,5.543876640277236
sub-11,T30 M150,845.0,8.941564695929308
sub-11,T30 M150,963.0,9.75254498505963
sub-11,T30 M150,1094.0,10.318827102452266
sub-11,T30 M150,1240.0,10.69628541136598
sub-11,T30 M150,1403.0,11.16474711924893
sub-11,T30 M150,1585.0,9.103433042601814
sub-11,T30 M150,1788.0,3.000838847703479
sub-11,T30 M150,2017.0,3.473879346810806
sub-11,T30 M150,2274.0,8.51947314942672
sub-11,T30 M150,2565.0,13.964481190656244
sub-11,T30 M150,2894.0,10.170517171019377
sub-11,T30 M150,3270.0,4.692053915252293
sub-11,T30 M150,3699.0,3.939716724037276
sub-11,T30 M150,4192.0,10.279648521914568
sub-11,T30 M150,4763.0,14.784398228488342
sub-11,T30 M150,5428.0,14.855819431424038
sub-11,T30 M150,6210.0,1.4547043358051752
sub-11,T30 M150,7138.0,15.443654878586566
sub-11,T30 M150,8252.0,-0.818147679982979
sub-11,T30 M150,9607.0,-10.83446696278157
sub-11,T30 M150,11287.0,-3.217432716239978
sub-11,T30 M150,13411.0,-4.3360909638755345
sub-11,T30 M150,16171.0,-10.707556154954666
sub-11,T30 M150,19885.0,7.632302003001572
sub-11,T150 M30,30.0,-2.2707844557183443
sub-11,T150 M30,63.0,-2.4980612042265538
sub-11,T150 M30,99.0,-2.3460737965822593
sub-11,T150 M30,139.0,-2.1092280520794864
sub-11,T150 M30,183.0,-2.303745573969416
sub-11,T150 M30,231.0,-1.0912487868562954
sub-11,T150 M30,284.0,-0.0643327471485863
sub-11,T150 M30,342.0,1.506984607812312
sub-11,T150 M30,407.0,2.2723039403719607
sub-11,T150 M30,478.0,4.249756906090773
sub-11,T150 M30,556.0,5.10105196092738
sub-11,T150 M30,643.0,5.6477652490505585
sub-11,T150 M30,739.0,6.585792642078786
sub-11,T150 M30,845.0,7.605214692727848
sub-11,T150 M30,963.0,5.086767633457558
sub-11,T150 M30,1094.0,0.6372336488418426
sub-11,T150 M30,1240.0,9.204327182940334
sub-11,T150 M30,1403.0,10.701832152276856
sub-11,T150 M30,1585.0,8.845932917254927
sub-11,T150 M30,1788.0,3.681927097806313
sub-11,T150 M30,2017.0,0.1725474836267404
sub-11,T150 M30,2274.0,5.086313028261256
sub-11,T150 M30,2565.0,5.659901481542975
sub-11,T150 M30,2894.0,2.9100232943358906
sub-11,T150 M30,3270.0,-3.670583426309378
sub-11,T150 M30,3699.0,-0.1870252707269877
sub-11,T150 M30,4192.0,2.1133968476472766
sub-11,T150 M30,4763.0,-4.803101755540051
sub-11,T150 M30,5428.0,-3.3644514119593154
sub-11,T150 M30,6210.0,-9.901740335251844
sub-11,T150 M30,7138.0,-5.312244454611012
sub-11,T150 M30,8252.0,3.743801063766543
sub-11,T150 M30,9607.0,8.570326158530879
sub-11,T150 M30,11287.0,11.19586571014221
sub-11,T150 M30,13411.0,9.774671060524414
sub-11,T150 M30,16171.0,9.09889438067524
sub-11,T150 M30,19885.0,20.543134573176676
