participant,trial,session,hrtf,target_azimuth_deg,masker_azimuth_deg,correct,predicted_srm_db
sub-11,1,before,individual,30,30,0,-4.38023562553377
sub-11,2,before,optimised,30,30,0,-4.55908930311373
sub-11,3,before,optimised,150,30,0,0.338055441718311
sub-11,4,before,individual,30,150,0,-6.70510206192277
sub-11,5,before,optimised,30,30,0,-2.06256722717358
sub-11,6,before,individual,30,30,0,-2.25696853579047
sub-11,7,before,optimised,30,150,0,0.0781984698616337
sub-11,8,before,individual,150,30,0,-1.61053283045791
sub-11,9,before,individual,150,30,0,-1.77482620033083
sub-11,10,before,individual,150,30,0,-1.88002651416997
sub-11,11,before,individual,30,30,0,-4.48295030896144
sub-11,12,before,optimised,30,150,0,0.458129590219925
sub-11,13,before,optimised,30,150,0,0.458129590219925
sub-11,14,before,optimised,30,150,1,0.563280101535338
sub-11,15,before,optimised,30,150,0,-3.44763004151015
sub-11,16,before,individual,30,150,0,-5.77242887473115
sub-11,17,before,optimised,150,30,0,-0.0794575727495582
sub-11,18,before,individual,150,30,0,-5.87145005987711
sub-11,19,before,individual,30,150,0,-6.45589732014053
sub-11,20,before,optimised,30,150,1,1.07570708183169
sub-11,21,before,individual,30,150,0,-6.22406273238316
sub-11,22,before,optimised,30,30,0,-4.3304654512596
sub-11,23,before,individual,30,30,0,-6.99926014584686
sub-11,24,before,optimised,150,30,0,0.105568603235484
sub-11,25,before,optimised,150,30,0,-4.1669289034994
sub-11,26,before,individual,30,30,0,-3.93260222670323
sub-11,27,before,individual,30,30,0,-4.97684637846346
sub-11,28,before,optimised,30,30,1,-6.81483338055886
sub-11,29,before,optimised,150,30,1,0.356607954197823
sub-11,30,before,individual,150,30,1,-1.58010897164076
sub-11,31,before,individual,30,150,0,-10.0609812320192
sub-11,32,before,individual,150,30,0,-1.01218291464564
sub-11,33,before,individual,30,30,0,-7.16156430757329
sub-11,34,before,individual,30,30,0,-6.66878835568402
sub-11,35,before,optimised,30,30,1,-4.05640633689275
sub-11,36,before,optimised,150,30,0,0.475334267518655
sub-11,37,before,individual,30,150,0,-5.85111047417933
sub-11,38,before,individual,30,30,0,-9.08321940137272
sub-11,39,before,individual,150,30,1,-2.19986410880717
sub-11,40,before,optimised,30,30,0,-4.71169180431342
sub-11,41,before,optimised,30,150,0,0.608906525650196
sub-11,42,before,optimised,150,30,0,-0.58591898524301
sub-11,43,before,individual,150,30,0,-3.98250457550148
sub-11,44,before,individual,30,150,0,-6.10501284294756
sub-11,45,before,individual,30,150,0,-10.1978453719006
sub-11,46,before,optimised,30,30,0,-7.11491660570273
sub-11,47,before,optimised,150,30,1,-2.28133687236579
sub-11,48,before,individual,150,30,0,-1.45929364773026
sub-11,49,before,optimised,30,30,0,-6.41907420216361
sub-11,50,before,optimised,30,30,1,-8.97794034209891
sub-11,51,before,individual,150,30,0,0.851873514076047
sub-11,52,before,individual,150,30,0,-2.5394541049071
sub-11,53,before,individual,30,30,0,-4.91188867485682
sub-11,54,before,optimised,150,30,0,0.363245519158673
sub-11,55,before,optimised,150,30,1,2.56961382457124
sub-11,56,before,individual,30,150,0,-6.62508637579644
sub-11,57,before,individual,30,150,0,-10.4562400085602
sub-11,58,before,optimised,30,30,0,-5.13493208306891
sub-11,59,before,individual,30,30,1,-9.14512158346085
sub-11,60,before,optimised,150,30,0,-0.410751291981277
sub-11,61,before,individual,30,150,0,-8.83616084285181
sub-11,62,before,optimised,150,30,0,-2.35962064632421
sub-11,63,before,optimised,150,30,0,-2.50143332569208
sub-11,64,before,individual,30,30,0,-4.74353720212183
sub-11,65,before,individual,150,30,0,-4.35553573242686
sub-11,66,before,optimised,150,30,0,-4.16099787007056
sub-11,67,before,optimised,30,150,0,-3.5878502470384
sub-11,68,before,individual,30,150,0,-8.46737749072095
sub-11,69,before,optimised,30,30,1,-9.10434731294655
sub-11,70,before,individual,30,150,0,-5.34555096284583
sub-11,71,before,individual,30,150,0,-3.67472188938269
sub-11,72,before,optimised,150,30,0,-1.72912563431105
sub-11,73,before,individual,30,150,0,-8.33337844713674
sub-11,74,before,optimised,30,30,0,-4.46006136679459
sub-11,75,before,optimised,30,150,0,0.117995804294637
sub-11,76,before,individual,30,30,0,-7.23063520234763
sub-11,77,before,optimised,30,30,0,-7.35964022970308
sub-11,78,before,optimised,30,150,0,-3.68496767275192
sub-11,79,before,individual,150,30,0,-4.19323069795282
sub-11,80,before,optimised,30,150,0,-1.91092075254893
sub-11,81,before,individual,30,30,0,-4.75821497340379
sub-11,82,before,individual,30,30,0,-5.38200174734149
sub-11,83,before,optimised,30,30,0,-4.84146837440312
sub-11,84,before,optimised,150,30,1,-2.07248630171787
sub-11,85,before,optimised,150,30,1,-2.07248630171787
sub-11,86,before,optimised,30,150,0,-1.58497550806924
sub-11,87,before,individual,30,30,0,-5.23075305193592
sub-11,88,before,optimised,150,30,0,-4.23659157227611
sub-11,89,before,individual,30,150,1,-8.36882679234161
sub-11,90,before,optimised,30,30,0,-5.21144063031223
sub-11,91,before,individual,150,30,1,-6.14743318454767
sub-11,92,before,individual,30,150,0,-8.03961475736032
sub-11,93,before,optimised,30,150,1,1.1297484156934
sub-11,94,before,optimised,150,30,0,-0.604645700030224
sub-11,95,before,optimised,30,150,0,2.98850822738931
sub-11,96,before,individual,150,30,0,-3.42858892936375
sub-11,97,before,optimised,30,150,0,-2.12731008408866
sub-11,98,before,individual,30,150,1,-10.4663677444577
sub-11,99,before,optimised,150,30,1,-4.41047476339127
sub-11,100,before,optimised,30,30,0,-5.15040352156466
sub-11,101,before,individual,150,30,1,-3.73443983037257
sub-11,102,before,individual,30,150,0,-5.96328626643994
sub-11,103,before,optimised,30,150,1,-1.58314367507494
sub-11,104,before,individual,150,30,0,-2.24036119372862
sub-11,105,before,optimised,30,150,0,-1.24394743476767
sub-11,106,before,individual,30,30,0,-6.96417038340619
sub-11,107,before,optimised,30,150,1,-3.74577429156531
sub-11,108,before,individual,150,30,0,-5.85976993800595
sub-11,109,before,optimised,30,30,1,-6.73921113065487
sub-11,110,before,optimised,30,30,0,-8.81567943770284
sub-11,111,before,individual,30,30,0,-8.7896062979725
sub-11,112,before,optimised,30,150,0,0.864081587871682
