participant,trial,session,hrtf,location_deg,correct
sub-09,1,before,individual,150,0
sub-09,2,before,individual,30,1
sub-09,3,before,individual,30,1
sub-09,4,before,optimised,150,1
sub-09,5,before,individual,150,1
sub-09,6,before,individual,30,1
sub-09,7,before,optimised,150,1
sub-09,8,before,optimised,30,1
sub-09,9,before,optimised,30,1
sub-09,10,before,individual,30,0
sub-09,11,before,individual,30,0
sub-09,12,before,individual,150,1
sub-09,13,before,individual,30,0
sub-09,14,before,optimised,150,1
sub-09,15,before,individual,30,1
sub-09,16,before,optimised,150,1
sub-09,17,before,optimised,150,1
sub-09,18,before,individual,30,1
sub-09,19,before,individual,150,0
sub-09,20,before,optimised,30,0
sub-09,21,before,individual,150,0
sub-09,22,before,optimised,150,1
sub-09,23,before,optimised,30,1
sub-09,24,before,individual,150,0
sub-09,25,before,optimised,30,0
sub-09,26,before,optimised,150,1
sub-09,27,before,individual,30,1
sub-09,28,before,individual,150,0
sub-09,29,before,optimised,30,0
sub-09,30,before,individual,30,1
sub-09,31,before,optimised,150,1
sub-09,32,before,optimised,30,1
sub-09,33,before,optimised,30,1
sub-09,34,before,individual,30,1
sub-09,35,before,optimised,150,1
sub-09,36,before,optimised,30,1
sub-09,37,before,individual,150,1
sub-09,38,before,individual,30,1
sub-09,39,before,optimised,150,1
sub-09,40,before,individual,30,1
sub-09,41,before,individual,30,1
sub-09,42,before,individual,150,1
sub-09,43,before,optimised,30,1
sub-09,44,before,optimised,30,1
sub-09,45,before,individual,30,1
sub-09,46,before,individual,30,1
sub-09,47,before,individual,150,0
sub-09,48,before,optimised,30,0
sub-09,49,before,optimised,30,0
sub-09,50,before,optimised,30,0
sub-09,51,before,optimised,150,1
sub-09,52,before,optimised,150,1
sub-09,53,before,optimised,150,1
sub-09,54,before,individual,150,0
sub-09,55,before,optimised,150,1
sub-09,56,before,individual,150,1
sub-09,57,before,individual,30,1
sub-09,58,before,individual,30,1
sub-09,59,before,individual,150,0
sub-09,60,before,optimised,30,1
sub-09,61,before,optimised,150,1
sub-09,62,before,optimised,30,1
sub-09,63,before,individual,150,0
sub-09,64,before,individual,150,0
sub-09,65,before,individual,30,1
sub-09,66,before,optimised,30,1
sub-09,67,before,optimised,150,1
sub-09,68,before,optimised,30,1
sub-09,69,before,optimised,150,0
sub-09,70,before,individual,150,0
sub-09,71,before,individual,30,1
sub-09,72,before,optimised,150,1
sub-09,73,before,optimised,150,1
sub-09,74,before,individual,150,0
sub-09,75,before,individual,150,0
sub-09,76,before,optimised,30,1
sub-09,77,before,individual,150,0
sub-09,78,before,individual,150,0
sub-09,79,before,optimised,30,1
sub-09,80,before,optimised,150,1
sub-09,1,after,individual,150,0
sub-09,2,after,individual,30,1
sub-09,3,after,individual,30,1
sub-09,4,after,optimised,150,1
sub-09,5,after,individual,150,0
sub-09,6,after,individual,30,1
sub-09,7,after,optimised,150,1
sub-09,8,after,optimised,30,0
sub-09,9,after,optimised,30,1
sub-09,10,after,individual,30,1
sub-09,11,after,individual,30,1
sub-09,12,after,individual,150,0
sub-09,13,after,individual,30,1
sub-09,14,after,optimised,150,1
sub-09,15,after,individual,30,1
sub-09,16,after,optimised,150,1
sub-09,17,after,optimised,150,1
sub-09,18,after,individual,30,1
sub-09,19,after,individual,150,0
sub-09,20,after,optimised,30,1
sub-09,21,after,individual,150,0
sub-09,22,after,optimised,150,1
sub-09,23,after,optimised,30,0
sub-09,24,after,individual,150,0
sub-09,25,after,optimised,30,1
sub-09,26,after,optimised,150,1
sub-09,27,after,individual,30,1
sub-09,28,after,individual,150,0
sub-09,29,after,optimised,30,1
sub-09,30,after,individual,30,1
sub-09,31,after,optimised,150,1
sub-09,32,after,optimised,30,1
sub-09,33,after,optimised,30,1
sub-09,34,after,individual,30,1
sub-09,35,after,optimised,150,1
sub-09,36,after,optimised,30,1
sub-09,37,after,individual,150,0
sub-09,38,after,individual,30,1
sub-09,39,after,optimised,150,1
sub-09,40,after,individual,30,1
sub-09,41,after,individual,30,1
sub-09,42,after,individual,150,0
sub-09,43,after,optimised,30,1
sub-09,44,after,optimised,30,1
sub-09,45,after,individual,30,1
sub-09,46,after,individual,30,1
sub-09,47,after,individual,150,0
sub-09,48,after,optimised,30,1
sub-09,49,after,optimised,30,1
sub-09,50,after,optimised,30,1
sub-09,51,after,optimised,150,1
sub-09,52,after,optimised,150,1
sub-09,53,after,optimised,150,1
sub-09,54,after,individual,150,0
sub-09,55,after,optimised,150,1
sub-09,56,after,individual,150,0
sub-09,57,after,individual,30,1
sub-09,58,after,individual,30,1
sub-09,59,after,individual,150,1
sub-09,60,after,optimised,30,1
sub-09,61,after,optimised,150,1
sub-09,62,after,optimised,30,1
sub-09,63,after,individual,150,0
sub-09,64,after,individual,150,0
sub-09,65,after,individual,30,1
sub-09,66,after,optimised,30,1
sub-09,67,after,optimised,150,0
sub-09,68,after,optimised,30,1
sub-09,69,after,optimised,150,1
sub-09,70,after,individual,150,1
sub-09,71,after,individual,30,1
sub-09,72,after,optimised,150,1
sub-09,73,after,optimised,150,1
sub-09,74,after,individual,150,0
sub-09,75,after,individual,150,0
sub-09,76,after,optimised,30,1
sub-09,77,after,individual,150,0
sub-09,78,after,individual,150,0
sub-09,79,after,optimised,30,1
sub-09,80,after,optimised,150,1
