participant,trial,session,hrtf,target_azimuth_deg,masker_azimuth_deg,correct,predicted_srm_db
sub-09,1,before,individual,30,30,0,-4.34686116002553
sub-09,2,before,optimised,30,30,0,-4.55908930311373
sub-09,3,before,optimised,150,30,1,0.338055441718311
sub-09,4,before,individual,30,150,0,-7.01572061599687
sub-09,5,before,optimised,30,30,1,-2.06256722717358
sub-09,6,before,individual,30,30,0,-2.1911062698799
sub-09,7,before,optimised,30,150,1,0.0781984698616337
sub-09,8,before,individual,150,30,1,-1.40337460156955
sub-09,9,before,individual,150,30,0,-1.47324673021767
sub-09,10,before,individual,150,30,0,-1.36879375299945
sub-09,11,before,individual,30,30,0,-4.43766629000779
sub-09,12,before,optimised,30,150,1,0.458129590219925
sub-09,13,before,individual,150,30,0,-5.70304491434208
sub-09,14,before,optimised,30,150,1,0.57304611517634
sub-09,15,before,optimised,30,150,1,0.563280101535338
sub-09,16,before,individual,30,150,1,-5.93154550831486
sub-09,17,before,optimised,150,30,0,-0.0794575727495582
sub-09,18,before,individual,150,30,1,-0.956230555311953
sub-09,19,before,individual,30,150,1,-6.47304686403671
sub-09,20,before,optimised,30,150,0,-3.44763004151015
sub-09,21,before,individual,30,150,1,-6.37686891711015
sub-09,22,before,optimised,30,30,0,-4.3304654512596
sub-09,23,before,individual,30,30,0,-6.99703954381263
sub-09,24,before,optimised,150,30,1,0.105568603235484
sub-09,25,before,optimised,150,30,1,-4.1669289034994
sub-09,26,before,individual,30,30,1,-3.97579181264306
sub-09,27,before,individual,30,30,1,-4.76271544763508
sub-09,28,before,optimised,30,30,0,-6.81483338055886
sub-09,29,before,optimised,150,30,1,0.356607954197823
sub-09,30,before,individual,150,30,1,-0.593473342997466
sub-09,31,before,individual,30,150,0,-10.2761601148691
sub-09,32,before,individual,150,30,1,-1.57085560191557
sub-09,33,before,individual,30,30,0,-7.26035710932681
sub-09,34,before,individual,30,30,0,-6.69523586035177
sub-09,35,before,optimised,30,30,1,-4.05640633689275
sub-09,36,before,optimised,150,30,1,0.475334267518655
sub-09,37,before,individual,30,150,1,-6.19472814558008
sub-09,38,before,individual,30,30,0,-8.98522034845612
sub-09,39,before,individual,150,30,0,-3.75856183771965
sub-09,40,before,optimised,30,30,0,-4.71169180431342
sub-09,41,before,optimised,30,150,1,1.07570708183169
sub-09,42,before,optimised,150,30,1,-0.58591898524301
sub-09,43,before,individual,150,30,1,-0.960601995746763
sub-09,44,before,individual,30,150,0,-6.28386983910413
sub-09,45,before,individual,30,150,0,-10.3574237108268
sub-09,46,before,optimised,30,30,0,-7.11491660570273
sub-09,47,before,optimised,150,30,1,-2.28133687236579
sub-09,48,before,individual,150,30,1,1.06805989436968
sub-09,49,before,optimised,30,30,1,-6.41907420216361
sub-09,50,before,optimised,30,30,0,-8.97794034209891
sub-09,51,before,individual,150,30,1,-1.9281573904404
sub-09,52,before,individual,150,30,0,-4.16965896161618
sub-09,53,before,individual,30,30,1,-4.89082823148217
sub-09,54,before,optimised,150,30,1,0.363245519158673
sub-09,55,before,optimised,150,30,1,2.56961382457124
sub-09,56,before,individual,30,150,0,-6.73238026448423
sub-09,57,before,individual,30,150,1,-10.6758380253876
sub-09,58,before,optimised,30,30,1,-5.13493208306891
sub-09,59,before,individual,30,30,1,-9.12306295066536
