participant,trial,session,hrtf,location_deg,correct
sub-05,1,before,individual,150,1
sub-05,2,before,individual,30,1
sub-05,3,before,individual,30,1
sub-05,4,before,optimised,150,1
sub-05,5,before,individual,150,1
sub-05,6,before,individual,30,1
sub-05,7,before,optimised,150,1
sub-05,8,before,optimised,30,1
sub-05,9,before,optimised,30,1
sub-05,10,before,individual,30,1
sub-05,11,before,individual,30,1
sub-05,12,before,individual,150,1
sub-05,13,before,individual,30,1
sub-05,14,before,optimised,150,1
sub-05,15,before,individual,30,1
sub-05,16,before,optimised,150,1
sub-05,17,before,optimised,150,1
sub-05,18,before,individual,30,1
sub-05,19,before,individual,150,1
sub-05,20,before,optimised,30,0
sub-05,21,before,individual,150,1
sub-05,22,before,optimised,150,1
sub-05,23,before,optimised,30,0
sub-05,24,before,individual,150,1
sub-05,25,before,optimised,30,0
sub-05,26,before,optimised,150,1
sub-05,27,before,individual,30,1
sub-05,28,before,individual,150,1
sub-05,29,before,optimised,30,0
sub-05,30,before,individual,30,1
sub-05,31,before,optimised,150,1
sub-05,32,before,optimised,30,1
sub-05,33,before,optimised,30,1
sub-05,34,before,individual,30,1
sub-05,35,before,optimised,150,1
sub-05,36,before,optimised,30,0
sub-05,37,before,individual,150,0
sub-05,38,before,individual,30,1
sub-05,39,before,optimised,150,1
sub-05,40,before,individual,30,1
sub-05,41,before,individual,30,1
sub-05,42,before,individual,150,1
sub-05,43,before,optimised,30,1
sub-05,44,before,optimised,30,1
sub-05,45,before,individual,30,1
sub-05,46,before,individual,30,1
sub-05,47,before,individual,150,1
sub-05,48,before,optimised,30,0
sub-05,49,before,optimised,30,0
sub-05,50,before,optimised,30,0
sub-05,51,before,optimised,150,1
sub-05,52,before,optimised,150,1
sub-05,53,before,optimised,150,1
sub-05,54,before,individual,150,1
sub-05,55,before,optimised,150,1
sub-05,56,before,individual,150,0
sub-05,57,before,individual,30,1
sub-05,58,before,individual,30,1
sub-05,59,before,individual,150,1
sub-05,60,before,optimised,30,0
sub-05,61,before,optimised,150,1
sub-05,62,before,optimised,30,0
sub-05,63,before,individual,150,0
sub-05,64,before,individual,150,1
sub-05,65,before,individual,30,1
sub-05,66,before,optimised,30,1
sub-05,67,before,optimised,150,1
sub-05,68,before,optimised,30,0
sub-05,69,before,optimised,150,1
sub-05,70,before,individual,150,1
sub-05,71,before,individual,30,1
sub-05,72,before,optimised,150,1
sub-05,73,before,optimised,150,1
sub-05,74,before,individual,150,1
sub-05,75,before,individual,150,1
sub-05,76,before,optimised,30,1
sub-05,77,before,individual,150,0
sub-05,78,before,individual,150,0
sub-05,79,before,optimised,30,1
sub-05,80,before,optimised,150,1
sub-05,1,after,individual,150,0
sub-05,2,after,individual,30,1
sub-05,3,after,individual,30,1
sub-05,4,after,optimised,150,1
sub-05,5,after,individual,150,1
sub-05,6,after,individual,30,1
sub-05,7,after,optimised,150,1
sub-05,8,after,optimised,30,1
sub-05,9,after,optimised,30,1
sub-05,10,after,individual,30,1
sub-05,11,after,individual,30,1
sub-05,12,after,individual,150,1
sub-05,13,after,individual,30,1
sub-05,14,after,optimised,150,1
sub-05,15,after,individual,30,1
sub-05,16,after,optimised,150,1
sub-05,17,after,optimised,150,1
sub-05,18,after,individual,30,1
sub-05,19,after,individual,150,1
sub-05,20,after,optimised,30,0
sub-05,21,after,individual,150,1
sub-05,22,after,optimised,150,1
sub-05,23,after,optimised,30,1
sub-05,24,after,individual,150,1
sub-05,25,after,optimised,30,1
sub-05,26,after,optimised,150,1
sub-05,27,after,individual,30,1
sub-05,28,after,individual,150,1
sub-05,29,after,optimised,30,1
sub-05,30,after,individual,30,1
sub-05,31,after,optimised,150,1
sub-05,32,after,optimised,30,1
sub-05,33,after,optimised,30,1
sub-05,34,after,individual,30,1
sub-05,35,after,optimised,150,1
sub-05,36,after,optimised,30,1
sub-05,37,after,individual,150,1
sub-05,38,after,individual,30,1
sub-05,39,after,optimised,150,1
sub-05,40,after,individual,30,1
sub-05,41,after,individual,30,1
sub-05,42,after,individual,150,1
sub-05,43,after,optimised,30,0
sub-05,44,after,optimised,30,1
sub-05,45,after,individual,30,1
sub-05,46,after,individual,30,1
sub-05,47,after,individual,150,1
sub-05,48,after,optimised,30,0
sub-05,49,after,optimised,30,0
sub-05,50,after,optimised,30,0
sub-05,51,after,optimised,150,1
sub-05,52,after,optimised,150,1
sub-05,53,after,optimised,150,1
sub-05,54,after,individual,150,1
sub-05,55,after,optimised,150,1
sub-05,56,after,individual,150,1
sub-05,57,after,individual,30,1
sub-05,58,after,individual,30,1
sub-05,59,after,individual,150,0
sub-05,60,after,optimised,30,1
sub-05,61,after,optimised,150,1
sub-05,62,after,optimised,30,0
sub-05,63,after,individual,150,1
sub-05,64,after,individual,150,1
sub-05,65,after,individual,30,1
sub-05,66,after,optimised,30,1
sub-05,67,after,optimised,150,1
sub-05,68,after,optimised,30,1
sub-05,69,after,optimised,150,1
sub-05,70,after,individual,150,0
sub-05,71,after,individual,30,1
sub-05,72,after,optimised,150,1
sub-05,73,after,optimised,150,1
sub-05,74,after,individual,150,1
sub-05,75,after,individual,150,1
sub-05,76,after,optimised,30,1
sub-05,77,after,individual,150,0
sub-05,78,after,individual,150,0
sub-05,79,after,optimised,30,1
sub-05,80,after,optimised,150,1
