participant,trial,session,hrtf,location_deg,correct
sub-15,1,before,individual,150,1
sub-15,2,before,individual,30,0
sub-15,3,before,individual,30,0
sub-15,4,before,optimised,150,0
sub-15,5,before,individual,150,0
sub-15,6,before,individual,30,1
sub-15,7,before,optimised,150,1
sub-15,8,before,optimised,30,1
sub-15,9,before,optimised,30,1
sub-15,10,before,individual,30,0
sub-15,11,before,individual,30,0
sub-15,12,before,individual,150,0
sub-15,13,before,individual,30,0
sub-15,14,before,optimised,150,0
sub-15,15,before,individual,30,0
sub-15,16,before,optimised,150,1
sub-15,17,before,optimised,150,1
sub-15,18,before,individual,30,1
sub-15,19,before,individual,150,0
sub-15,20,before,optimised,30,0
sub-15,21,before,individual,150,1
sub-15,22,before,optimised,150,1
sub-15,23,before,optimised,30,1
sub-15,24,before,individual,150,1
sub-15,25,before,optimised,30,1
sub-15,26,before,optimised,150,1
sub-15,27,before,individual,30,1
sub-15,28,before,individual,150,0
sub-15,29,before,optimised,30,0
sub-15,30,before,individual,30,1
sub-15,31,before,optimised,150,1
sub-15,32,before,optimised,30,1
sub-15,33,before,optimised,30,1
sub-15,34,before,individual,30,0
sub-15,35,before,optimised,150,1
sub-15,36,before,optimised,30,0
sub-15,37,before,individual,150,1
sub-15,38,before,individual,30,1
sub-15,39,before,optimised,150,1
sub-15,40,before,individual,30,0
sub-15,41,before,individual,30,1
sub-15,42,before,individual,150,1
sub-15,43,before,optimised,30,0
sub-15,44,before,optimised,30,0
sub-15,45,before,individual,30,1
sub-15,46,before,individual,30,0
sub-15,47,before,individual,150,1
sub-15,48,before,optimised,30,0
sub-15,49,before,optimised,30,0
sub-15,50,before,optimised,30,0
sub-15,51,before,optimised,150,1
sub-15,52,before,optimised,150,0
sub-15,53,before,optimised,150,0
sub-15,54,before,individual,150,1
sub-15,55,before,optimised,150,0
sub-15,56,before,individual,150,0
sub-15,57,before,individual,30,1
sub-15,58,before,individual,30,1
sub-15,59,before,individual,150,1
sub-15,60,before,optimised,30,1
sub-15,61,before,optimised,150,1
sub-15,62,before,optimised,30,0
sub-15,63,before,individual,150,1
sub-15,64,before,individual,150,1
sub-15,65,before,individual,30,0
sub-15,66,before,optimised,30,1
sub-15,67,before,optimised,150,1
sub-15,68,before,optimised,30,0
sub-15,69,before,optimised,150,1
sub-15,70,before,individual,150,0
sub-15,71,before,individual,30,0
sub-15,72,before,optimised,150,1
sub-15,73,before,optimised,150,1
sub-15,74,before,individual,150,1
sub-15,75,before,individual,150,1
sub-15,76,before,optimised,30,1
sub-15,77,before,individual,150,1
sub-15,78,before,individual,150,1
sub-15,79,before,optimised,30,1
sub-15,80,before,optimised,150,1
sub-15,1,after,individual,150,1
sub-15,2,after,individual,30,1
sub-15,3,after,individual,30,1
sub-15,4,after,optimised,150,1
sub-15,5,after,individual,150,0
sub-15,6,after,individual,30,1
sub-15,7,after,optimised,150,1
sub-15,8,after,optimised,30,1
sub-15,9,after,optimised,30,1
sub-15,10,after,individual,30,0
sub-15,11,after,individual,30,0
sub-15,12,after,individual,150,1
sub-15,13,after,individual,30,1
sub-15,14,after,optimised,150,1
sub-15,15,after,individual,30,1
sub-15,16,after,optimised,150,1
sub-15,17,after,optimised,150,1
sub-15,18,after,individual,30,1
sub-15,19,after,individual,150,1
sub-15,20,after,optimised,30,1
sub-15,21,after,individual,150,0
sub-15,22,after,optimised,150,1
sub-15,23,after,optimised,30,1
sub-15,24,after,individual,150,1
sub-15,25,after,optimised,30,1
sub-15,26,after,optimised,150,1
sub-15,27,after,individual,30,1
sub-15,28,after,individual,150,1
sub-15,29,after,optimised,30,1
sub-15,30,after,individual,30,1
sub-15,31,after,optimised,150,1
sub-15,32,after,optimised,30,1
sub-15,33,after,optimised,30,1
sub-15,34,after,individual,30,0
sub-15,35,after,optimised,150,1
sub-15,36,after,optimised,30,1
sub-15,37,after,individual,150,1
sub-15,38,after,individual,30,1
sub-15,39,after,optimised,150,1
sub-15,40,after,individual,30,1
sub-15,41,after,individual,30,1
sub-15,42,after,individual,150,1
sub-15,43,after,optimised,30,1
sub-15,44,after,optimised,30,1
sub-15,45,after,individual,30,0
sub-15,46,after,individual,30,1
sub-15,47,after,individual,150,0
sub-15,48,after,optimised,30,1
sub-15,49,after,optimised,30,1
sub-15,50,after,optimised,30,1
sub-15,51,after,optimised,150,1
sub-15,52,after,optimised,150,1
sub-15,53,after,optimised,150,1
sub-15,54,after,individual,150,1
sub-15,55,after,optimised,150,1
sub-15,56,after,individual,150,0
sub-15,57,after,individual,30,1
sub-15,58,after,individual,30,1
sub-15,59,after,individual,150,1
sub-15,60,after,optimised,30,1
sub-15,61,after,optimised,150,1
sub-15,62,after,optimised,30,1
sub-15,63,after,individual,150,1
sub-15,64,after,individual,150,1
sub-15,65,after,individual,30,1
sub-15,66,after,optimised,30,1
sub-15,67,after,optimised,150,1
sub-15,68,after,optimised,30,1
sub-15,69,after,optimised,150,1
sub-15,70,after,individual,150,1
sub-15,71,after,individual,30,0
sub-15,72,after,optimised,150,1
sub-15,73,after,optimised,150,1
sub-15,74,after,individual,150,0
sub-15,75,after,individual,150,0
sub-15,76,after,optimised,30,1
sub-15,77,after,individual,150,0
sub-15,78,after,individual,150,0
sub-15,79,after,optimised,30,1
sub-15,80,after,optimised,150,1
