participant,pair,band_fc_hz,better_ear_snr_gain_db
sub-15,T30 M150,30.0,4.91412038973846
sub-15,T30 M150,63.0,5.241347228800656
sub-15,T30 M150,99.0,5.107628116330726
sub-15,T30 M150,139.0,1.995518963085609
sub-15,T30 M150,183.0,2.263780788066515
sub-15,T30 M150,231.0,1.5569818759966436
sub-15,T30 M150,284.0,1.2190985139515558
sub-15,T30 M150,342.0,1.5456629033313511
sub-15,T30 M150,407.0,2.291661833029737
sub-15,T30 M150,478.0,3.744748030996028
sub-15,T30 M150,556.0,4.801633485951218
sub-15,T30 M150,643.0,4.82785768823021
sub-15,T30 M150,739.0,5.811158859301304
sub-15,T30 M150,845.0,9.091928196965188
sub-15,T30 M150,963.0,9.747639780497863
sub-15,T30 M150,1094.0,10.098292817798823
sub-15,T30 M150,1240.0,8.26951178910975
sub-15,T30 M150,1403.0,9.032049966873974
sub-15,T30 M150,1585.0,6.760874173407533
sub-15,T30 M150,1788.0,2.774939023321635
sub-15,T30 M150,2017.0,4.482361718565547
sub-15,T30 M150,2274.0,8.811311725865515
sub-15,T30 M150,2565.0,14.106424942938268
sub-15,T30 M150,2894.0,7.639507897007046
sub-15,T30 M150,3270.0,3.1139517582082936
sub-15,T30 M150,3699.0,3.9263372467944295
sub-15,T30 M150,4192.0,9.291951932900282
sub-15,T30 M150,4763.0,17.85486540822598
sub-15,T30 M150,5428.0,13.523817334084187
sub-15,T30 M150,6210.0,4.792213025265087
sub-15,T30 M150,7138.0,19.595877965884274
sub-15,T30 M150,8252.0,7.1154332955020685
sub-15,T30 M150,9607.0,-7.5642615291857584
sub-15,T30 M150,11287.0,-3.0331909037586815
sub-15,T30 M150,13411.0,-5.70849764562427
sub-15,T30 M150,16171.0,-13.538902359223965
sub-15,T30 M150,19885.0,4.6672377902708195
sub-15,T150 M30,30.0,-2.061941053418612
sub-15,T150 M30,63.0,-2.2646182113434943
sub-15,T150 M30,99.0,-2.0746824331986953
sub-15,T150 M30,139.0,-1.7829897690217602
sub-15,T150 M30,183.0,-1.71860153998665
sub-15,T150 M30,231.0,-0.1683437183153726
sub-15,T150 M30,284.0,0.7093292944442418
sub-15,T150 M30,342.0,1.4854982775770549
sub-15,T150 M30,407.0,1.2847916952999263
sub-15,T150 M30,478.0,3.232252891531833
sub-15,T150 M30,556.0,4.744907855024224
sub-15,T150 M30,643.0,5.781327699089564
sub-15,T150 M30,739.0,6.743230928828914
sub-15,T150 M30,845.0,5.228024885292816
sub-15,T150 M30,963.0,3.74500122262708
sub-15,T150 M30,1094.0,5.970966335172383
sub-15,T150 M30,1240.0,9.231127696340824
sub-15,T150 M30,1403.0,12.727122212543224
sub-15,T150 M30,1585.0,10.404351949887294
sub-15,T150 M30,1788.0,2.6415187036530687
sub-15,T150 M30,2017.0,0.690131734170451
sub-15,T150 M30,2274.0,1.5505528067499394
sub-15,T150 M30,2565.0,8.551093040050127
sub-15,T150 M30,2894.0,6.1198839037855075
sub-15,T150 M30,3270.0,1.1859602867105594
sub-15,T150 M30,3699.0,4.53111815139708
sub-15,T150 M30,4192.0,7.040919791778094
sub-15,T150 M30,4763.0,4.513584913462188
sub-15,T150 M30,5428.0,1.97236463350735
sub-15,T150 M30,6210.0,-7.915953896001943
sub-15,T150 M30,7138.0,-1.3308500903982168
sub-15,T150 M30,8252.0,-0.4844825374962838
sub-15,T150 M30,9607.0,5.995284906557117
sub-15,T150 M30,11287.0,8.735172766232381
sub-15,T150 M30,13411.0,10.277981245779072
sub-15,T150 M30,16171.0,6.864776289548175
sub-15,T150 M30,19885.0,17.0669629351503
