participant,trial,session,hrtf,location_deg,correct
sub-03,1,before,individual,150,1
sub-03,2,before,individual,30,1
sub-03,3,before,individual,30,1
sub-03,4,before,optimised,150,0
sub-03,5,before,individual,150,0
sub-03,6,before,individual,30,1
sub-03,7,before,optimised,150,1
sub-03,8,before,optimised,30,1
sub-03,9,before,optimised,30,1
sub-03,10,before,individual,30,0
sub-03,11,before,individual,30,1
sub-03,12,before,individual,150,1
sub-03,13,before,individual,30,1
sub-03,14,before,optimised,150,1
sub-03,15,before,individual,30,1
sub-03,16,before,optimised,150,1
sub-03,17,before,optimised,150,0
sub-03,18,before,individual,30,1
sub-03,19,before,individual,150,0
sub-03,20,before,optimised,30,1
sub-03,21,before,individual,150,1
sub-03,22,before,optimised,150,1
sub-03,23,before,optimised,30,1
sub-03,24,before,individual,150,1
sub-03,25,before,optimised,30,1
sub-03,26,before,optimised,150,1
sub-03,27,before,individual,30,1
sub-03,28,before,individual,150,1
sub-03,29,before,optimised,30,1
sub-03,30,before,individual,30,1
sub-03,31,before,optimised,150,1
sub-03,32,before,optimised,30,1
sub-03,33,before,optimised,30,1
sub-03,34,before,individual,30,1
sub-03,35,before,optimised,150,1
sub-03,36,before,optimised,30,1
sub-03,37,before,individual,150,0
sub-03,38,before,individual,30,1
sub-03,39,before,optimised,150,0
sub-03,40,before,individual,30,1
sub-03,41,before,individual,30,1
sub-03,42,before,individual,150,0
sub-03,43,before,optimised,30,1
sub-03,44,before,optimised,30,1
sub-03,45,before,individual,30,1
sub-03,46,before,individual,30,1
sub-03,47,before,individual,150,0
sub-03,48,before,optimised,30,1
sub-03,49,before,optimised,30,1
sub-03,50,before,optimised,30,1
sub-03,51,before,optimised,150,1
sub-03,52,before,optimised,150,1
sub-03,53,before,optimised,150,0
sub-03,54,before,individual,150,0
sub-03,55,before,optimised,150,0
sub-03,56,before,individual,150,0
sub-03,57,before,individual,30,1
sub-03,58,before,individual,30,1
sub-03,59,before,individual,150,0
sub-03,60,before,optimised,30,1
sub-03,61,before,optimised,150,1
sub-03,62,before,optimised,30,1
sub-03,63,before,individual,150,0
sub-03,64,before,individual,150,0
sub-03,65,before,individual,30,1
sub-03,66,before,optimised,30,1
sub-03,67,before,optimised,150,1
sub-03,68,before,optimised,30,1
sub-03,69,before,optimised,150,0
sub-03,70,before,individual,150,0
sub-03,71,before,individual,30,1
sub-03,72,before,optimised,150,1
sub-03,73,before,optimised,150,1
sub-03,74,before,individual,150,0
sub-03,75,before,individual,150,0
sub-03,76,before,optimised,30,1
sub-03,77,before,individual,150,0
sub-03,78,before,individual,150,0
sub-03,79,before,optimised,30,1
sub-03,80,before,optimised,150,1
sub-03,1,after,individual,150,0
sub-03,2,after,individual,30,1
sub-03,3,after,individual,30,1
sub-03,4,after,optimised,150,1
sub-03,5,after,individual,150,1
sub-03,6,after,individual,30,1
sub-03,7,after,optimised,150,0
sub-03,8,after,optimised,30,1
sub-03,9,after,optimised,30,1
sub-03,10,after,individual,30,0
sub-03,11,after,individual,30,1
sub-03,12,after,individual,150,0
sub-03,13,after,individual,30,1
sub-03,14,after,optimised,150,1
sub-03,15,after,individual,30,1
sub-03,16,after,optimised,150,1
sub-03,17,after,optimised,150,1
sub-03,18,after,individual,30,1
sub-03,19,after,individual,150,0
sub-03,20,after,optimised,30,1
sub-03,21,after,individual,150,1
sub-03,22,after,optimised,150,0
sub-03,23,after,optimised,30,1
sub-03,24,after,individual,150,1
sub-03,25,after,optimised,30,1
sub-03,26,after,optimised,150,1
sub-03,27,after,individual,30,1
sub-03,28,after,individual,150,1
sub-03,29,after,optimised,30,1
sub-03,30,after,individual,30,1
sub-03,31,after,optimised,150,1
sub-03,32,after,optimised,30,1
sub-03,33,after,optimised,30,1
sub-03,34,after,individual,30,1
sub-03,35,after,optimised,150,1
sub-03,36,after,optimised,30,1
sub-03,37,after,individual,150,0
sub-03,38,after,individual,30,1
sub-03,39,after,optimised,150,0
sub-03,40,after,individual,30,1
sub-03,41,after,individual,30,1
sub-03,42,after,individual,150,0
sub-03,43,after,optimised,30,1
sub-03,44,after,optimised,30,1
sub-03,45,after,individual,30,1
sub-03,46,after,individual,30,1
sub-03,47,after,individual,150,0
sub-03,48,after,optimised,30,1
sub-03,49,after,optimised,30,1
sub-03,50,after,optimised,30,1
sub-03,51,after,optimised,150,1
sub-03,52,after,optimised,150,1
sub-03,53,after,optimised,150,1
sub-03,54,after,individual,150,0
sub-03,55,after,optimised,150,0
sub-03,56,after,individual,150,0
sub-03,57,after,individual,30,1
sub-03,58,after,individual,30,1
sub-03,59,after,individual,150,1
sub-03,60,after,optimised,30,1
sub-03,61,after,optimised,150,1
sub-03,62,after,optimised,30,1
sub-03,63,after,individual,150,1
sub-03,64,after,individual,150,0
sub-03,65,after,individual,30,1
sub-03,66,after,optimised,30,1
sub-03,67,after,optimised,150,1
sub-03,68,after,optimised,30,1
sub-03,69,after,optimised,150,1
sub-03,70,after,individual,150,1
sub-03,71,after,individual,30,0
sub-03,72,after,optimised,150,1
sub-03,73,after,optimised,150,1
sub-03,74,after,individual,150,0
sub-03,75,after,individual,150,0
sub-03,76,after,optimised,30,1
sub-03,77,after,individual,150,0
sub-03,78,after,individual,150,0
sub-03,79,after,optimised,30,1
sub-03,80,after,optimised,150,1
