participant,trial,session,hrtf,target_azimuth_deg,masker_azimuth_deg,correct,predicted_srm_db
sub-03,1,before,individual,30,30,0,-4.02910154452559
sub-03,2,before,optimised,30,30,0,-4.55908930311373
sub-03,3,before,optimised,150,30,0,0.338055441718311
sub-03,4,before,individual,30,150,0,-7.38806381278431
sub-03,5,before,optimised,30,30,1,-2.06256722717358
sub-03,6,before,individual,30,30,0,-2.36064523360374
sub-03,7,before,optimised,30,150,0,0.0781984698616337
sub-03,8,before,individual,150,30,0,-1.01159557246081
sub-03,9,before,individual,150,30,0,-1.14538754815943
sub-03,10,before,individual,150,30,0,-1.00091374488127
sub-03,11,before,individual,30,30,0,-4.4406417051091
sub-03,12,before,optimised,30,150,0,0.458129590219925
sub-03,13,before,individual,150,30,0,-5.03726623762717
sub-03,14,before,optimised,30,150,1,0.57304611517634
sub-03,15,before,optimised,30,150,1,0.563280101535338
sub-03,16,before,individual,30,150,0,-6.18044684465255
sub-03,17,before,optimised,150,30,0,-0.0794575727495582
sub-03,18,before,individual,150,30,1,-0.574462020492299
sub-03,19,before,individual,30,150,0,-7.00377385334132
sub-03,20,before,optimised,30,150,0,-3.44763004151015
sub-03,21,before,individual,30,150,1,-6.96303279333664
sub-03,22,before,optimised,30,30,1,-4.3304654512596
sub-03,23,before,individual,30,30,0,-6.99564409993407
sub-03,24,before,optimised,150,30,1,0.105568603235484
sub-03,25,before,optimised,150,30,0,-4.1669289034994
sub-03,26,before,individual,30,30,0,-3.95151933301336
sub-03,27,before,individual,30,30,0,-4.88019728216872
sub-03,28,before,optimised,30,30,0,-6.81483338055886
sub-03,29,before,optimised,150,30,1,0.356607954197823
sub-03,30,before,individual,150,30,1,-0.274518680034607
sub-03,31,before,individual,30,150,0,-10.8347643104032
sub-03,32,before,individual,150,30,1,-1.2566498835473
sub-03,33,before,individual,30,30,0,-7.00701941286977
sub-03,34,before,individual,30,30,1,-6.63833211817956
sub-03,35,before,optimised,30,30,0,-4.05640633689275
sub-03,36,before,optimised,150,30,1,0.475334267518655
sub-03,37,before,individual,30,150,1,-6.54863762839306
sub-03,38,before,individual,30,30,0,-9.17381138399069
sub-03,39,before,individual,150,30,1,-3.19971609298736
sub-03,40,before,optimised,30,30,0,-4.71169180431342
sub-03,41,before,optimised,30,150,1,1.07570708183169
sub-03,42,before,optimised,150,30,1,-0.58591898524301
sub-03,43,before,individual,150,30,0,-0.389283360047501
sub-03,44,before,individual,30,150,0,-6.88554196529468
sub-03,45,before,individual,30,150,0,-11.0019463214144
sub-03,46,before,optimised,30,30,0,-7.11491660570273
sub-03,47,before,optimised,150,30,1,-2.28133687236579
sub-03,48,before,individual,150,30,1,1.55171656376281
sub-03,49,before,optimised,30,30,1,-6.41907420216361
sub-03,50,before,optimised,30,30,0,-8.97794034209891
sub-03,51,before,individual,150,30,1,-1.70742453067483
sub-03,52,before,individual,150,30,1,-3.49601874758488
sub-03,53,before,individual,30,30,1,-4.92741779560858
sub-03,54,before,optimised,150,30,0,0.363245519158673
sub-03,55,before,optimised,150,30,1,2.56961382457124
sub-03,56,before,individual,30,150,0,-7.20741041444617
sub-03,57,before,individual,30,150,0,-11.1366571834024
sub-03,58,before,optimised,30,30,1,-5.13493208306891
sub-03,59,before,individual,30,30,0,-9.2284990436187
sub-03,60,before,optimised,150,30,1,-0.410751291981277
sub-03,61,before,individual,30,150,0,-9.59287118333261
sub-03,62,before,optimised,150,30,1,-2.35962064632421
sub-03,63,before,optimised,150,30,1,-2.50143332569208
sub-03,64,before,individual,30,30,0,-4.62519825804592
sub-03,65,before,individual,150,30,0,-3.55866477409307
sub-03,66,before,optimised,150,30,1,-4.16099787007056
sub-03,67,before,optimised,30,150,0,0.608906525650196
sub-03,68,before,individual,30,150,0,-8.8980402781426
sub-03,69,before,optimised,30,30,1,-9.10434731294655
sub-03,70,before,individual,30,150,0,-5.89319097821761
sub-03,71,before,individual,30,150,1,-4.27656148376431
sub-03,72,before,optimised,150,30,1,-1.72912563431105
sub-03,73,before,individual,30,150,0,-9.07157666066521
sub-03,74,before,optimised,30,30,0,-4.46006136679459
sub-03,75,before,optimised,30,150,0,-3.5878502470384
sub-03,76,before,individual,30,30,0,-7.33104596158188
sub-03,77,before,optimised,30,30,0,-7.35964022970308
sub-03,78,before,optimised,30,150,0,0.117995804294637
sub-03,79,before,individual,150,30,1,-5.19358788808544
sub-03,80,before,optimised,30,150,0,-3.68496767275192
sub-03,81,before,individual,30,30,0,-4.84038423575927
sub-03,82,before,individual,30,30,0,-5.43692023938903
sub-03,83,before,optimised,30,30,0,-4.84146837440312
sub-03,84,before,optimised,150,30,1,-2.07248630171787
sub-03,85,before,optimised,30,150,0,-1.91092075254893
sub-03,86,before,optimised,30,150,0,-1.58497550806924
sub-03,87,before,individual,30,30,0,-5.32576981220248
sub-03,88,before,optimised,150,30,0,-0.387334261771821
sub-03,89,before,individual,30,150,0,-8.76758729776115
sub-03,90,before,optimised,30,30,0,-5.21144063031223
sub-03,91,before,individual,150,30,1,-2.82079061412049
sub-03,92,before,individual,30,150,1,-8.78263609313293
