participant,pair,band_fc_hz,better_ear_snr_gain_db
sub-03,T30 M150,30.0,4.612963434296694
sub-03,T30 M150,63.0,5.112113648401225
sub-03,T30 M150,99.0,5.212012449151425
sub-03,T30 M150,139.0,2.380721743863562
sub-03,T30 M150,183.0,2.775552454659131
sub-03,T30 M150,231.0,2.0538802432000134
sub-03,T30 M150,284.0,1.9490455165458125
sub-03,T30 M150,342.0,2.729661176478734
sub-03,T30 M150,407.0,4.0650971128738265
sub-03,T30 M150,478.0,4.890112894552229
sub-03,T30 M150,556.0,4.627471428760737
sub-03,T30 M150,643.0,3.511155932781009
sub-03,T30 M150,739.0,3.1690367952567096
sub-03,T30 M150,845.0,7.541269349950087
sub-03,T30 M150,963.0,9.47991406959564
sub-03,T30 M150,1094.0,9.440161818911577
sub-03,T30 M150,1240.0,9.45591204054768
sub-03,T30 M150,1403.0,8.065427041737689
sub-03,T30 M150,1585.0,4.702762627976464
sub-03,T30 M150,1788.0,2.9109091934174254
sub-03,T30 M150,2017.0,4.401252749130877
sub-03,T30 M150,2274.0,9.284430754155952
sub-03,T30 M150,2565.0,14.623135766879406
sub-03,T30 M150,2894.0,8.92241249802707
sub-03,T30 M150,3270.0,1.2854967898633367
sub-03,T30 M150,3699.0,3.190281962308333
sub-03,T30 M150,4192.0,8.833471125590469
sub-03,T30 M150,4763.0,12.561377952890291
sub-03,T30 M150,5428.0,5.520169921215674
sub-03,T30 M150,6210.0,-1.8380104030827136
sub-03,T30 M150,7138.0,-1.9017604011696392
sub-03,T30 M150,8252.0,-11.01042833697459
sub-03,T30 M150,9607.0,-4.63408767722524
sub-03,T30 M150,11287.0,-5.360507329123353
sub-03,T30 M150,13411.0,-8.695420660419012
sub-03,T30 M150,16171.0,-7.76160505282508
sub-03,T30 M150,19885.0,-3.5453793252898738
sub-03,T150 M30,30.0,-2.3968460913894525
sub-03,T150 M30,63.0,-2.6158169850793542
sub-03,T150 M30,99.0,-2.433684858884402
sub-03,T150 M30,139.0,-2.149432507417323
sub-03,T150 M30,183.0,-2.3299446010121163
sub-03,T150 M30,231.0,-1.1645522110999935
sub-03,T150 M30,284.0,-0.4436813276044975
sub-03,T150 M30,342.0,0.404738405285642
sub-03,T150 M30,407.0,0.5539762451754827
sub-03,T150 M30,478.0,2.496067140960733
sub-03,T150 M30,556.0,4.739854809943602
sub-03,T150 M30,643.0,6.231113467902584
sub-03,T150 M30,739.0,5.44494815137122
sub-03,T150 M30,845.0,5.40569344610006
sub-03,T150 M30,963.0,3.4926325274727654
sub-03,T150 M30,1094.0,6.804692387538535
sub-03,T150 M30,1240.0,10.1514450704523
sub-03,T150 M30,1403.0,13.322794854021126
sub-03,T150 M30,1585.0,9.325478275073236
sub-03,T150 M30,1788.0,2.7113389322358192
sub-03,T150 M30,2017.0,0.4456828649066652
sub-03,T150 M30,2274.0,3.982277795075454
sub-03,T150 M30,2565.0,7.845558337747562
sub-03,T150 M30,2894.0,3.531448208299569
sub-03,T150 M30,3270.0,-2.656802528494469
sub-03,T150 M30,3699.0,1.6783408078404571
sub-03,T150 M30,4192.0,5.110596318342527
sub-03,T150 M30,4763.0,5.615079863840432
sub-03,T150 M30,5428.0,0.3701970538107053
sub-03,T150 M30,6210.0,1.747765298138224
sub-03,T150 M30,7138.0,13.099776214554437
sub-03,T150 M30,8252.0,15.937624645394756
sub-03,T150 M30,9607.0,6.104311479054955
sub-03,T150 M30,11287.0,11.853419725005448
sub-03,T150 M30,13411.0,9.171433250077706
sub-03,T150 M30,16171.0,5.776136864409031
sub-03,T150 M30,19885.0,26.724940399060593
