participant,pair,band_fc_hz,better_ear_snr_gain_db
sub-13,T30 M150,30.0,3.758720922417834
sub-13,T30 M150,63.0,4.351061705531498
sub-13,T30 M150,99.0,4.507830420811927
sub-13,T30 M150,139.0,1.6925022137831405
sub-13,T30 M150,183.0,1.8794747175212936
sub-13,T30 M150,231.0,1.1971605550974376
sub-13,T30 M150,284.0,1.191673665162686
sub-13,T30 M150,342.0,2.086238554902661
sub-13,T30 M150,407.0,3.4312221103140614
sub-13,T30 M150,478.0,4.24908536676562
sub-13,T30 M150,556.0,4.355832462077875
sub-13,T30 M150,643.0,3.1014806949155567
sub-13,T30 M150,739.0,5.118036087906969
sub-13,T30 M150,845.0,10.300612506788417
sub-13,T30 M150,963.0,11.641008257445613
sub-13,T30 M150,1094.0,5.141317301060149
sub-13,T30 M150,1240.0,6.369471121461678
sub-13,T30 M150,1403.0,6.27988508505769
sub-13,T30 M150,1585.0,4.687332659615796
sub-13,T30 M150,1788.0,1.8382222869597444
sub-13,T30 M150,2017.0,4.134560373430016
sub-13,T30 M150,2274.0,12.605316740487565
sub-13,T30 M150,2565.0,13.753903897134949
sub-13,T30 M150,2894.0,8.606728326736613
sub-13,T30 M150,3270.0,0.632566378857871
sub-13,T30 M150,3699.0,2.2636159220285874
sub-13,T30 M150,4192.0,9.082021866586654
sub-13,T30 M150,4763.0,14.588375935544756
sub-13,T30 M150,5428.0,9.437203048959418
sub-13,T30 M150,6210.0,4.975147340254205
sub-13,T30 M150,7138.0,11.971397808243
sub-13,T30 M150,8252.0,-15.692639721316304
sub-13,T30 M150,9607.0,-3.7495276473031134
sub-13,T30 M150,11287.0,-5.8176263147817675
sub-13,T30 M150,13411.0,-9.357486413938418
sub-13,T30 M150,16171.0,-8.568392061681914
sub-13,T30 M150,19885.0,4.852668287456277
sub-13,T150 M30,30.0,-1.4707520338423103
sub-13,T150 M30,63.0,-1.7251262296768608
sub-13,T150 M30,99.0,-1.551092358144336
sub-13,T150 M30,139.0,-1.2738188665338843
sub-13,T150 M30,183.0,-1.7008461354109785
sub-13,T150 M30,231.0,-0.6060775010139059
sub-13,T150 M30,284.0,0.0105445984068601
sub-13,T150 M30,342.0,0.8964166415500965
sub-13,T150 M30,407.0,1.3386188971482589
sub-13,T150 M30,478.0,3.1369853977208484
sub-13,T150 M30,556.0,4.981344206015988
sub-13,T150 M30,643.0,4.730877101459237
sub-13,T150 M30,739.0,4.608869556381848
sub-13,T150 M30,845.0,5.212361546512817
sub-13,T150 M30,963.0,5.024134993587698
sub-13,T150 M30,1094.0,6.537829135146298
sub-13,T150 M30,1240.0,13.429056688486584
sub-13,T150 M30,1403.0,15.96324484848653
sub-13,T150 M30,1585.0,12.16292234229688
sub-13,T150 M30,1788.0,-0.1032925608081054
sub-13,T150 M30,2017.0,-0.1409021554080303
sub-13,T150 M30,2274.0,5.3386509774570134
sub-13,T150 M30,2565.0,6.312212474611186
sub-13,T150 M30,2894.0,6.296991062250889
sub-13,T150 M30,3270.0,1.0382807806647618
sub-13,T150 M30,3699.0,2.2462541799809626
sub-13,T150 M30,4192.0,2.396070239609078
sub-13,T150 M30,4763.0,0.5316381104834234
sub-13,T150 M30,5428.0,-6.5784109100720425
sub-13,T150 M30,6210.0,-2.946740361505499
sub-13,T150 M30,7138.0,9.442722057714228
sub-13,T150 M30,8252.0,8.396158278829835
sub-13,T150 M30,9607.0,-0.824178510547767
sub-13,T150 M30,11287.0,6.695850348996566
sub-13,T150 M30,13411.0,6.235173108111075
sub-13,T150 M30,16171.0,11.44404687690766
sub-13,T150 M30,19885.0,18.004159681398182
