participant,trial,session,hrtf,location_deg,correct
sub-13,1,before,individual,150,0
sub-13,2,before,individual,30,1
sub-13,3,before,individual,30,1
sub-13,4,before,optimised,150,1
sub-13,5,before,individual,150,1
sub-13,6,before,individual,30,1
sub-13,7,before,optimised,150,1
sub-13,8,before,optimised,30,1
sub-13,9,before,optimised,30,1
sub-13,10,before,individual,30,0
sub-13,11,before,individual,30,1
sub-13,12,before,individual,150,1
sub-13,13,before,individual,30,0
sub-13,14,before,optimised,150,1
sub-13,15,before,individual,30,1
sub-13,16,before,optimised,150,1
sub-13,17,before,optimised,150,1
sub-13,18,before,individual,30,1
sub-13,19,before,individual,150,1
sub-13,20,before,optimised,30,1
sub-13,21,before,individual,150,1
sub-13,22,before,optimised,150,1
sub-13,23,before,optimised,30,1
sub-13,24,before,individual,150,1
sub-13,25,before,optimised,30,1
sub-13,26,before,optimised,150,1
sub-13,27,before,individual,30,1
sub-13,28,before,individual,150,1
sub-13,29,before,optimised,30,1
sub-13,30,before,individual,30,1
sub-13,31,before,optimised,150,1
sub-13,32,before,optimised,30,1
sub-13,33,before,optimised,30,1
sub-13,34,before,individual,30,0
sub-13,35,before,optimised,150,1
sub-13,36,before,optimised,30,1
sub-13,37,before,individual,150,1
sub-13,38,before,individual,30,1
sub-13,39,before,optimised,150,1
sub-13,40,before,individual,30,1
sub-13,41,before,individual,30,1
sub-13,42,before,individual,150,1
sub-13,43,before,optimised,30,1
sub-13,44,before,optimised,30,0
sub-13,45,before,individual,30,1
sub-13,46,before,individual,30,1
sub-13,47,before,individual,150,1
sub-13,48,before,optimised,30,0
sub-13,49,before,optimised,30,1
sub-13,50,before,optimised,30,1
sub-13,51,before,optimised,150,1
sub-13,52,before,optimised,150,1
sub-13,53,before,optimised,150,1
sub-13,54,before,individual,150,0
sub-13,55,before,optimised,150,1
sub-13,56,before,individual,150,1
sub-13,57,before,individual,30,0
sub-13,58,before,individual,30,1
sub-13,59,before,individual,150,1
sub-13,60,before,optimised,30,0
sub-13,61,before,optimised,150,1
sub-13,62,before,optimised,30,0
sub-13,63,before,individual,150,1
sub-13,64,before,individual,150,1
sub-13,65,before,individual,30,0
sub-13,66,before,optimised,30,0
sub-13,67,before,optimised,150,1
sub-13,68,before,optimised,30,1
sub-13,69,before,optimised,150,1
sub-13,70,before,individual,150,0
sub-13,71,before,individual,30,0
sub-13,72,before,optimised,150,1
sub-13,73,before,optimised,150,1
sub-13,74,before,individual,150,0
sub-13,75,before,individual,150,0
sub-13,76,before,optimised,30,0
sub-13,77,before,individual,150,1
sub-13,78,before,individual,150,1
sub-13,79,before,optimised,30,0
sub-13,80,before,optimised,150,1
sub-13,1,after,individual,150,1
sub-13,2,after,individual,30,1
sub-13,3,after,individual,30,0
sub-13,4,after,optimised,150,1
sub-13,5,after,individual,150,1
sub-13,6,after,individual,30,1
sub-13,7,after,optimised,150,1
sub-13,8,after,optimised,30,1
sub-13,9,after,optimised,30,0
sub-13,10,after,individual,30,1
sub-13,11,after,individual,30,1
sub-13,12,after,individual,150,1
sub-13,13,after,individual,30,1
sub-13,14,after,optimised,150,1
sub-13,15,after,individual,30,1
sub-13,16,after,optimised,150,1
sub-13,17,after,optimised,150,0
sub-13,18,after,individual,30,1
sub-13,19,after,individual,150,1
sub-13,20,after,optimised,30,1
sub-13,21,after,individual,150,1
sub-13,22,after,optimised,150,1
sub-13,23,after,optimised,30,1
sub-13,24,after,individual,150,1
sub-13,25,after,optimised,30,0
sub-13,26,after,optimised,150,0
sub-13,27,after,individual,30,0
sub-13,28,after,individual,150,0
sub-13,29,after,optimised,30,0
sub-13,30,after,individual,30,1
sub-13,31,after,optimised,150,1
sub-13,32,after,optimised,30,1
sub-13,33,after,optimised,30,0
sub-13,34,after,individual,30,1
sub-13,35,after,optimised,150,1
sub-13,36,after,optimised,30,1
sub-13,37,after,individual,150,1
sub-13,38,after,individual,30,1
sub-13,39,after,optimised,150,1
sub-13,40,after,individual,30,1
sub-13,41,after,individual,30,1
sub-13,42,after,individual,150,1
sub-13,43,after,optimised,30,1
sub-13,44,after,optimised,30,0
sub-13,45,after,individual,30,1
sub-13,46,after,individual,30,0
sub-13,47,after,individual,150,0
sub-13,48,after,optimised,30,0
sub-13,49,after,optimised,30,1
sub-13,50,after,optimised,30,1
sub-13,51,after,optimised,150,1
sub-13,52,after,optimised,150,0
sub-13,53,after,optimised,150,1
sub-13,54,after,individual,150,0
sub-13,55,after,optimised,150,0
sub-13,56,after,individual,150,0
sub-13,57,after,individual,30,0
sub-13,58,after,individual,30,1
sub-13,59,after,individual,150,1
sub-13,60,after,optimised,30,1
sub-13,61,after,optimised,150,1
sub-13,62,after,optimised,30,1
sub-13,63,after,individual,150,1
sub-13,64,after,individual,150,0
sub-13,65,after,individual,30,1
sub-13,66,after,optimised,30,1
sub-13,67,after,optimised,150,1
sub-13,68,after,optimised,30,1
sub-13,69,after,optimised,150,0
sub-13,70,after,individual,150,0
sub-13,71,after,individual,30,1
sub-13,72,after,optimised,150,1
sub-13,73,after,optimised,150,0
sub-13,74,after,individual,150,1
sub-13,75,after,individual,150,1
sub-13,76,after,optimised,30,1
sub-13,77,after,individual,150,1
sub-13,78,after,individual,150,1
sub-13,79,after,optimised,30,0
sub-13,80,after,optimised,150,0
