participant,trial,session,hrtf,target_azimuth_deg,masker_azimuth_deg,correct,predicted_srm_db
sub-13,1,before,individual,30,30,0,-4.20863638955668
sub-13,2,before,optimised,30,30,0,-4.55908930311373
sub-13,3,before,optimised,150,30,0,0.338055441718311
sub-13,4,before,individual,30,150,0,-6.39500426514527
sub-13,5,before,optimised,30,30,0,-2.06256722717358
sub-13,6,before,individual,30,30,0,-2.483864755594
sub-13,7,before,optimised,30,150,0,0.0781984698616337
sub-13,8,before,individual,150,30,0,-1.64922408488186
sub-13,9,before,individual,150,30,0,-1.64512435830606
sub-13,10,before,individual,150,30,0,-1.72863364917324
sub-13,11,before,individual,30,30,0,-4.31550094132126
sub-13,12,before,optimised,30,150,1,0.458129590219925
sub-13,13,before,individual,150,30,0,-5.95204121407759
sub-13,14,before,optimised,30,150,0,0.57304611517634
sub-13,15,before,optimised,30,150,0,0.563280101535338
sub-13,16,before,individual,30,150,0,-5.17551858000827
sub-13,17,before,optimised,150,30,0,-0.0794575727495582
sub-13,18,before,individual,150,30,0,-1.46251400058657
sub-13,19,before,individual,30,150,0,-5.90819684085585
sub-13,20,before,optimised,30,150,0,-3.44763004151015
sub-13,21,before,individual,30,150,0,-5.82910179828755
sub-13,22,before,optimised,30,30,0,-4.3304654512596
sub-13,23,before,individual,30,30,0,-6.95868277085737
sub-13,24,before,optimised,150,30,0,0.105568603235484
sub-13,25,before,optimised,150,30,0,-4.1669289034994
sub-13,26,before,individual,30,30,0,-3.77653752738882
sub-13,27,before,individual,30,30,0,-4.82695262334637
sub-13,28,before,optimised,30,30,0,-6.81483338055886
sub-13,29,before,optimised,150,30,1,0.356607954197823
sub-13,30,before,individual,150,30,0,-0.945607040490228
sub-13,31,before,individual,30,150,0,-9.74513238038982
sub-13,32,before,individual,150,30,1,-2.23060155945813
sub-13,33,before,individual,30,30,0,-7.01145035081842
sub-13,34,before,individual,30,30,0,-6.51516087326097
sub-13,35,before,optimised,30,30,0,-4.05640633689275
sub-13,36,before,optimised,150,30,0,0.475334267518655
sub-13,37,before,individual,30,150,0,-5.23174245810489
sub-13,38,before,individual,30,30,0,-8.86579369180845
sub-13,39,before,individual,150,30,0,-3.96657695844754
sub-13,40,before,optimised,30,30,0,-4.71169180431342
sub-13,41,before,optimised,30,150,1,1.07570708183169
sub-13,42,before,optimised,150,30,1,-0.58591898524301
sub-13,43,before,individual,150,30,1,-1.50963964267111
