participant,trial,session,hrtf,target_azimuth_deg,masker_azimuth_deg,correct,predicted_srm_db
sub-07,1,before,individual,30,30,0,-4.44394374802915
sub-07,2,before,optimised,30,30,0,-4.55908930311373
sub-07,3,before,optimised,150,30,0,0.338055441718311
sub-07,4,before,individual,30,150,1,-6.7541743289186
sub-07,5,before,optimised,30,30,1,-2.06256722717358
sub-07,6,before,individual,30,30,1,-2.23740997289362
sub-07,7,before,optimised,30,150,1,0.0781984698616337
sub-07,8,before,individual,150,30,0,-1.45701408606199
sub-07,9,before,individual,150,30,0,-1.75179961793856
sub-07,10,before,individual,150,30,0,-1.58338549468345
sub-07,11,before,individual,30,30,0,-4.3886660457031
sub-07,12,before,optimised,30,150,1,0.458129590219925
sub-07,13,before,individual,150,30,1,-6.00018393328297
sub-07,14,before,optimised,30,150,0,0.57304611517634
sub-07,15,before,optimised,30,150,1,0.563280101535338
sub-07,16,before,individual,30,150,0,-5.9571068898919
sub-07,17,before,optimised,150,30,0,-0.0794575727495582
sub-07,18,before,individual,150,30,1,-1.34630315530002
sub-07,19,before,individual,30,150,0,-6.49347782049448
sub-07,20,before,optimised,30,150,1,-3.44763004151015
sub-07,21,before,individual,30,150,1,-6.28900994037065
sub-07,22,before,optimised,30,30,1,-4.3304654512596
sub-07,23,before,individual,30,30,0,-6.98231108138115
sub-07,24,before,optimised,150,30,0,0.105568603235484
sub-07,25,before,optimised,150,30,1,-4.1669289034994
sub-07,26,before,individual,30,30,1,-3.70864887728695
sub-07,27,before,individual,30,30,0,-4.73934195891625
sub-07,28,before,optimised,30,30,0,-6.81483338055886
sub-07,29,before,optimised,150,30,1,0.356607954197823
sub-07,30,before,individual,150,30,1,-0.760947577985043
sub-07,31,before,individual,30,150,0,-10.0878512105193
sub-07,32,before,individual,150,30,1,-2.01867064359652
sub-07,33,before,individual,30,30,0,-7.14553995854004
sub-07,34,before,individual,30,30,1,-6.62824417813411
sub-07,35,before,optimised,30,30,1,-4.05640633689275
sub-07,36,before,optimised,150,30,1,0.475334267518655
sub-07,37,before,individual,30,150,0,-6.08360346712786
sub-07,38,before,individual,30,30,0,-8.99501799025055
sub-07,39,before,individual,150,30,1,-4.00496081300221
sub-07,40,before,optimised,30,30,0,-4.71169180431342
sub-07,41,before,optimised,30,150,1,1.07570708183169
sub-07,42,before,optimised,150,30,1,-0.58591898524301
sub-07,43,before,individual,150,30,0,-1.15681531904213
sub-07,44,before,individual,30,150,0,-6.28304232635607
sub-07,45,before,individual,30,150,0,-10.1441261588394
sub-07,46,before,optimised,30,30,0,-7.11491660570273
sub-07,47,before,optimised,150,30,1,-2.28133687236579
sub-07,48,before,individual,150,30,1,0.780545192539015
sub-07,49,before,optimised,30,30,1,-6.41907420216361
sub-07,50,before,optimised,30,30,1,-8.97794034209891
sub-07,51,before,individual,150,30,1,-2.34849786881771
sub-07,52,before,individual,150,30,1,-4.24835774189196
sub-07,53,before,individual,30,30,1,-5.15240169493516
sub-07,54,before,optimised,150,30,1,0.363245519158673
sub-07,55,before,optimised,150,30,1,2.56961382457124
sub-07,56,before,individual,30,150,0,-6.89096683204503
sub-07,57,before,individual,30,150,1,-10.5360537486007
sub-07,58,before,optimised,30,30,1,-5.13493208306891
sub-07,59,before,individual,30,30,0,-9.1615526273509
sub-07,60,before,optimised,150,30,0,-0.410751291981277
sub-07,61,before,individual,30,150,0,-8.81868116218301
sub-07,62,before,optimised,150,30,1,-2.35962064632421
sub-07,63,before,optimised,150,30,0,-2.50143332569208
sub-07,64,before,individual,30,30,0,-4.55772873415552
sub-07,65,before,individual,150,30,0,-4.08311049001237
sub-07,66,before,optimised,150,30,1,-4.16099787007056
sub-07,67,before,optimised,30,150,0,0.608906525650196
sub-07,68,before,individual,30,150,1,-8.22498758939736
sub-07,69,before,optimised,30,30,1,-9.10434731294655
sub-07,70,before,individual,30,150,1,-5.07006238453927
sub-07,71,before,individual,30,150,1,-3.83702605812828
sub-07,72,before,optimised,150,30,1,-1.72912563431105
sub-07,73,before,individual,30,150,1,-8.52496425182877
sub-07,74,before,optimised,30,30,0,-4.46006136679459
sub-07,75,before,optimised,30,150,1,-3.5878502470384
sub-07,76,before,individual,30,30,0,-7.10621567683222
sub-07,77,before,optimised,30,30,0,-7.35964022970308
sub-07,78,before,optimised,30,150,0,0.117995804294637
sub-07,79,before,individual,150,30,1,-6.03956594474333
sub-07,80,before,optimised,30,150,1,-3.68496767275192
sub-07,81,before,individual,30,30,0,-4.64746115836566
sub-07,82,before,individual,30,30,0,-5.17950998663938
sub-07,83,before,optimised,30,30,0,-4.84146837440312
sub-07,84,before,optimised,150,30,1,-2.07248630171787
sub-07,85,before,optimised,30,150,0,-1.91092075254893
sub-07,86,before,optimised,30,150,1,-1.58497550806924
sub-07,87,before,individual,30,30,1,-5.28121784684271
sub-07,88,before,optimised,150,30,1,-0.387334261771821
sub-07,89,before,individual,30,150,1,-8.35823433368236
sub-07,90,before,optimised,30,30,0,-5.21144063031223
sub-07,91,before,individual,150,30,1,-3.38011999860606
sub-07,92,before,individual,30,150,1,-8.16562337254327
sub-07,93,before,optimised,30,150,1,1.1297484156934
sub-07,94,before,optimised,150,30,1,-4.23659157227611
