participant,trial,session,hrtf,location_deg,correct
sub-07,1,before,individual,150,0
sub-07,2,before,individual,30,1
sub-07,3,before,individual,30,1
sub-07,4,before,optimised,150,1
sub-07,5,before,individual,150,0
sub-07,6,before,individual,30,1
sub-07,7,before,optimised,150,1
sub-07,8,before,optimised,30,1
sub-07,9,before,optimised,30,1
sub-07,10,before,individual,30,1
sub-07,11,before,individual,30,1
sub-07,12,before,individual,150,1
sub-07,13,before,individual,30,1
sub-07,14,before,optimised,150,1
sub-07,15,before,individual,30,1
sub-07,16,before,optimised,150,1
sub-07,17,before,optimised,150,1
sub-07,18,before,individual,30,1
sub-07,19,before,individual,150,1
sub-07,20,before,optimised,30,0
sub-07,21,before,individual,150,0
sub-07,22,before,optimised,150,1
sub-07,23,before,optimised,30,1
sub-07,24,before,individual,150,0
sub-07,25,before,optimised,30,1
sub-07,26,before,optimised,150,1
sub-07,27,before,individual,30,1
sub-07,28,before,individual,150,1
sub-07,29,before,optimised,30,1
sub-07,30,before,individual,30,1
sub-07,31,before,optimised,150,1
sub-07,32,before,optimised,30,1
sub-07,33,before,optimised,30,0
sub-07,34,before,individual,30,1
sub-07,35,before,optimised,150,1
sub-07,36,before,optimised,30,1
sub-07,37,before,individual,150,1
sub-07,38,before,individual,30,1
sub-07,39,before,optimised,150,1
sub-07,40,before,individual,30,1
sub-07,41,before,individual,30,1
sub-07,42,before,individual,150,1
sub-07,43,before,optimised,30,0
sub-07,44,before,optimised,30,0
sub-07,45,before,individual,30,1
sub-07,46,before,individual,30,1
sub-07,47,before,individual,150,0
sub-07,48,before,optimised,30,0
sub-07,49,before,optimised,30,0
sub-07,50,before,optimised,30,1
sub-07,51,before,optimised,150,1
sub-07,52,before,optimised,150,1
sub-07,53,before,optimised,150,1
sub-07,54,before,individual,150,0
sub-07,55,before,optimised,150,1
sub-07,56,before,individual,150,0
sub-07,57,before,individual,30,1
sub-07,58,before,individual,30,1
sub-07,59,before,individual,150,0
sub-07,60,before,optimised,30,0
sub-07,61,before,optimised,150,0
sub-07,62,before,optimised,30,1
sub-07,63,before,individual,150,0
sub-07,64,before,individual,150,0
sub-07,65,before,individual,30,1
sub-07,66,before,optimised,30,1
sub-07,67,before,optimised,150,1
sub-07,68,before,optimised,30,0
sub-07,69,before,optimised,150,1
sub-07,70,before,individual,150,0
sub-07,71,before,individual,30,1
sub-07,72,before,optimised,150,1
sub-07,73,before,optimised,150,1
sub-07,74,before,individual,150,0
sub-07,75,before,individual,150,0
sub-07,76,before,optimised,30,1
sub-07,77,before,individual,150,0
sub-07,78,before,individual,150,0
sub-07,79,before,optimised,30,0
sub-07,80,before,optimised,150,1
sub-07,1,after,individual,150,0
sub-07,2,after,individual,30,1
sub-07,3,after,individual,30,1
sub-07,4,after,optimised,150,1
sub-07,5,after,individual,150,0
sub-07,6,after,individual,30,1
sub-07,7,after,optimised,150,1
sub-07,8,after,optimised,30,1
sub-07,9,after,optimised,30,1
sub-07,10,after,individual,30,1
sub-07,11,after,individual,30,1
sub-07,12,after,individual,150,0
sub-07,13,after,individual,30,1
sub-07,14,after,optimised,150,1
sub-07,15,after,individual,30,1
sub-07,16,after,optimised,150,1
sub-07,17,after,optimised,150,1
sub-07,18,after,individual,30,1
sub-07,19,after,individual,150,1
sub-07,20,after,optimised,30,0
sub-07,21,after,individual,150,1
sub-07,22,after,optimised,150,1
sub-07,23,after,optimised,30,1
sub-07,24,after,individual,150,0
sub-07,25,after,optimised,30,1
sub-07,26,after,optimised,150,1
sub-07,27,after,individual,30,1
sub-07,28,after,individual,150,0
sub-07,29,after,optimised,30,0
sub-07,30,after,individual,30,1
sub-07,31,after,optimised,150,1
sub-07,32,after,optimised,30,1
sub-07,33,after,optimised,30,1
sub-07,34,after,individual,30,1
sub-07,35,after,optimised,150,1
sub-07,36,after,optimised,30,0
sub-07,37,after,individual,150,0
sub-07,38,after,individual,30,1
sub-07,39,after,optimised,150,1
sub-07,40,after,individual,30,1
sub-07,41,after,individual,30,1
sub-07,42,after,individual,150,1
sub-07,43,after,optimised,30,1
sub-07,44,after,optimised,30,0
sub-07,45,after,individual,30,1
sub-07,46,after,individual,30,1
sub-07,47,after,individual,150,0
sub-07,48,after,optimised,30,1
sub-07,49,after,optimised,30,1
sub-07,50,after,optimised,30,1
sub-07,51,after,optimised,150,1
sub-07,52,after,optimised,150,0
sub-07,53,after,optimised,150,1
sub-07,54,after,individual,150,0
sub-07,55,after,optimised,150,1
sub-07,56,after,individual,150,1
sub-07,57,after,individual,30,1
sub-07,58,after,individual,30,1
sub-07,59,after,individual,150,1
sub-07,60,after,optimised,30,0
sub-07,61,after,optimised,150,1
sub-07,62,after,optimised,30,1
sub-07,63,after,individual,150,0
sub-07,64,after,individual,150,0
sub-07,65,after,individual,30,1
sub-07,66,after,optimised,30,1
sub-07,67,after,optimised,150,1
sub-07,68,after,optimised,30,0
sub-07,69,after,optimised,150,1
sub-07,70,after,individual,150,0
sub-07,71,after,individual,30,1
sub-07,72,after,optimised,150,1
sub-07,73,after,optimised,150,1
sub-07,74,after,individual,150,0
sub-07,75,after,individual,150,0
sub-07,76,after,optimised,30,1
sub-07,77,after,individual,150,0
sub-07,78,after,individual,150,0
sub-07,79,after,optimised,30,1
sub-07,80,after,optimised,150,1
