participant,pair,band_fc_hz,better_ear_snr_gain_db
sub-07,T30 M150,30.0,4.567134600899216
sub-07,T30 M150,63.0,5.094002098815841
sub-07,T30 M150,99.0,5.077764424004958
sub-07,T30 M150,139.0,2.076864360406011
sub-07,T30 M150,183.0,2.4323701741044386
sub-07,T30 M150,231.0,1.9066816884843631
sub-07,T30 M150,284.0,2.012419657883288
sub-07,T30 M150,342.0,2.800039385452369
sub-07,T30 M150,407.0,3.3655632470381676
sub-07,T30 M150,478.0,3.291963461177718
sub-07,T30 M150,556.0,2.6251321494429956
sub-07,T30 M150,643.0,2.6780192643679435
sub-07,T30 M150,739.0,5.137166987457334
sub-07,T30 M150,845.0,9.02107194692328
sub-07,T30 M150,963.0,9.88780203614485
sub-07,T30 M150,1094.0,8.595004447232089
sub-07,T30 M150,1240.0,6.926020482471467
sub-07,T30 M150,1403.0,8.219866894247064
sub-07,T30 M150,1585.0,2.6236509664391097
sub-07,T30 M150,1788.0,1.4679447955281368
sub-07,T30 M150,2017.0,3.527924544133227
sub-07,T30 M150,2274.0,10.00015181031307
sub-07,T30 M150,2565.0,14.918323355119403
sub-07,T30 M150,2894.0,8.98408265600435
sub-07,T30 M150,3270.0,0.4888320337189089
sub-07,T30 M150,3699.0,2.042431416043396
sub-07,T30 M150,4192.0,10.449763262337608
sub-07,T30 M150,4763.0,14.67731914722346
sub-07,T30 M150,5428.0,1.1180508919938816
sub-07,T30 M150,6210.0,-1.33681915166445
sub-07,T30 M150,7138.0,11.750924241805858
sub-07,T30 M150,8252.0,-2.436706761838392
sub-07,T30 M150,9607.0,-2.8257779789684503
sub-07,T30 M150,11287.0,-6.618356117015955
sub-07,T30 M150,13411.0,-9.827094709827264
sub-07,T30 M150,16171.0,-15.746643019718867
sub-07,T30 M150,19885.0,-12.175557294174183
sub-07,T150 M30,30.0,-1.6378000445318297
sub-07,T150 M30,63.0,-1.9157340194308696
sub-07,T150 M30,99.0,-1.9665381217873723
sub-07,T150 M30,139.0,-2.024176225941862
sub-07,T150 M30,183.0,-2.531089389444354
sub-07,T150 M30,231.0,-1.5293387648412868
sub-07,T150 M30,284.0,-0.9636029587471164
sub-07,T150 M30,342.0,0.0641870891413947
sub-07,T150 M30,407.0,0.9343750229996282
sub-07,T150 M30,478.0,3.4744880731050087
sub-07,T150 M30,556.0,4.117009176899937
sub-07,T150 M30,643.0,3.2233386892085956
sub-07,T150 M30,739.0,3.0884224207596636
sub-07,T150 M30,845.0,6.167264400926661
sub-07,T150 M30,963.0,6.873543001713433
sub-07,T150 M30,1094.0,6.41328620471282
sub-07,T150 M30,1240.0,10.074591473038067
sub-07,T150 M30,1403.0,14.386741575073277
sub-07,T150 M30,1585.0,8.993493306016862
sub-07,T150 M30,1788.0,3.035191675020365
sub-07,T150 M30,2017.0,1.6927256853012942
sub-07,T150 M30,2274.0,2.80014683018819
sub-07,T150 M30,2565.0,6.558072156882692
sub-07,T150 M30,2894.0,5.947121035169896
sub-07,T150 M30,3270.0,2.9402663732079923
sub-07,T150 M30,3699.0,1.9155257557482896
sub-07,T150 M30,4192.0,8.450879436600687
sub-07,T150 M30,4763.0,8.397425729686308
sub-07,T150 M30,5428.0,6.687148114594736
sub-07,T150 M30,6210.0,5.220835188644404
sub-07,T150 M30,7138.0,11.18461208669408
sub-07,T150 M30,8252.0,7.950019501405952
sub-07,T150 M30,9607.0,4.975806266368692
sub-07,T150 M30,11287.0,2.918323172276592
sub-07,T150 M30,13411.0,6.421837523082374
sub-07,T150 M30,16171.0,12.257378519952209
sub-07,T150 M30,19885.0,37.278445516246414
