participant,pair,band_fc_hz,better_ear_snr_gain_db
sub-06,T30 M150,30.0,4.1828764236982465
sub-06,T30 M150,63.0,4.624431212692961
sub-06,T30 M150,99.0,4.632361671129993
sub-06,T30 M150,139.0,1.7006045521524844
sub-06,T30 M150,183.0,2.1380946818537447
sub-06,T30 M150,231.0,1.5538232594134596
sub-06,T30 M150,284.0,1.799709478067779
sub-06,T30 M150,342.0,3.038077473314044
sub-06,T30 M150,407.0,4.3420653148002755
sub-06,T30 M150,478.0,4.040605615956711
sub-06,T30 M150,556.0,4.1724350836844675
sub-06,T30 M150,643.0,3.567639356198683
sub-06,T30 M150,739.0,5.761503097575395
sub-06,T30 M150,845.0,9.904620997534307
sub-06,T30 M150,963.0,10.35559621341417
sub-06,T30 M150,1094.0,9.988779471806362
sub-06,T30 M150,1240.0,5.988086999174983
sub-06,T30 M150,1403.0,4.328244164837162
sub-06,T30 M150,1585.0,5.051563192367798
sub-06,T30 M150,1788.0,0.128865510749268
sub-06,T30 M150,2017.0,3.763558883986768
sub-06,T30 M150,2274.0,9.748205178332835
sub-06,T30 M150,2565.0,16.764817978354046
sub-06,T30 M150,2894.0,9.553749802242397
sub-06,T30 M150,3270.0,2.401120410079648
sub-06,T30 M150,3699.0,3.1096283720254787
sub-06,T30 M150,4192.0,9.672517515603383
sub-06,T30 M150,4763.0,11.023817855656423
sub-06,T30 M150,5428.0,2.596701376517945
sub-06,T30 M150,6210.0,-2.5615315065925612
sub-06,T30 M150,7138.0,11.024139593582724
sub-06,T30 M150,8252.0,1.8118747339806072
sub-06,T30 M150,9607.0,-5.6802097669330145
sub-06,T30 M150,11287.0,12.052328106955972
sub-06,T30 M150,13411.0,-12.25415630919318
sub-06,T30 M150,16171.0,-9.027291081715031
sub-06,T30 M150,19885.0,1.5025861496672537
sub-06,T150 M30,30.0,-1.8921809274468764
sub-06,T150 M30,63.0,-2.085710074814913
sub-06,T150 M30,99.0,-1.8524396772253375
sub-06,T150 M30,139.0,-1.513951117346361
sub-06,T150 M30,183.0,-1.5845933254520683
sub-06,T150 M30,231.0,-0.4694856319559986
sub-06,T150 M30,284.0,0.0874560212380717
sub-06,T150 M30,342.0,0.9118591406322802
sub-06,T150 M30,407.0,1.2556197541139869
sub-06,T150 M30,478.0,2.543564232713881
sub-06,T150 M30,556.0,5.085682795900534
sub-06,T150 M30,643.0,5.72297450858667
sub-06,T150 M30,739.0,5.5429618296526435
sub-06,T150 M30,845.0,5.399772397388961
sub-06,T150 M30,963.0,0.165095339563722
sub-06,T150 M30,1094.0,7.885658070939459
sub-06,T150 M30,1240.0,12.824555081980105
sub-06,T150 M30,1403.0,16.072370472607155
sub-06,T150 M30,1585.0,13.53503364255192
sub-06,T150 M30,1788.0,3.5245078330574833
sub-06,T150 M30,2017.0,-0.7329822349013103
sub-06,T150 M30,2274.0,2.5219304029208978
sub-06,T150 M30,2565.0,4.070502378955888
sub-06,T150 M30,2894.0,5.796336759015934
sub-06,T150 M30,3270.0,0.98079956113575
sub-06,T150 M30,3699.0,1.2526223779105674
sub-06,T150 M30,4192.0,5.96972727032267
sub-06,T150 M30,4763.0,5.144193057568671
sub-06,T150 M30,5428.0,6.356295175053253
sub-06,T150 M30,6210.0,5.401852392143372
sub-06,T150 M30,7138.0,12.95285922119325
sub-06,T150 M30,8252.0,-5.156197701542041
sub-06,T150 M30,9607.0,-0.9974624070285488
sub-06,T150 M30,11287.0,-2.8139349302056136
sub-06,T150 M30,13411.0,14.990482602264615
sub-06,T150 M30,16171.0,11.10981848971811
sub-06,T150 M30,19885.0,17.893893785334317
