participant,trial,session,hrtf,location_deg,correct
sub-16,1,before,individual,150,0
sub-16,2,before,individual,30,1
sub-16,3,before,individual,30,1
sub-16,4,before,optimised,150,1
sub-16,5,before,individual,150,1
sub-16,6,before,individual,30,0
sub-16,7,before,optimised,150,1
sub-16,8,before,optimised,30,0
sub-16,9,before,optimised,30,1
sub-16,10,before,individual,30,0
sub-16,11,before,individual,30,0
sub-16,12,before,individual,150,1
sub-16,13,before,individual,30,1
sub-16,14,before,optimised,150,0
sub-16,15,before,individual,30,1
sub-16,16,before,optimised,150,0
sub-16,17,before,optimised,150,1
sub-16,18,before,individual,30,0
sub-16,19,before,individual,150,1
sub-16,20,before,optimised,30,1
sub-16,21,before,individual,150,1
sub-16,22,before,optimised,150,0
sub-16,23,before,optimised,30,1
sub-16,24,before,individual,150,1
sub-16,25,before,optimised,30,0
sub-16,26,before,optimised,150,1
sub-16,27,before,individual,30,1
sub-16,28,before,individual,150,1
sub-16,29,before,optimised,30,1
sub-16,30,before,individual,30,0
sub-16,31,before,optimised,150,1
sub-16,32,before,optimised,30,1
sub-16,33,before,optimised,30,0
sub-16,34,before,individual,30,0
sub-16,35,before,optimised,150,1
sub-16,36,before,optimised,30,1
sub-16,37,before,individual,150,0
sub-16,38,before,individual,30,1
sub-16,39,before,optimised,150,1
sub-16,40,before,individual,30,0
sub-16,41,before,individual,30,1
sub-16,42,before,individual,150,0
sub-16,43,before,optimised,30,1
sub-16,44,before,optimised,30,1
sub-16,45,before,individual,30,1
sub-16,46,before,individual,30,1
sub-16,47,before,individual,150,0
sub-16,48,before,optimised,30,1
sub-16,49,before,optimised,30,1
sub-16,50,before,optimised,30,1
sub-16,51,before,optimised,150,1
sub-16,52,before,optimised,150,1
sub-16,53,before,optimised,150,1
sub-16,54,before,individual,150,1
sub-16,55,before,optimised,150,1
sub-16,56,before,individual,150,1
sub-16,57,before,individual,30,0
sub-16,58,before,individual,30,0
sub-16,59,before,individual,150,1
sub-16,60,before,optimised,30,0
sub-16,61,before,optimised,150,0
sub-16,62,before,optimised,30,1
sub-16,63,before,individual,150,0
sub-16,64,before,individual,150,0
sub-16,65,before,individual,30,1
sub-16,66,before,optimised,30,1
sub-16,67,before,optimised,150,0
sub-16,68,before,optimised,30,1
sub-16,69,before,optimised,150,0
sub-16,70,before,individual,150,0
sub-16,71,before,individual,30,1
sub-16,72,before,optimised,150,1
sub-16,73,before,optimised,150,1
sub-16,74,before,individual,150,1
sub-16,75,before,individual,150,1
sub-16,76,before,optimised,30,0
sub-16,77,before,individual,150,1
sub-16,78,before,individual,150,1
sub-16,79,before,optimised,30,0
sub-16,80,before,optimised,150,1
sub-16,1,after,individual,150,0
sub-16,2,after,individual,30,1
sub-16,3,after,individual,30,1
sub-16,4,after,optimised,150,1
sub-16,5,after,individual,150,1
sub-16,6,after,individual,30,0
sub-16,7,after,optimised,150,1
sub-16,8,after,optimised,30,1
sub-16,9,after,optimised,30,1
sub-16,10,after,individual,30,1
sub-16,11,after,individual,30,1
sub-16,12,after,individual,150,1
sub-16,13,after,individual,30,0
sub-16,14,after,optimised,150,1
sub-16,15,after,individual,30,0
sub-16,16,after,optimised,150,1
sub-16,17,after,optimised,150,1
sub-16,18,after,individual,30,1
sub-16,19,after,individual,150,0
sub-16,20,after,optimised,30,0
sub-16,21,after,individual,150,1
sub-16,22,after,optimised,150,1
sub-16,23,after,optimised,30,0
sub-16,24,after,individual,150,1
sub-16,25,after,optimised,30,0
sub-16,26,after,optimised,150,0
sub-16,27,after,individual,30,0
sub-16,28,after,individual,150,0
sub-16,29,after,optimised,30,1
sub-16,30,after,individual,30,1
sub-16,31,after,optimised,150,1
sub-16,32,after,optimised,30,1
sub-16,33,after,optimised,30,1
sub-16,34,after,individual,30,1
sub-16,35,after,optimised,150,1
sub-16,36,after,optimised,30,1
sub-16,37,after,individual,150,0
sub-16,38,after,individual,30,1
sub-16,39,after,optimised,150,1
sub-16,40,after,individual,30,1
sub-16,41,after,individual,30,1
sub-16,42,after,individual,150,1
sub-16,43,after,optimised,30,1
sub-16,44,after,optimised,30,1
sub-16,45,after,individual,30,0
sub-16,46,after,individual,30,0
sub-16,47,after,individual,150,1
sub-16,48,after,optimised,30,1
sub-16,49,after,optimised,30,1
sub-16,50,after,optimised,30,1
sub-16,51,after,optimised,150,1
sub-16,52,after,optimised,150,1
sub-16,53,after,optimised,150,1
sub-16,54,after,individual,150,0
sub-16,55,after,optimised,150,0
sub-16,56,after,individual,150,1
sub-16,57,after,individual,30,1
sub-16,58,after,individual,30,1
sub-16,59,after,individual,150,0
sub-16,60,after,optimised,30,0
sub-16,61,after,optimised,150,1
sub-16,62,after,optimised,30,1
sub-16,63,after,individual,150,0
sub-16,64,after,individual,150,0
sub-16,65,after,individual,30,1
sub-16,66,after,optimised,30,1
sub-16,67,after,optimised,150,1
sub-16,68,after,optimised,30,0
sub-16,69,after,optimised,150,1
sub-16,70,after,individual,150,0
sub-16,71,after,individual,30,1
sub-16,72,after,optimised,150,1
sub-16,73,after,optimised,150,0
sub-16,74,after,individual,150,0
sub-16,75,after,individual,150,0
sub-16,76,after,optimised,30,1
sub-16,77,after,individual,150,1
sub-16,78,after,individual,150,1
sub-16,79,after,optimised,30,0
sub-16,80,after,optimised,150,1
