participant,trial,session,hrtf,target_azimuth_deg,masker_azimuth_deg,correct,predicted_srm_db
sub-16,1,before,individual,30,30,0,-4.24152209043118
sub-16,2,before,optimised,30,30,0,-4.55908930311373
sub-16,3,before,optimised,150,30,0,0.338055441718311
sub-16,4,before,individual,30,150,0,-6.18420566322036
sub-16,5,before,optimised,30,30,0,-2.06256722717358
sub-16,6,before,individual,30,30,0,-2.38282276639286
sub-16,7,before,optimised,30,150,0,0.0781984698616337
sub-16,8,before,individual,150,30,0,-2.35133016460189
sub-16,9,before,individual,150,30,0,-2.49302153995997
sub-16,10,before,individual,150,30,0,-2.51298110799662
sub-16,11,before,individual,30,30,0,-4.40203575982219
sub-16,12,before,optimised,30,150,1,0.458129590219925
sub-16,13,before,individual,150,30,0,-6.52280240055662
sub-16,14,before,optimised,30,150,0,0.57304611517634
sub-16,15,before,optimised,30,150,0,0.563280101535338
sub-16,16,before,individual,30,150,1,-4.92981742741824
sub-16,17,before,optimised,150,30,0,-0.0794575727495582
sub-16,18,before,individual,150,30,0,-1.96381402668126
sub-16,19,before,individual,30,150,0,-5.75976009335827
sub-16,20,before,optimised,30,150,0,-3.44763004151015
sub-16,21,before,individual,30,150,0,-5.6844263825107
sub-16,22,before,optimised,30,30,0,-4.3304654512596
sub-16,23,before,individual,30,30,0,-7.01301866610295
sub-16,24,before,optimised,150,30,0,0.105568603235484
sub-16,25,before,optimised,150,30,0,-4.1669289034994
sub-16,26,before,individual,30,30,1,-3.90983584287599
sub-16,27,before,individual,30,30,0,-4.92175911698089
sub-16,28,before,optimised,30,30,0,-6.81483338055886
sub-16,29,before,optimised,150,30,1,0.356607954197823
sub-16,30,before,individual,150,30,1,-1.65997389776501
sub-16,31,before,individual,30,150,0,-9.71016415377015
sub-16,32,before,individual,150,30,0,-2.69326261968826
sub-16,33,before,individual,30,30,0,-7.00463820138677
sub-16,34,before,individual,30,30,0,-6.60127984524385
sub-16,35,before,optimised,30,30,0,-4.05640633689275
sub-16,36,before,optimised,150,30,0,0.475334267518655
sub-16,37,before,individual,30,150,0,-5.13133279443504
sub-16,38,before,individual,30,30,0,-9.12132651091425
sub-16,39,before,individual,150,30,0,-4.62314652385546
sub-16,40,before,optimised,30,30,0,-4.71169180431342
