participant,pair,band_fc_hz,better_ear_snr_gain_db
sub-16,T30 M150,30.0,4.375214574729291
sub-16,T30 M150,63.0,4.850940781883665
sub-16,T30 M150,99.0,4.9357223222106965
sub-16,T30 M150,139.0,2.0421397301386097
sub-16,T30 M150,183.0,2.5090051580668025
sub-16,T30 M150,231.0,2.125118426224918
sub-16,T30 M150,284.0,2.129027240618382
sub-16,T30 M150,342.0,2.529617652410329
sub-16,T30 M150,407.0,2.6413554233867744
sub-16,T30 M150,478.0,2.7874304680811286
sub-16,T30 M150,556.0,3.0368670912206186
sub-16,T30 M150,643.0,3.823609622327585
sub-16,T30 M150,739.0,7.217150206595512
sub-16,T30 M150,845.0,10.9627486740765
sub-16,T30 M150,963.0,10.852628910182611
sub-16,T30 M150,1094.0,10.516865605972104
sub-16,T30 M150,1240.0,8.6040176119176
sub-16,T30 M150,1403.0,8.24733162964557
sub-16,T30 M150,1585.0,5.899256240882503
sub-16,T30 M150,1788.0,3.564630555770385
sub-16,T30 M150,2017.0,4.0797192150941886
sub-16,T30 M150,2274.0,15.146713151899895
sub-16,T30 M150,2565.0,18.237514577794315
sub-16,T30 M150,2894.0,6.68756774415986
sub-16,T30 M150,3270.0,-1.0044904012797513
sub-16,T30 M150,3699.0,-0.2933004888056274
sub-16,T30 M150,4192.0,5.541367447779326
sub-16,T30 M150,4763.0,11.296695934052014
sub-16,T30 M150,5428.0,6.429331726852446
sub-16,T30 M150,6210.0,-2.883743904666175
sub-16,T30 M150,7138.0,6.264149895435047
sub-16,T30 M150,8252.0,-2.8329912951512317
sub-16,T30 M150,9607.0,-13.704119511748262
sub-16,T30 M150,11287.0,2.6681054035872096
sub-16,T30 M150,13411.0,-4.139231021548591
sub-16,T30 M150,16171.0,-5.289338670356601
sub-16,T30 M150,19885.0,5.195385559653234
sub-16,T150 M30,30.0,-1.5185489823154243
sub-16,T150 M30,63.0,-1.8201890496061133
sub-16,T150 M30,99.0,-1.7404914384255863
sub-16,T150 M30,139.0,-1.6378058005742375
sub-16,T150 M30,183.0,-1.9235563194871896
sub-16,T150 M30,231.0,-0.6097983383911676
sub-16,T150 M30,284.0,0.1332735762830947
sub-16,T150 M30,342.0,1.1413445292878943
sub-16,T150 M30,407.0,1.6197099613740342
sub-16,T150 M30,478.0,3.8519527300467344
sub-16,T150 M30,556.0,4.665499379003191
sub-16,T150 M30,643.0,3.874662168861773
sub-16,T150 M30,739.0,3.5912248414004866
sub-16,T150 M30,845.0,3.902857926119802
sub-16,T150 M30,963.0,4.159894418718708
sub-16,T150 M30,1094.0,5.268168788120409
sub-16,T150 M30,1240.0,6.640725177128676
sub-16,T150 M30,1403.0,13.95794440012306
sub-16,T150 M30,1585.0,12.585892891592458
sub-16,T150 M30,1788.0,2.83374483399743
sub-16,T150 M30,2017.0,1.1412582163771845
sub-16,T150 M30,2274.0,1.3487448376803637
sub-16,T150 M30,2565.0,1.8635999718517229
sub-16,T150 M30,2894.0,3.0327864470340473
sub-16,T150 M30,3270.0,1.7279363909477103
sub-16,T150 M30,3699.0,2.3178136303009667
sub-16,T150 M30,4192.0,5.0833946213749535
sub-16,T150 M30,4763.0,6.206330217838259
sub-16,T150 M30,5428.0,4.759775219998138
sub-16,T150 M30,6210.0,2.789844780058617
sub-16,T150 M30,7138.0,13.731466118769871
sub-16,T150 M30,8252.0,13.508788282215498
sub-16,T150 M30,9607.0,12.179622714061804
sub-16,T150 M30,11287.0,1.7492239040448183
sub-16,T150 M30,13411.0,0.2080304261805561
sub-16,T150 M30,16171.0,7.375057034761872
sub-16,T150 M30,19885.0,10.28960307839384
